ӄоԓетъыԓё	ӄоԓе/тъыԓё
нэкэм	нэкэм
ӈайыткын	ӈай/ыткын
мэӈӄо	мэӈ/ӄо
винвэ	винвэ
ынанъяачы	ынанъяачы
кэтэм	кэтэм
танӈавэты	танӈавэты
чывипыт	чывипыт
ԓеԓют	ԓеԓют
риԓвыт	риԓвыт
ваӈӄытгыпы	ваӈӄытгыпы
яаԓеӈӄач	яаԓе/ӈӄач
чечот	чечот
раӄэты	раӄэты
оргоор	оргоор
энаача	энаача
иам	иам
рээн	рээн
ыргичгу	ыргичгу
мачванэван	мачванэван
ынӄо	ынӄо
ынръам	ынръам
вэнԓыги	вэнԓыги
ӄоԓ	ӄоԓ
энэчгытэты	энэчгытэты
ыргин	ыргин
ӈыроӄ	ӈыроӄ
ӈыроӄав	ӈыроӄав
койӈыԓявыт	койӈыԓ/явыт
ӈинӄэю	ӈин/ӄэю
яаԓ	яаԓ
игырым	игырым
ынӄоым	ынӄоым
ынӈытэӄ	ынӈы/тэӄ
наӄамым	наӄамым
ӄынвэр	ӄынвэр
ыԓгу	ыԓгу
ӈээӄ	ӈээӄ
ӈээкык	ӈээ/кык
опопы	опопы
эвын	эвын
янорым	янорым
какомэй	како/мэй
аваӈӄытка	аваӈӄытка
кытэ	кытэ
ынантаӈпыԓвынтэн	ынантаӈ/пыԓвынтэн
атав	атав
ӈыроча	ӈыро/ча
пытӄы	пытӄы
пууръу	пууръу
ваԓёмъё	ваԓё/мъё
анкэтъоӈатка	ан/кэтъоӈ/атка
киԓометрмэԓ	киԓо/мет/рмэԓ
торпанраӄонагтэ	торпанра/ӄона/гтэ
ԓёӈӄыръачета	ԓёӈ/ӄыръач/ета
индейцаргэн	индейц/ар/гэн
конференция	конф/ерен/ция
ӄэвииръу	ӄэв/иир/ъу
пиӈэпиӈ	пиӈэ/пиӈ
айӈавъё	айӈав/ъё
ыттувйигым	ыттувй/игым
ӈыроӄавыкым	ӈыроӄавы/кым
ӈыраӄавыкым	ӈыраӄавы/кым
ръапыӈыԓ	ръапы/ӈыԓ
ыннантаакойӈа	ыннантаа/койӈа
вэймэну	вэймэ/ну
ԓыгэёанмачы	ԓыгэ/ёан/мачы
оптытъар	оптытъар
рэӄуым	рэӄ/уым
ыяа	ыяа
чамаым	чамаым
пэнин	пэнин
мэԓӄырым	мэԓӄырым
ынӄэным	ынӄэным
мэԓӄырым	мэԓӄырым
наӄам	наӄам
вэтгыры	вэтгыры
пэнин	пэнин
ӄынвэрым	ӄынвэрым
ванэван	ванэван
йыӄӄайым	йыӄ/ӄай/ым
песня	песня
ԓыгэн	ԓыгэн
эвытԓым	эвытԓым
чамаым	чамаым
рыпэт	рыпэт
ыттъин	ытт/ъин
ынӄоры	ынӄоры
ӄача	ӄача
песня	песня
йъаратым	йъара/тым
аэродром	аэродр/ом
вэтгыры	вэтгыры
гыроԓмакы	гыро/ԓмакы
ынӄоры	ынӄоры
ыттъин	ытт/ъин
чинитым	чини/тым
книга	книга
ынӄэным	ынӄэным
ытръэчым	ытръ/эчым
ԓыгэн	ԓыгэн
ытръэчым	ытръ/эчым
аэродром	аэродр/ом
эвытԓым	эвытԓым
оптытъар	оптытъар
ыттъыёԓ	ыттъыёԓ
ӄынвэрым	ӄынвэрым
ԓёӈпаата	ԓёӈпаата
гыроԓмакы	гыро/ԓмакы
ыяа	ыяа
наӄам	наӄам
маёԓгыт	маё/ԓгыт
ванэван	ванэван
рыпэт	рыпэт
ӄача	ӄача
ԓёӈпаата	ԓёӈпаата
ыннаны	ыннаны
вээмӄэгти	вээм/ӄэг/ти
ынӄорыым	ынӄор/ыым
вэтыӄуным	вэты/ӄуным
мытԓыӈэн	мыт/ԓыӈэн
тумгигыт	тумг/игыт
ынӄорыым	ынӄор/ыым
иԓгыкырвир	иԓгы/кырвир
рэӄу	рэӄ/у
йытԓёԓӄыԓ	йытԓ/ёԓ/ӄыԓ
йытԓёԓӄыԓ	йытԓ/ёԓ/ӄыԓ
ӈирэнрыԓгэ	ӈирэ/нры/ԓгэ
тэгъеӈу	тэгъ/е/ӈу
ӈэръамытԓыӈэн	ӈэръа/мытԓы/ӈэн
ԓюур	ԓюур
эчги	эчги
мынамманаӈат	мын/аммана/ӈат
ынӈэ	ынӈэ
эчги	эчги
чама	чама
ынӈэ	ынӈэ
чит	чит
ԓюур	ԓюур
ӄэйвэ	ӄэйвэ
чама	чама
ӄэйвэ	ӄэйвэ
ӈутку	ӈутку
ымыым	ым/ыым
чит	чит
ӈутку	ӈутку
чама	чама
чит	чит
ԓюур	ԓюур
ынӈэ	ынӈэ
ӄэйвэ	ӄэйвэ
эчги	эчги
ӈутку	ӈутку
чукоткайпы	чукотка/йпы
йыӈаё	йыӈ/аё
пыӈыԓ	пы/ӈыԓ
йыӈаё	йыӈ/аё
ымнымытваӈэт	ымнымытва/ӈэт
кэтъоёԓӄыԓ	кэтъоё/ԓӄыԓ
кабицкайпы	кабицка/йпы
тэԓенъепкин	тэԓен/ъеп/кин
этрэркурӈынин	этрэ/ркурӈы/нин
имчьэчукин	имчь/эчу/кин
кытваӈӄытык	кытва/ӈӄы/тык
пэтыпыӈыԓ	пэты/пыӈыԓ
эквыргаым	эк/выргаым
рынныӄач	рынны/ӄач
гивиӈитти	г/иви/ӈит/ти
