ӈирэӄэв	ӈирэӄ/эв
ыттувъейпы	ыттув/ъейпы
мигчитԓьэт	мигчит/ԓьэт
рынныӄач	рынны/ӄач
рынныӄач	рынны/ӄач
эквыргаым	эк/выргаым
гыргоԓяйпы	гыргоԓя/йпы
анӈэначьатык	анӈэна/чьа/тык
маёԓгэпы	маё/ԓг/эпы
гыннэӈӈыттываԓы	гыннэӈ/ӈытты/ваԓы
ӄуттиым	ӄут/ти/ым
ынӈэнтаакойӈа	ынӈэн/таа/койӈа
эквырга	эк/вырга
ӄынур	са/вин
нэмыӄэй	нэмыӄэй
эквырга	эк/вырга
вай	вай
титэ	титэ
тэӈэвыргыргыкэ	ӈаргы/нэн
гитигым	г/ит/игым
маёԓгыеквэ	маё/ԓгы/еквэ
вай	вай
вай	вай
нымнымгыпы	нымным/гыпы
нынны	нынны
вэчьым	вэч/ьым
аткэвма	аткэв/ма
вэчьым	вэч/ьым
вэты	вэты
тумгытум	тумгытум
титэ	титэ
нэмыӄэй	нэмыӄэй
тэнтумгу	тэн/тумгу
тумгытум	тумгытум
нэмыӄэй	нэмыӄэй
ыннэн	ыннэн
кэваратэн	кэвара/тэн
савин	са/вин
эквырга	эк/вырга
торваԓёма	торваԓё/ма
майӈыръэтгыпы	майӈы/ръэт/гыпы
нэмыӄэй	нэмыӄэй
титэ	титэ
атчанэн	атча/нэн
вэчьым	вэч/ьым
савин	са/вин
вэчьым	вэч/ьым
пэтԓе	пэтԓ/е
ыннэн	ыннэн
вай	вай
тумгытум	тумгытум
тумгытум	тумгытум
ыннэн	ыннэн
пэтԓе	пэтԓ/е
ӄутти	ӄут/ти
титэ	титэ
пэтԓе	пэтԓ/е
савин	са/вин
аэродромык	аэро/дро/мык
мытэймэвмык	мыт/эймэв/мык
аэродромык	аэро/дро/мык
гынниӈӈыттык	гынниӈ/ӈыт/тык
ыттувйи	ыттув/йи
ӈирэмури	ӈирэ/мури
орвэпы	орв/эпы
пыӈыԓтэԓ	пыӈыԓ/тэԓ
тавтав	тавт/ав
ԓюнрэнйыркэвӈэ	ԓюн/рэн/йыркэв/ӈэ
чемгъойпы	чемгъо/йпы
тавтав	тавт/ав
ыттувйи	ыттув/йи
коԓхозгыпы	коԓхоз/гыпы
еттык	ет/тык
рэнмык	рэн/мык
ыттувйи	ыттув/йи
ӈэнку	ӈэн/ку
ӈэнку	ӈэн/ку
итчымигчир	итчы/мигчир
ыԓёӈэт	ыԓё/ӈэт
ыԓёӈэт	ыԓё/ӈэт
ӈэнку	ӈэн/ку
деԓегатык	деԓега/тык
ӈирэӄӄԓиккин	ӈирэӄ/ӄԓик/кин
ԓыгъоравэтԓьаеԓымэԓ	ԓыг/ъоравэтԓьа/еԓым/эԓ
рыннин	рын/нин
ваӈӄытык	ваӈӄы/тык
ваӈӄытык	ваӈӄы/тык
каԓегырга	каԓе/гырга
ваԓёмнэн	ваԓём/нэн
каԓеткосӄэвынво	каԓе/тко/сӄэвы/нво
ӄуԓинымнымкин	ӄуԓи/нымным/кин
рыннин	рын/нин
ӄуԓинымнымкин	ӄуԓи/нымным/кин
этԓы	этԓы
этԓы	этԓы
уйӈэ	уйӈэ
ӄонпы	ӄонпы
вэтгав	вэтгав
этԓы	этԓы
ӈирэӄ	ӈирэӄ
ӄонпы	ӄонпы
ӈирэӄ	ӈирэӄ
аԓымы	аԓымы
ӄонпы	ӄонпы
этԓы	этԓы
аԓымы	аԓымы
уйӈэ	уйӈэ
уйӈэ	уйӈэ
ӄонпы	ӄонпы
этԓы	этԓы
аԓымы	аԓымы
уйӈэ	уйӈэ
вэтгав	вэтгав
ынӈэн	ынӈэн
аԓымы	аԓымы
вэтгав	вэтгав
коԓхоз	коԓхоз
аԓымы	аԓымы
ӄонпы	ӄонпы
ӈирэӄ	ӈирэӄ
вуԓӄытвипыкитԓьэт	вуԓӄы/тви/пы/кит/ԓьэт
ԓьооԓӄыԓ	ԓьо/о/ԓӄыԓ
ԓёӈыгтота	ԓёӈы/гто/та
ԓюнрэнъээвӈэ	ԓюнрэ/нъээв/ӈэ
ԓёнйъота	ԓён/йъо/та
картина	карти/на
вэтыӄун	вэты/ӄун
ыттувъена	ыттувъе/на
имыръэнут	тэӈ/уйӈэ
вэтыӄун	вэты/ӄун
варатэн	вара/тэн
ԓьоо	ԓьо/о
ԓьоо	ԓьо/о
каннайынаым	канна/йын/аым
татԓыгнэн	тат/ԓыг/нэн
татԓыгнэн	тат/ԓыг/нэн
ӄиквыткы	ӄ/ик/вы/ткы
имыръэнут	имы/ръэнут
мури	мури
эвыр	эвыр
имыръэнут	имы/ръэнут
имыръэнут	имы/ръэнут
эвыр	эвыр
вытку	вытку
экык	экык
иӈӄун	иӈӄун
иӈӄун	иӈӄун
вытку	вытку
гыт	гыт
иӈӄун	иӈӄун
экык	экык
каннайым	канна/йым
экык	экык
вытку	вытку
мэмыԓ	мэмыԓ
эвыр	эвыр
коԓё	коԓё
мэмыԓ	мэмыԓ
гыт	гыт
экык	экык
мэмыԓ	мэмыԓ
экык	экык
иӈӄун	иӈӄун
коԓё	коԓё
вытку	вытку
иӈӄун	иӈӄун
коԓё	коԓё
гыт	гыт
пԓыткома	пԓытко/ма
