гайавата	га/йав/ата
ваӈкыттамэнӈыԓьэн	ваӈкы/тта/мэнӈы/ԓь/эн
пыӈыԓкэн	пыӈыԓ/кэн
чиниткин	чинит/кин
пыӈыԓкэн	пыӈыԓ/кэн
ынӄэната	ынӄэна/та
чимгъуу	чимгъу/у
ынӄэната	ынӄэна/та
чиниткин	чинит/кин
амаԓваӈ	таӈ/ымыԓьо
ынӄэната	ынӄэна/та
ынӄэната	ынӄэна/та
чиниткин	чинит/кин
ратайкынъё	ра/тайкы/нъ/ё
йыԓӄэтыркыт	таӈ/ымыԓьо
чимгъуну	чимгъу/ну
чеԓгатвытрыԓьо	чеԓг/ат/вытры/ԓь/о
гайавате	га/йава/те
энаёчгычыко	эна/ё/чгы/чыко
эргыръотагнэты	эргы/ръо/тагн/эты
вытэчгытрыԓьо	вытэч/гытры/ԓь/о
ымы	ымы
ымы	ымы
ӄэгԓынангэт	ӄэгԓы/нан/гэт
ӄырым	ӄырым
ымы	ымы
ымы	ымы
ымы	ымы
аккагты	акка/гты
ӄырым	ӄырым
ӄырым	ӄырым
ӄэгԓынангэт	ӄэгԓы/нан/гэт
танӈыткогты	танӈы/тко/гты
ӄэгԓынангэт	ӄэгԓы/нан/гэт
ымы	ымы
ымы	ымы
ӄырым	ӄырым
ӄырым	ӄырым
ӄырым	ӄырым
ымы	ымы
ымы	ымы
ымы	ымы
яраӈы	яра/ӈы
ӄырым	ӄырым
раԓкогты	раԓко/гты
рытъёттэ	рытъёт/тэ
нотасӄэты	нота/сӄ/эты
чекавэтываӄ	чекав/эты/ваӄ
ӄораӈы	ӄора/ӈы
рымагты	рыма/гты
хабаровскагты	хабаровска/гты
рымагты	рыма/гты
ӄораӈы	ӄора/ӈы
гыннэӈӈыттыгыргыкэн	гыннэӈ/ӈытты/гыргы/кэн
гайавате	га/йав/ат/е
хабаровскагты	хабаровска/гты
гыргоԓягты	гыргоԓя/гты
акваттагнэты	акват/тагн/эты
мэмыԓынаым	мэмы/ԓын/аым
танрэӈаӈ	танрэ/ӈа/ӈ
чинит	чинит
киткит	кит/кит
москвагты	москва/гты
оравэтԓьата	оравэтԓьа/та
чинит	чинит
москвагты	москва/гты
чинит	чинит
эмрэԓьуӈэ	эм/рэ/ԓьу/ӈэ
оравэтԓьата	оравэтԓьа/та
эккэтэ	эккэ/тэ
чинит	чинит
чинит	чинит
эккэтэ	эккэ/тэ
ӄырымэн	ӄырым/эн
чинит	чинит
киткит	кит/кит
ӄырымэн	ӄырым/эн
чинит	чинит
чинит	чинит
мынгаймэтыӈонэнат	рам/ынноӈ/эты
анӈэначьатэты	анӈэна/чьат/эты
тыӈивынин	ты/ӈивы/нин
гагԓеты	га/г/ԓеты
рамынноӈэты	рам/ынноӈ/эты
таӈгыннэӈӈыттыԓьэпы	таӈ/гыннэӈ/ӈытты/ԓь/эпы
тынтыгыт	ты/нты/гыт
турэймэвкы	тур/эймэв/кы
куннин	кунн/ин
гакыткытръоԓен	га/кыткыт/ръо/ԓен
ӈыраӄычьэты	ӈыраӄы/чь/эты
гайаватэн	га/йава/тэн
гайаватэн	га/йава/тэн
ӈээккэтэ	ӈэ/эккэ/тэ
ынӈин	ынӈин
ынӈин	ынӈин
ынӈин	ынӈин
нэмэ	нэмэ
ԓым	ԓым
нэмэ	нэмэ
ынӈин	ынӈин
нэмэ	нэмэ
нэмэ	нэмэ
нэмэ	нэмэ
нэмэ	нэмэ
ынӈин	ынӈин
нэмэ	нэмэ
нэмэ	нэмэ
ынӈин	ынӈин
ынӈин	ынӈин
нэмэ	нэмэ
нэмэ	нэмэ
ынӈин	ынӈин
ынӈин	ынӈин
ынӈин	ынӈин
нэмэ	нэмэ
нэмэ	нэмэ
ынӈин	ынӈин
ярагты	яра/гты
ԓёӈытва	ԓёӈы/тва
гатаӈавэръэпыԓен	га/таӈ/авэръ/эпы/ԓен
гаторавэръэпыԓен	га/торавэръ/эпы/ԓен
тыӈэвыё	ты/ӈэвы/ё
ԓымӈэ	ԓым/ӈэ
ԓымӈэ	ԓым/ӈэ
пыӈыԓтэ	пыӈыԓ/тэ
ымнутэйиквик	ԓым/ӈэ
амыргынан	амыргы/нан
ԓымӈэ	ԓым/ӈэ
ԓымӈэ	ԓым/ӈэ
тывъё	ты/въё
тывъё	ты/въё
тывъё	ты/въё
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
ынӈэнкоԓхозэты	ынӈэн/коԓхоз/эты
эквыргаым	эквы/р/гаым
мачынан	мачы/нан
эквыргаым	эквы/р/гаым
вэԓынкыӄун	вэԓын/кы/ӄун
эквыргаым	эквы/р/гаым
эквыргаым	эквы/р/гаым
выяԓятыркын	выяԓя/ты/ркын
мыкыӈ	мык/ы/ӈ
тэԓенъеп	тэԓенъ/еп
тэԓенъеп	тэԓенъ/еп
ыргынан	ыргы/нан
тэԓенъеп	тэԓенъ/еп
тэԓенъеп	тэԓенъ/еп
ыргынан	ыргы/нан
ыргынан	ыргы/нан
тэԓенъеп	тэԓенъ/еп
тэԓенъеп	тэԓенъ/еп
вама	ва/ма
тэԓенъеп	тэԓенъ/еп
ваӈӄыткэн	ваӈӄыт/кэн
таӈаԓкыԓыӈ	таӈ/аԓкыԓы/ӈ
тычичевыркын	ты/чичевы/ркын
мэмыԓым	мэмы/ԓым
мэмыԓым	мэмы/ԓым
ваӈӄыт	ваӈӄыт
микынэ	микы/нэ
ваӈӄыт	ваӈӄыт
ваӈӄыт	ваӈӄыт
