вэтчатвак	вэтча/тва/к
ныкэԓиӄин	ны/кэԓи/ӄин
нывытрэтӄин	ны/вытрэт/ӄин
тивыркын	т/ивы/ркын
нытваӄэн	тэӈ/эвыргыргы/к/э
эпиӈэръукэ	эпиӈэ/ръу/к/э
йъарат	йъа/ра/т
вама	тэӈ/энвыргыргэв/к/э
вама	тэӈ/энвыргыргэв/к/э
йыӈэттэт	йыӈэт/тэ/т
йыӈэттэт	йыӈэт/тэ/т
гэтумгэ	гэ/тумг/э
армачьатгыргыт	армачьат/гыргы/т
армачьатгыргыт	армачьат/гыргы/т
нытэӈӄин	ны/тэӈ/ӄин
пынԓёнэнат	пынԓён/эна/т
таакойӈык	таако/йӈы/к
таакойӈык	таако/йӈы/к
ныԓгыӄин	ны/ԓгы/ӄин
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
гэмавъе	гэ/мав/ъе
йыԓӄэтык	йыԓӄ/эты/к
каԓегыргыт	каԓе/гыргы/т
йыԓынэт	йыԓы/нэ/т
рытчынэт	рытчы/нэ/т
ныԓьуӄин	ны/ԓьу/ӄин
гэкэԓиԓинэт	гэ/кэԓи/ԓинэ/т
гынниӈӈыттыԓьык	гынниӈ/ӈытты/ԓьы/к
авъеткынка	авъе/ткын/к/а
авъеткынка	авъе/ткын/к/а
россэԓьыварат	россэ/ԓьы/вара/т
авъеткынка	авъе/ткын/к/а
ӄырымэнат	ӄырым/эна/т
механик	меха/ни/к
нытваӄэн	ны/тва/ӄэн
нытваӄэн	ны/тва/ӄэн
тэӈэнвыргыргэвкэ	ны/тва/ӄэн
механик	меха/ни/к
нытваӄэн	ны/тва/ӄэн
нывытэчгытратӄэн	ны/вытэч/гытра/т/ӄэн
нычимгъуӄин	ны/чимгъу/ӄин
нычимгъуӄин	ны/чимгъу/ӄин
нытвэтчатваӄэнат	ны/твэтча/тва/ӄэна/т
нывэтчатваӄэнат	ны/вэтча/тва/ӄэна/т
гэтэйкыԓинэт	гэ/тэйкы/ԓинэ/т
индейцыԓьырык	индейцы/ԓьы/ры/к
ӄорагынрэтыԓьыт	ӄора/гынрэты/ԓьы/т
нывакъотваӄэнат	ны/вакъо/тва/ӄэна/т
нымэԓьэв	ны/мэԓьэв
нымэԓьэв	ны/мэԓьэв
нымэԓьэв	ны/мэԓьэв
нымэԓьэв	ны/мэԓьэв
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
рамынноӈэты	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ынкъам	ынкъам
ратанкавӈыӈӈогнэн	рата/нкав/ӈы/ӈӈог/нэ/н
ратанкавӈыӈӈогнэн	рата/нкав/ӈы/ӈӈог/нэ/н
кыԓиныгйивэтыԓьык	кыԓи/ны/гйив/эты/ԓьы/к
кыԓиныгйивэтыԓьык	кыԓи/ны/гйив/эты/ԓьы/к
нымытваԓьа	ны/мытва/ԓь/а
тывыткоԓьык	ты/вытко/ԓьы/к
нымытваԓьа	ны/мытва/ԓь/а
апԓёратвака	апԓёра/тва/к/а
ныԓганэнат	ны/ԓга/нэна/т
нэнакачьаранъяӄэн	н/эна/качьа/ра/нъя/ӄэн
