oːdən	oː/də/n
təγət͡ʃon	təγə/t͡ʃo/n
əmərəw	əmə/rə/w
hutəlwər	hutə/l/wər
ŋənəďəŋnərəwun	ŋənə/ďə/ŋnə/rə/wun
prəduktələwər	prəduktə/l/ə/wər
it͡ʃərə	it͡ʃə/rə
əməďəŋoːn	əmə/ďəŋoː/n
odan	o/da/n
ofkiːl	o/fkiː/l
ŋənərə	ŋənə/rə
uldəwən	uldə/wə/n
oldolwə	oldo/l/wə
irəːksəwən	irəːksə/wə/n
gunďərə	gun/ďə/rə
irəːksəwən	irəːksə/wə/n
ďajaďan	ďaja/ďa/n
dəgilwə	dəgi/l/wə
əwanda	ə/wa/n/da
bit͡ʃoːwun	bi/t͡ʃoː/wun
bit͡ʃoːwun	bi/t͡ʃoː/wun
bit͡ʃoːwun	bi/t͡ʃoː/wun
oďəŋnərəwun	o/ďə/ŋnə/rə/wun
oːďərə	oː/ďə/rə
oŋnərəwun	o/ŋnə/rə/wun
aŋiran	aŋi/ra/n
oːrə	oː/rə
oːrə	oː/rə
ə	ə
ə	ə
ə	ə
huruŋnərəwun	huru/ŋnə/rə/wun
ə	ə
əməŋnərəwun	əmə/ŋnə/rə/wun
əməŋnərəwun	əmə/ŋnə/rə/wun
əməŋnərəwun	əmə/ŋnə/rə/wun
oďarəwun	o/ďa/rə/wun
dərəlduːtin	dərə/l/duː/tin
balokilduːtin	baloki/l/duː/tin
tihaktaďərən	tiha/kta/ďə/rə/n
oďərə	o/ďə/rə
aŋiwan	aŋi/wa/n
aŋiwan	aŋi/wa/n
oːďan	oː/ďa/n
uləːkitťərən	uləːkit/ťə/rə/n
bəjiːtt͡ʃərən	bəjiː/t/t͡ʃə/rə/n
goγoďəkoːrən	goγo/ďə/koː/rə/n
hurut͡ʃol	huru/t͡ʃo/l
huruďərə	huru/ďə/rə
it͡ʃərəwunduː	it͡ʃə/rə/wun/duː
aŋirə	aŋi/rə
guləlduː	gulə/l/duː
znəkomijilbi	znəkomiji/l/bi
ďuːlduːtin	ďuː/l/duː/tin
əməːnmurən	əməːn/mu/rə/n
urinərəwun	urinə/rə/wun
art͡ʃərəwun	art͡ʃə/rə/wun
art͡ʃarəwun	art͡ʃa/rə/wun
dəγirəwun	dəγi/rə/wun
aŋiďan	aŋi/ďa/n
hururə	huru/rə
hururə	huru/rə
gənnoːrəwun	gənnoː/rə/wun
bisin	bi/si/n
ďapkaduːn	ďapka/duː/n
biďəfkiːl	bi/ďə/fkiː/l
əmərə	əmə/rə
əmərə	əmə/rə
əmərə	əmə/rə
əmərə	əmə/rə
tumɲirəndaː	tumɲi/rə/n/daː
uďaltin	uďa/l/tin
prəduktələ	prəduktə/l/ə
ďuduːn	ďu/duː/n
ďuːlduː	ďuː/l/duː
ɲikərəndaː	ɲikə/rə/n/daː
ŋənəďəďən	ŋənə/ďə/ďə/n
ət͡ʃil	ə/t͡ʃi/l
it͡ʃərəwun	it͡ʃə/rə/wun
oːŋkaːnən	oːŋkaːn/ə/n
pəktiroːnən	pəktiroːn/ə/n
oldolə	oldo/l/ə
əlba	ə/l/ba
ďuːltin	ďuː/l/tin
ďuːltin	ďuː/l/tin
ɲaŋtalə	ɲaŋta/l/ə
ɲaŋtalə	ɲaŋta/l/ə
biŋkiːn	bi/ŋkiː/n
bifkiːl	bi/fkiː/l
əton	ə/to/n
giːl	giː/l
tapat͡ʃaːtil	tapat͡ʃaːti/l
jaːdantsəwil	jaːdantsəwi/l
haːdont͡ʃinil	haːdont͡ʃini/l
palatkəl	palatkə/l
patəjil	patəji/l
maril	mari/l
nuŋanduːn	nuŋan/duː/n
holbal	holba/l
hoːl	hoː/l
gunən	gun/ə/n
gunən	gun/ə/n
gunən	gun/ə/n
gunən	gun/ə/n
ďantakiːl	ďantakiː/l
əfkiːl	ə/fkiː/l
ďantakiːl	ďantakiː/l
tirgallan	tirga/l/la/n
turəːn	turəː/n
beresten	bereste/n
upkat͡ʃin	upkat͡ʃi/n
məːnin	məːni/n
gərbiːn	gərbiː/n
familijən	familijə/n
ətirkoːnin	ətirkoːni/n
əɲinin	əɲini/n
gərbin	gərbi/n
lapən	lapə/n
ɲaŋtal	ɲaŋta/l
ďajan	ďaja/n
dəgil	dəgi/l
bit͡ʃol	bi/t͡ʃo/l
bit͡ʃol	bi/t͡ʃo/l
