pəktironməs	pəktiron/mə/s
hukuγit͡ʃo	huku/γi/t͡ʃo
it͡ʃenoːst͡ʃo	it͡ʃe/noː/s/t͡ʃo
biː	biː
abult͡ʃa	abul/t͡ʃa
əkunka	əkun/ka
mut͡ʃuːt͡ʃa	mut͡ʃuː/t͡ʃa
əkunka	əkun/ka
biː	biː
biː	biː
ʃkolalaː	ʃkola/laː
ʃkolalaː	ʃkola/laː
ʃkolalaː	ʃkola/laː
ʃkolalaː	ʃkola/laː
biː	biː
biː	biː
ʃkolalaː	ʃkola/laː
əkunka	əkun/ka
biː	biː
pəktironmə	pəktiron/mə
ďantakiːlaː	ďantakiː/laː
bəjəduk	bəjə/duk
biː	biː
biː	biː
biː	biː
bəjə	bəjə
biː	biː
nuŋartinka	nuŋartin/ka
əkunka	əkun/ka
biː	biː
bakara	baka/ra
bəjə	bəjə
laːŋilwər	laːŋ/il/wər
klastuːi	klas/tuː/i
dəgilildədəːji	dəgi/li/ldə/dəː/ji
ogdokoːloːwər	ogdokoː/loː/wər
oďaŋaːs	o/ďaŋaː/s
ahat͡ʃa	aha/t͡ʃa
əːttə	əːt/tə
staːdəlaː	staːdə/laː
śit͡ʃastə	śit͡ʃas/tə
ŋinakinma	ŋinakin/ma
ŋinakinma	ŋinakin/ma
girkuɲďakal	girku/ɲ/ďa/kal
ŋinakinma	ŋinakin/ma
tawarka	ta/war/ka
ďuγaɲiːwa	ďuγa/ɲiː/wa
ihit͡ʃakə	ihi/t͡ʃa/kə
dinŋiːləːγit͡ʃo	dinŋiːləː/γi/t͡ʃo
a	a
a	a
əː	əː
eːkunka	eːkun/ka
ŋinakinmi	ŋinakin/mi
eːkunka	eːkun/ka
a	a
a	a
gadə	ga/də
əː	əː
a	a
a	a
eːkunka	eːkun/ka
a	a
ɲikəśodəː	ɲikə/śo/dəː
uďalaːwi	uďa/laː/wi
əməldəkin	əmə/ldək/in
turaːmiwa	turaːmi/wa
ətiːrkot͡ʃomi	ətiːrko/t͡ʃo/mi
hutəkəːrwiː	hutə/kəː/r/wiː
umuːnuptə	umuːnup/tə
umuːnuptə	umuːnup/tə
ďawusaďasatə	ďawu/sa/ďa/sa/tə
warkə	wa/rkə
ɲikənə	ɲikə/nə
taːduktə	taːduk/tə
tukdəː	tuk/dəː
əːjə	əː/jə
urəwa	urə/wa
tukdəː	tuk/dəː
klaswa	klas/wa
taːduːdaː	taːduː/daː
urəwa	urə/wa
rimontəkaːnwə	rimontə/kaːn/wə
tigəkoːrwis	tigə/koː/r/wi/s
ta	ta
gunə	gu/nə
hurugoːt	huru/goːt
suru	suru
owkiː	o/wkiː
owkiː	o/wkiː
ta	ta
motorjawər	motor/ja/wər
guluwundulaːwər	guluwun/dulaː/wər
girkut͡ʃa	girku/t͡ʃa
noːdaďiŋaːw	noːda/ďiŋaː/w
umuːnuptədaː	umuːnup/tə/daː
itikirwiː	itiki/r/wiː
ďetŋoγow	ďet/ŋoγo/w
ďawdulaːwər	ďaw/dulaː/wər
nu	nu
nu	nu
nu	nu
nu	nu
nuŋan	nuŋan
nu	nu
nuŋan	nuŋan
nu	nu
nu	nu
nu	nu
nuŋan	nuŋan
nuŋan	nuŋan
ŋinakin	ŋinakin
nu	nu
nu	nu
nuŋan	nuŋan
ŋinakin	ŋinakin
ŋinakin	ŋinakin
ŋinakin	ŋinakin
nu	nu
nu	nu
ŋinakin	ŋinakin
nu	nu
nu	nu
nuŋan	nuŋan
nuŋan	nuŋan
nuŋan	nuŋan
nuŋan	nuŋan
nuŋan	nuŋan
ŋinakin	ŋinakin
nu	nu
gunnə	gun/nə
gunnə	gun/nə
aŋikəl	aŋi/kəl
huktəhinəw	huktə/hinə/w
amiːŋasaw	amiː/ŋasa/w
də	də
toːwər	toː/wər
əduː	əduː
eːkurba	eːku/r/ba
əduː	əduː
əduː	əduː
əduː	əduː
əduː	əduː
də	də
əduː	əduː
əduː	əduː
tuktə	tuk/tə
əduː	əduː
əduː	əduː
də	də
əduː	əduː
əduː	əduː
əduː	əduː
əduː	əduː
əduː	əduː
əduː	əduː
dinŋiːləːt͡ʃo	dinŋiːləː/t͡ʃo
ətəjəːtnoːmi	ətəjəː/t/noː/mi
ďuːkakaːnďiwər	ďuː/kakaːn/ďi/wər
tuγəɲiːwə	tuγə/ɲiː/wə
əmədoːwi	əmə/doː/wi
tuγəɲiːwə	tuγə/ɲiː/wə
tuγəɲiːwə	tuγə/ɲiː/wə
it͡ʃədoːwər	it͡ʃə/doː/wər
aŋikaːnmə	aŋi/kaːn/mə
targaśin	tar/gaśin
oːhakaːri	oːha/kaː/r/i
tartikiː	tar/tikiː
nuŋanka	nuŋan/ka
