telegrammuwə	telegrammu/wə
sudəwə	sudə/wə
telegrammawə	telegramma/wə
əduːka	əduː/ka
ŋinakinmə	ŋinakin/mə
ŋinakinmə	ŋinakin/mə
ŋinakinmə	ŋinakin/mə
ŋinakinmə	ŋinakin/mə
moːtiːtkoːnin	moːtiː/t/koː/nin
moːtiːtkoːnin	moːtiː/t/koː/nin
orordi	oro/r/di
bəjoďəŋaːt	bəjo/ďəŋaː/t
amaːkaːwə	amaːkaː/wə
aŋilaːwi	aŋi/laː/wi
taduː	taduː
taduː	taduː
tarγit	tar/γit
taduː	taduː
taduː	taduː
taduː	taduː
taduː	taduː
əːwa	əː/wa
amaskiːwər	amaskiː/wər
taduː	taduː
taduː	taduː
taduː	taduː
taduː	taduː
taduː	taduː
taduːdaː	taduː/daː
taduː	taduː
taduː	taduː
aŋiwi	aŋi/wi
amaskiːwər	amaskiː/wər
taduː	taduː
əːwa	əː/wa
taduː	taduː
taduː	taduː
taduː	taduː
hawalďafkiː	hawal/ďa/fkiː
əwədit	əwə/di/t
hərgidaduktin	hər/gida/duk/tin
bakaďara	baka/ďa/ra
əkurďikə	əku/r/ďi/kə
irəmoːďit͡ʃəːw	irəmoː/ďi/t͡ʃəː/w
tozowkatpi	tozowka/t/pi
purtatpi	purta/t/pi
baldit͡ʃaːw	baldi/t͡ʃaː/w
ofkiːdaː	o/fkiː/daː
ahiːwə	ahiː/wə
dundəwə	dundə/wə
ajamamat	aja/mama/t
ajamamat	aja/mama/t
ajamamat	aja/mama/t
ətəjətt͡ʃəkəl	ətəjə/t/t͡ʃə/kəl
əːjawiw	əː/ja/wi/w
t͡ʃoktaw	t͡ʃok/ta/w
ŋənət͡ʃo	ŋənə/t͡ʃo
muːwə	muː/wə
ut͡ʃitnaːhit͡ʃoːw	ut͡ʃit/naː/hi/t͡ʃoː/w
haruːkkar	haruːk/ka/r
oːďapkiː	oː/ďa/pkiː
ut͡ʃalaːďet	ut͡ʃalaː/ďe/t
ujuːt͡ʃəjit͡ʃəːtin	ujuː/t͡ʃə/ji/t͡ʃəː/tin
hujukukoːnduː	huju/kukoːn/duː
huruśo	huru/śo
huruśo	huru/śo
nə	nə
nə	nə
li	li
nə	nə
ulləkoːrwə	ullə/koː/r/wə
surupďet	suru/p/ďe/t
surupďet	suru/p/ďe/t
ŋinakirwi	ŋinaki/r/wi
ətəjəːtmi	ətəjəː/t/mi
aːt͡ʃir	aːt͡ʃi/r
at͡ʃir	at͡ʃi/r
oldokorwə	oldo/ko/r/wə
girkiːtəːďəśo	girkiː/təː/ďə/śo
həgdigitin	həgdi/gi/tin
əːwədəː	əː/wə/dəː
orokorwər	oro/ko/r/wər
orokorwər	oro/ko/r/wər
surut͡ʃo	suru/t͡ʃo
girkiːlaďəfkiː	girkiː/la/ďə/fkiː
nuŋariγitin	nuŋari/γi/tin
kuŋaːkaːr	kuŋaːkaː/r
ut͡ʃeɲikiw	ut͡ʃeɲiki/w
kuŋaːkaːr	kuŋaːkaː/r
kuŋakar	kuŋaka/r
kuŋakar	kuŋaka/r
hamɲiːro	hamɲiː/r/o
wəkitta	wəki/t/ta
eːkurwa	eːku/r/wa
bəjəwə	bəjə/wə
moːtiːwə	moːtiː/wə
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
i	i
orokoːrwə	oro/koː/r/wə
girkumat	girku/ma/t
girkumat	girku/ma/t
moːtiːtkoːnmə	moːtiː/t/koːn/mə
moːtiːtkoːnmə	moːtiː/t/koːn/mə
moːtiːtkoːnmə	moːtiː/t/koːn/mə
huktiwuhijnə	huktiwu/hijn/ə
doːldiːt͡ʃaw	doːldiː/t͡ʃa/w
ďuγaɲiːduː	ďuγa/ɲiː/duː
