tardaː	tar/daː
nuŋardulaːtin	nuŋar/dulaː/tin
nuŋardulaːtin	nuŋar/dulaː/tin
śipkaːkaːrduː	śipkaː/kaː/r/duː
ŋənəďənnə	ŋənə/ďə/nnə
kuŋaːkaːrwə	kuŋaːkaː/r/wə
ďuːduːji	ďuː/duː/ji
təγəttə	təγə/t/tə
uruːpt͡ʃut	uruːpt͡ʃu/t
wirtolotit	wirtoloti/t
ətəːp	ə/təː/p
manamda	mana/m/da
hərəkət	hərəkə/t
hərəkət	hərəkə/t
baldit͡ʃaːm	baldi/t͡ʃaː/m
nulgit	nulgi/t
duːkuďat͡ʃaːtin	duːku/ďa/t͡ʃaː/tin
gowoďəmi	gowo/ďə/mi
isətt͡ʃo	isə/t/t͡ʃo
ɲaŋtatiːďam	ɲaŋta/tiː/ďa/m
əməwusinə	əmə/wu/sin/ə
oďariːwəw	o/ďa/riː/wə/w
ďəbdəːtin	ďəb/dəː/tin
ďawut͡ʃaďaŋkiːtin	ďawut͡ʃa/ďa/ŋkiː/tin
ďawut͡ʃaďaŋkiːtin	ďawut͡ʃa/ďa/ŋkiː/tin
art͡ʃəmkadaːtin	art͡ʃəmka/daː/tin
ərəgərit	ərəgəri/t
ərəgərit	ərəgəri/t
huwulit	huwuli/t
ərəgərit	ərəgəri/t
ərəgərit	ərəgəri/t
huruďəŋoːt	huru/ďəŋoː/t
huruďəŋoːt	huru/ďəŋoː/t
əmonmut͡ʃoːtin	əmon/mu/t͡ʃoː/tin
ɲiːduːdəː	ɲiː/duː/dəː
ŋinakirwə	ŋinaki/r/wə
it͡ʃəttə	it͡ʃə/t/tə
staːdəlaːtin	staːdə/laː/tin
oːŋnam	oː/ŋna/m
ubirajďiŋnəm	ubiraj/ďi/ŋnə/m
t͡ʃo	t͡ʃo
ulgut͡ʃoːmott͡ʃit͡ʃoːwun	ulgut͡ʃoː/mot/t͡ʃi/t͡ʃoː/wun
t͡ʃo	t͡ʃo
t͡ʃo	t͡ʃo
vərhnəimbaskəduː	vərhnəimbaskə/duː
ret͡ʃkəduː	ret͡ʃkə/duː
ɲuŋunduː	ɲuŋun/duː
umuːkoːnduː	umuːkoːn/duː
tundəraduː	tundəra/duː
moːγaduː	moːγa/duː
taigaduː	taiga/duː
tarit	tari/t
tarit	tari/t
təpkəďənə	təpkə/ďə/nə
hutakarduː	huta/ka/r/duː
iruŋnarawun	iru/ŋna/ra/wun
prəmhosduː	prəmhos/duː
mohaduː	moha/duː
ďabduː	ďab/duː
minduː	min/duː
mohaduː	moha/duː
ďabduː	ďab/duː
minduː	min/duː
əmə	əmə
əmə	əmə
ďukt͡ʃaduːwər	ďukt͡ʃa/duː/wər
nuŋarwatin	nuŋar/wa/tin
hawalilim	hawali/li/m
baldit͡ʃam	baldi/t͡ʃa/m
