hawalim	hawali/m
təγətt͡ʃəm	təγə/t/t͡ʃə/m
taduː	ta/duː
taŋnaːhiːt͡ʃal	taŋ/naː/hiː/t͡ʃa/l
ɲaːdiməːt͡ʃaːwun	ɲaːdiməː/t͡ʃaː/wun
biśo	bi/śo
biśo	bi/śo
ďawut͡ʃaďat͡ʃaːwun	ďawut͡ʃa/ďa/t͡ʃaː/wun
ororwətin	oro/r/wə/tin
biśo	bi/śo
biśo	bi/śo
biśo	bi/śo
uγaďəŋnarawun	uγa/ďə/ŋna/ra/wun
əwadaː	ə/wa/daː
omoːt͡ʃəːwun	omoː/t͡ʃəː/wun
omoːt͡ʃəːwun	omoː/t͡ʃəː/wun
girkum	girku/m
buːt͡ʃəːwun	buː/t͡ʃəː/wun
hurut͡ʃoːw	huru/t͡ʃoː/w
hurut͡ʃoːw	huru/t͡ʃoː/w
girkum	girku/m
omoːnəw	omoːn/ə/w
mərduːwər	mə/r/duː/wər
bəjəŋilbas	bəjə/ŋi/l/ba/s
it͡ʃəm	it͡ʃə/m
bifkiː	bi/fkiː
biďit͡ʃəːtin	bi/ďi/t͡ʃəː/tin
gadawun	ga/da/wun
ŋinaγiːrawun	ŋinaγiː/ra/wun
əliː	ə/liː
ŋənəm	ŋənə/m
ŋənəm	ŋənə/m
kujiːkoːtt͡ʃənəl	kujiː/koːt/t͡ʃə/nə/l
əməďim	əmə/ďi/m
gat͡ʃaːwun	ga/t͡ʃaː/wun
inďət͡ʃoːw	in/ďə/t͡ʃoː/w
naːpkaːnən	naː/p/kaː/nə/n
tuksarawun	tuksa/ra/wun
gunə	gun/ə
tuksarawun	tuksa/ra/wun
hilkiːďəŋnəm	hilkiː/ďə/ŋnə/m
horolďit͡ʃoːwun	horol/ďi/t͡ʃoː/wun
uloːďəŋnəm	uloː/ďə/ŋnə/m
ďuːliːwun	ďuː/liː/wun
pəktiroːwunmə	pəktiroː/wun/mə
bussəďit͡ʃoːwun	bussə/ďi/t͡ʃoː/wun
surum	suru/m
hutəldujiː	hutə/l/du/jiː
waːnaːstən	waː/naː/s/tə/n
ďuktəduːtin	ďuktə/duː/tin
surut͡ʃoːm	suru/t͡ʃoː/m
uguːgərəw	uguː/gə/rə/w
ət͡ʃəːw	ə/t͡ʃəː/w
adilt͡ʃuhiniŋnərəwun	adil/t͡ʃu/hini/ŋnə/rə/wun
iɲďit͡ʃoːwun	iɲ/ďi/t͡ʃoː/wun
iɲďit͡ʃoːwun	iɲ/ďi/t͡ʃoː/wun
mərtin	mə/r/tin
ollomoːrəw	ollo/moː/rə/w
inďit͡ʃoːwun	in/ďi/t͡ʃoː/wun
ollomoːrəw	ollo/moː/rə/w
nulgiːt͡ʃoːwuntə	nulgiː/t͡ʃoː/wun/tə
inďit͡ʃoːwun	in/ďi/t͡ʃoː/wun
aŋiďam	aŋi/ďa/m
aŋiďam	aŋi/ďa/m
aŋiďam	aŋi/ďa/m
aŋiďam	aŋi/ďa/m
hutəlgəliji	hutə/l/gəli/ji
ďepďerə	ďep/ďe/rə
urihinəwun	uri/hin/ə/wun
towuďət͡ʃoːtin	towu/ďə/t͡ʃoː/tin
aŋənahinəŋnərəwun	aŋə/na/hinə/ŋnə/rə/wun
uďaduːtin	uďa/duː/tin
əlaː	ə/laː
dilmaːliːn	dil/maː/liː/n
əďammal	ə/ďa/m/mal
əďammal	ə/ďa/m/mal
alaːtťəfkiːl	alaːt/ťə/fkiː/l
ədaːw	ə/daː/w
ət͡ʃə	ə/t͡ʃə
ət͡ʃə	ə/t͡ʃə
ət͡ʃə	ə/t͡ʃə
ət͡ʃə	ə/t͡ʃə
əmənmurə	əmən/mu/rə
əmənmurə	əmən/mu/rə
əmənmurə	əmən/mu/rə
ət͡ʃəw	ə/t͡ʃə/w
ət͡ʃəw	ə/t͡ʃə/w
ət͡ʃəw	ə/t͡ʃə/w
nulgiďəŋkiːwun	nulgi/ďə/ŋkiː/wun
əŋkitin	ə/ŋki/tin
ənə	ə/nə
ənə	ə/nə
ənə	ə/nə
biŋkiːtin	bi/ŋkiː/tin
əmət͡ʃoːtin	əmə/t͡ʃoː/tin
əduːwəl	ə/duː/wəl
əmət͡ʃoːtin	əmə/t͡ʃoː/tin
ulgut͡ʃəːnďəm	ulgut͡ʃəːn/ďə/m
moriktəltə	mo/riktə/l/tə
əməhit͡ʃoːwun	əmə/hi/t͡ʃoː/wun
bit͡ʃo	bi/t͡ʃo
bit͡ʃo	bi/t͡ʃo
bit͡ʃo	bi/t͡ʃo
bəjəŋilbəw	bəjə/ŋi/l/bə/w
oːmnərə	oː/mnə/rə
hawalilt͡ʃalai	hawali/l/t͡ʃala/i
bihim	bi/hi/m
biďit͡ʃoːtin	bi/ďi/t͡ʃoː/tin
ədoːtin	ə/doː/tin
əwa	ə/wa
hujett͡ʃoːwun	hujet/t͡ʃoː/wun
tuksaďipkiːl	tuksa/ďi/pkiː/l
əŋkiːtin	ə/ŋkiː/tin
śimjakaːnin	śimja/kaːn/i/n
gowoďərilwo	gowo/ďə/ri/l/wo
hurum	huru/m
hurum	huru/m
nuŋaŋilin	nuŋa/ŋi/li/n
gunďəm	gun/ďə/m
nulgiːt͡ʃoːwun	nulgiː/t͡ʃoː/wun
əməktəśoːn	əmə/ktə/śoː/n
bit͡ʃoːw	bi/t͡ʃoː/w
əməm	əmə/m
uŋŋnərə	uŋ/ŋnə/rə
tawuŋnərə	tawu/ŋnə/rə
art͡ʃəmkat͡ʃaldəː	art͡ʃəmka/t͡ʃa/l/dəː
ďuːtaːďət͡ʃəːl	ďuː/taː/ďə/t͡ʃəː/l
suruďəm	suru/ďə/m
tariŋilin	tari/ŋi/li/n
ulləŋilwər	ullə/ŋi/l/wər
ələwun	ələ/wun
