hilkiďiŋnərəwun	hilki/ďi/ŋnə/rə/wun
ďuguďiŋnərəwun	ďugu/ďi/ŋnə/rə/wun
butťəŋoːl	bu/t/ťəŋoː/l
hawalďanəl	hawal/ďa/nə/l
timaːnəktawan	timaːnə/ktawa/n
bargiːγiďin	bargiː/γiďi/n
kəpkanilwəl	kəpkani/l/wəl
eːkuninkək	eːkuni/n/kək
buďəŋol	bu/ďəŋo/l
bult͡ʃaďa	bu/l/t͡ʃa/ďa
gowollo	gowo/l/lo
it͡ʃəwun	it͡ʃə/wun
aːgrəw	aːg/rə/w
ďuwurəw	ďuwu/rə/w
gowollo	gowo/l/lo
səriːwrə	səriː/w/rə
holbamal	holba/ma/l
bit͡ʃoːtin	bi/t͡ʃoː/tin
bit͡ʃoːtin	bi/t͡ʃoː/tin
bit͡ʃoːtin	bi/t͡ʃoː/tin
bit͡ʃoːtin	bi/t͡ʃoː/tin
dinŋiːləːďəŋəːn	dinŋiːləː/ďəŋəː/n
ɲaŋtaŋilwəm	ɲaŋta/ŋi/l/wə/m
əmərədə	əmə/rə/də
trofimŋil	trofim/ŋi/l
higrəw	hig/rə/w
higrəw	hig/rə/w
dəgilnun	dəgi/l/nun
klasəldulaː	klasə/l/dulaː
ďirikaltuk	ďirika/l/tuk
oďapkiːl	o/ďa/pkiː/l
huruďəriːwən	huru/ďəriː/wə/n
gənnoːpkiːl	gənnoː/pkiː/l
hurut͡ʃoːwun	huru/t͡ʃoː/wun
huwulbən	huwul/bə/n
huwulbən	huwul/bə/n
aŋilawər	aŋi/l/a/wər
śitalduk	śita/l/duk
waːrəw	waː/rə/w
ganal	ga/na/l
omoːnəwun	omoːn/ə/wun
bihiwun	bi/hi/wun
gaŋnəːrəwun	ga/ŋnəː/rə/wun
iːkəːriːwon	iːkəːriː/wo/n
tigdəďərəkin	tigdə/ďə/rəki/n
bihilbun	bi/hi/l/bun
hiːwon	hiː/wo/n
uːďaliːn	uːďa/liː/n
təlgətnəl	təlgə/t/nə/l
ət͡ʃoːtin	ə/t͡ʃoː/tin
bəjəlba	bəjə/l/ba
bəjəlba	bəjə/l/ba
bəjəlbə	bəjə/l/bə
bəjəlbə	bəjə/l/bə
tamat͡ʃaːn	tama/t͡ʃaː/n
haːŋiďaďan	haːŋi/ďa/ďa/n
uďalwaw	uďa/l/wa/w
tarilduk	tari/l/duk
ďapkaliːn	ďapka/liː/n
ŋoːləlt͡ʃə	ŋoːlə/l/t͡ʃə
əjət͡ʃəl	əjə/t͡ʃə/l
ɲaŋtala	ɲaŋta/l/a
ɲaŋtala	ɲaŋta/l/a
təruːttan	təruːt/ta/n
əjəːt͡ʃəːn	əjəː/t͡ʃəː/n
ɲaŋtala	ɲaŋta/l/a
taːnisinən	taːni/sin/ə/n
kikisinən	kiki/sin/ə/n
aːsinmurən	aː/sin/mu/rə/n
amandiːt͡ʃal	amandiː/t͡ʃa/l
əŋkiːwun	ə/ŋkiː/wun
sururəw	suru/rə/w
sururəw	suru/rə/w
muːjan	muː/ja/n
uďaliːn	uďa/liː/n
oromilowun	oro/mi/l/o/wun
waːďəpkiːl	waː/ďə/pkiː/l
ət͡ʃəːwun	ə/t͡ʃəː/wun
gadan	ga/da/n
gadan	ga/da/n
doːŋin	doː/ŋi/n
doːŋin	doː/ŋi/n
art͡ʃəmkat͡ʃal	art͡ʃəmka/t͡ʃa/l
orirə	ori/rə
sobirarə	sobira/rə
dəgrə	dəg/rə
dapdarə	dapda/rə
dəgildə	dəgi/l/də
haŋkəlďi	haŋkə/l/ďi
ďawaran	ďawa/ra/n
guldə	gu/l/də
əŋəhiːndəː	əŋəhiː/n/dəː
tugəďəfkiːl	tugə/ďə/fkiː/l
iːrgirəwuntə	iːrgi/rə/wun/tə
gowondulaːtin	gowo/n/dulaː/tin
ollolo	ollo/l/o
bakat͡ʃal	baka/t͡ʃa/l
hawalďət͡ʃaːn	hawal/ďə/t͡ʃaː/n
halwatin	ha/l/wa/tin
bi	bi
osal	o/sa/l
buːrə	buː/rə
pəktiroːrə	pəktiroː/rə
haːrə	haː/rə
bi	bi
bi	bi
bi	bi
ətərə	ətə/rə
bakaran	baka/ra/n
bi	bi
bi	bi
bi	bi
haːrə	haː/rə
bi	bi
ətərə	ətə/rə
əɲininnə	əɲini/n/nə
həŋkəttən	həŋkət/tə/n
aknilin	akni/li/n
nuŋanman	nuŋan/ma/n
nuŋanman	nuŋan/ma/n
aknilin	akni/li/n
aknilin	akni/li/n
zəkəzaŋnərəwun	zəkəza/ŋnə/rə/wun
oldolo	oldo/l/o
harumuktalin	harumukta/li/n
eːhalin	eːha/li/n
gat͡ʃal	ga/t͡ʃa/l
eːhalin	eːha/li/n
harumuktalin	harumukta/li/n
eːhalin	eːha/li/n
eːhalin	eːha/li/n
harumuktalin	harumukta/li/n
harumuktalin	harumukta/li/n
biďənorə	bi/ďə/no/rə
aŋilba	aŋi/l/ba
familjawan	familja/wa/n
guːɲďərə	guːɲ/ďə/rə
bihiltə	bi/hi/l/tə
bihiltə	bi/hi/l/tə
bihiltə	bi/hi/l/tə
oːdan	oː/da/n
oːdan	oː/da/n
nuŋandulaːn	nuŋan/dulaː/n
ɲəkəďərə	ɲəkə/ďə/rə
əmənəndəː	əmən/ə/n/dəː
nulgiːŋnərəwun	nulgiː/ŋnə/rə/wun
sawoːdalwər	sawoːda/l/wər
uďalin	uďa/li/n
higďərə	hig/ďə/rə
oːt͡ʃəːn	oː/t͡ʃəː/n
waːŋnərəwun	waː/ŋnə/rə/wun
əjəːďənnə	əjəː/ďə/n/nə
laŋilwər	laŋi/l/wər
laŋilwər	laŋi/l/wər
aďililwə	aďili/l/wə
tirganiːlwə	tirganiː/l/wə
biŋkiːntə	bi/ŋkiː/n/tə
inďəŋnərəwun	in/ďə/ŋnə/rə/wun
aŋilduk	aŋi/l/duk
haŋkəlwər	haŋkə/l/wər
huruwrə	huru/w/rə
əməśəːn	əmə/śəː/n
haːlwətin	haː/l/wə/tin
girkuďəŋnərəwun	girku/ďə/ŋnə/rə/wun
gult͡ʃo	gu/l/t͡ʃo
aŋila	aŋi/l/a
gult͡ʃo	gu/l/t͡ʃo
ŋənəŋnərəwun	ŋənə/ŋnə/rə/wun
oːdən	oː/də/n
