vassals	vassal/s
dices	dice/s
tangs	tang/s
tackles	tackle/s
triads	triad/s
concurs	concur/s
twangs	twang/s
twits	twit/s
chokes	choke/s
chocolates	chocolate/s
vicunas	vicuna/s
urchins	urchin/s
wiltons	wilton/s
cliches	cliche/s
junctions	junction/s
pianolas	pianola/s
defeats	defeat/s
daiquiris	daiquiri/s
daguerreotypes	daguerreotype/s
cults	cult/s
nipples	nipple/s
nobles	noble/s
corsages	corsage/s
oaks	oak/s
convicts	convict/s
controls	control/s
conceits	conceit/s
orbs	orb/s
ordains	ordain/s
compromises	compromise/s
codas	coda/s
clews	clew/s
claws	claw/s
banshees	banshee/s
bays	bay/s
behaves	behave/s
plaids	plaid/s
pianos	piano/s
phaetons	phaeton/s
natures	nature/s
personas	persona/s
penetrates	penetrate/s
castrates	castrate/s
parasols	parasol/s
catechisms	catechism/s
pantheons	pantheon/s
chestnuts	chestnut/s
bungles	bungle/s
praises	praise/s
drips	drip/s
dumps	dump/s
jungles	jungle/s
junks	junk/s
kids	kid/s
ingredients	ingredient/s
kneads	knead/s
infinitives	infinitive/s
infidels	infidel/s
homogenizes	homogenize/s
hemispheres	hemisphere/s
harridans	harridan/s
harbours	harbour/s
habitues	habitue/s
litigates	litigate/s
gourmands	gourmand/s
glows	glow/s
glides	glide/s
louvres	louvre/s
mitts	mitt/s
espouses	espouse/s
migraines	migraine/s
methods	method/s
fairs	fair/s
meditates	meditate/s
dudes	dude/s
maxis	maxi/s
fences	fence/s
mantels	mantel/s
films	film/s
floes	floe/s
frowns	frown/s
geldings	gelding/s
feasts	feast/s
banquets	banquet/s
resists	resist/s
babus	babu/s
scallops	scallop/s
septembers	september/s
postmortems	postmortem/s
rectangles	rectangle/s
precipitates	precipitate/s
relics	relic/s
strafes	strafe/s
republics	republic/s
schnitzels	schnitzel/s
schedules	schedule/s
risings	rising/s
ruffles	ruffle/s
precedes	precede/s
sackbuts	sackbut/s
sceptics	sceptic/s
quangos	quango/s
sheilas	sheila/s
raisins	raisin/s
slices	slice/s
premises	premise/s
authors	author/s
assets	asset/s
sidings	siding/s
simulates	simulate/s
amalgams	amalgam/s
sniffs	sniff/s
orates	orate/s
puns	pun/s
ablatives	ablative/s
aims	aim/s
ovals	oval/s
spreads	spread/s
laps	lap/s
betrays	betray/s
berths	berth/s
provisos	proviso/s
maroons	maroon/s
alters	alter/s
grocers	grocer/s
precepts	precept/s
poofs	poof/s
plectrums	plectrum/s
ballets	ballet/s
whispers	whisper/s
peris	peri/s
holographs	holograph/s
meetings	meeting/s
puts	put/s
squints	squint/s
eels	eel/s
buffets	buffet/s
cusps	cusp/s
visas	visa/s
dangles	dangle/s
tusks	tusk/s
transients	transient/s
refracts	refract/s
fins	fin/s
fistulas	fistula/s
ledges	ledge/s
coffees	coffee/s
coteries	coterie/s
timbres	timbre/s
swedes	swede/s
fords	ford/s
suffuses	suffuse/s
blinks	blink/s
duvets	duvet/s
cauliflowers	cauliflower/s
shenanigans	shenanigan/s
capsicums	capsicum/s
cankers	canker/s
sales	sale/s
flabbergasts	flabbergast/s
expletives	expletive/s
matters	matter/s
faults	fault/s
years	year/s
toes	toe/s
lines	line/s
prunes	prune/s
imports	import/s
rocks	rock/s
tests	test/s
sips	sip/s
funds	fund/s
houses	house/s
