piglet	pig/let
wisdom	wis/dom
archetype	archetype
koran	koran
cat-o'-nine-tails	cat-o'-nine-tails
agronomy	agronomy
horrid	horrid
amhara	amhara
inundate	inundate
ladybug	lady/bug
vineyard	vine/yard
cerebrum	cerebrum
chlorine	chlorine
bock	bock
cover	cover
paprika	paprika
katydid	katydid
attorney	attorn/ey
braggadocio	braggadocio
boogie	boogie
punch	punch
viceregal	vice/regal
cacao	cacao
bravura	bravura
crikey	crikey
truce	truce
aesthete	aesthete
carton	carton
breech	breech
ameliorate	ameliorate
worship	worship
undies	undies
vaudeville	vaudeville
tureen	tureen
bread-and-butter	bread-and-butter
truck	truck
hydrotherapy	hydro/therapy
algeria	algeria
paragon	paragon
choice	choice
venue	venue
ame	ame
pea	pea
gaslight	gas/light
shantytown	shanty/town
telegraph	tele/graph
serpentine	serpent/ine
ribaldry	ribald/ry
password	pass/word
showbiz	show/biz
statuette	statu/ette
necklace	neck/lace
poppycock	poppy/cock
bullshit	bull/shit
sunroof	sun/roof
gasify	gas/ify
proconsul	pro/consul
anyhow	any/how
compensatory	compensat/ory
bestir	be/stir
warlike	war/like
videotape	video/tape
toward	to/ward
lapwing	lap/wing
streak	streak
bethel	bethel
bootlace	boot/lace
lord	lord
revertible	revert/ible
maroon	maroon
ledge	ledge
lurid	lurid
smooch	smooch
militiamen	militia/men
bequeath	bequeath
pastor	pastor
rollick	rollick
antimatter	anti/matter
peri	peri
permafrost	perma/frost
right	right
pilot	pilot
plectrum	plectrum
alter	alter
safeguard	safe/guard
ironclad	iron/clad
saleroom	sale/room
precept	precept
seaborne	sea/borne
proportion	proportion
acupuncture	acupuncture
proviso	proviso
past	past
needlewoman	needle/woman
own	own
photogravure	photo/gravure
shogun	shogun
mane	mane
bedsore	bed/sore
mantis	mantis
shenanigan	shenanigan
sheer	sheer
spread	spread
ribald	ribald
madeira	madeira
batiste	batiste
momma	momma
bane	bane
morale	morale
saxophone	sax/o/phone
sandalwood	sandal/wood
oilrig	oil/rig
withhold	with/hold
eel	eel
mizzen	mizzen
suffuse	suffuse
cusp	cusp
gibbon	gibbon
gumboot	gum/boot
sure	sure
vast	vast
swede	swede
goo	goo
earthbound	earth/bound
combust	combust
fin	fin
gawp	gawp
elder	elder
cognac	cognac
timbre	timbre
expletive	expletive
fourpenny	four/penny
fortnight	for/t/night
foresaw	fore/saw
trike	tri/ke
chronic	chronic
trespass	trespass
facet	facet
fame	fame
folklore	folk/lore
coffee	coffee
yeast	yeast
fickle	fickle
clotheshorse	clothes/horse
fistula	fistula
cent	cent
halt	halt
transient	transient
ham	ham
holograph	holograph
coxswain	coxswain
suture	suture
visa	visa
hoarfrost	hoar/frost
coterie	coterie
honduras	honduras
capsicum	capsicum
dangle	dangle
conformance	con/form/ance
substandard	sub/standard
beachwear	beach/wear
mizzenmast	mizzen/mast
acquisition	acquis/ition
tollgate	toll/gate
longbow	long/bow
combustible	combust/ible
mollycoddle	molly/coddle
copilot	co/pilot
onetime	one/time
