höyrykattila	höyry/kattila
luonnosmainen	luonnos/mainen
mtk:hon	mtk\/hon
pääsykoerumba	pääsy/koe/rumba
epiteetti	epiteetti
eno	eno
soolotrumpetisti	soolo/trumpetisti
peltinen	peltinen
sokeroi	sokeroi
polvipituus	polvi/pituus
elvis	elvis
collins	collins
metateoria	meta/teoria
lumikko	lumikko
puske	puske
olki	olki
silfverberg	silfverberg
sinilippu	sini/lippu
sinetti	sinetti
pälkähtänyt	pälkähtä/nyt
kenraalieversti	kenraali/eversti
laude	laude
sikanen	sikanen
kokkareinen	kokkareinen
bryssel	bryssel
leveähartiainen	leveä/hartiainen
leniniläinen	lenini/läinen
satulakatto	satula/katto
dealer	dealer
keraaminen	keraaminen
rotko	rotko
kurjalisto	kurjalisto
mestari	mestari
nominilauseke	nomini/lauseke
viikkolaskuri	viikko/laskuri
kana	kana
barbados	barbados
niemeke	niemeke
kara	kara
jerry	jerry
karhunen	karhunen
anttilainen	anttilainen
katetuotto	kate/tuotto
näreneva	näre/neva
suojele	suojele
roju	roju
folk	folk
kimpale	kimpale
sarparanta	sarparanta
petunia	petunia
inkarnaatio	inkarnaatio
kauhuromantiikka	kauhu/romantiikka
keynes	keynes
kuusituntinen	kuusi/tuntinen
piere	piere
eräkämppä	erä/kämppä
sumea	sumea
daniel	daniel
kirjolohifilee	kirjo/lohi/filee
perhosuintispesialisti	perhos/uinti/spesialisti
vilkaiskaapa	vilkais/kaa/pa
ryöppyyn	ryöppy/yn
nimikysymys	nimi/kysymys
pengerkatu	penger/katu
kiekkojuniori	kiekko/juniori
saksipotku	saksi/potku
rantakurvi	ranta/kurvi
tautiperintö	tauti/perintö
rangaistustulli	rangaistus/tulli
ikaalislainen	ikaalis/lainen
puhdistamourakka	puhdistamo/urakka
pöytäniemi	pöytä/niemi
pakkassää	pakkas/sää
viitehinta	viite/hinta
squashtähti	squash/tähti
suksifirma	suksi/firma
säähavainto	sää/havainto
vakoniemi	vako/niemi
perinnetietoinen	perinne/tietoinen
kappalevalikoima	kappale/valikoima
keltasipuli	kelta/sipuli
otsatukka	otsa/tukka
tähtikultti	tähti/kultti
hetkellinen	hetke/llinen
paljastatte	paljasta/tte
purkakaa	purka/kaa
palatsiaukio	palatsi/aukio
valtapoliittinen	valta/poliittinen
materiaalivalikoima	materiaali/valikoima
hulttio	hulttio
ravintolasi	ravinto/lasi
ruuhka	ruuhka
boori	boori
kirvesmiesporukka	kirves/mies/porukka
kali	kali
hammaskruunu	hammas/kruunu
karahtaminen	karahta/minen
pakolaisasema	pakolais/asema
elbe	elbe
etutukivarsi	etu/tuki/varsi
tavarahuolto	tavara/huolto
fortissimo	fortissimo
amatööriorkesteri	amatööri/orkesteri
poikastuotanto	poikas/tuotanto
poliisiralli	poliisi/ralli
oikeampi	oikea/mpi
torjuntapolitiikka	torjunta/politiikka
kännykkämies	kännykkä/mies
listautuminen	listautu/minen
brittikonsultti	britti/konsultti
skitsofrenia	skitsofrenia
veteraanisarja	veteraani/sarja
laboratorioinsinööri	laboratorio/insinööri
junavaunu	juna/vaunu
liigavoiton	liiga/voi/ton
kruunutarjous	kruunu/tarjous
piiraita	pii/raita
jumbo	jumbo
optikkoliikkeeseen	optikko/liikkee/seen
loiskis	loiski/s
lehtikeli	lehti/keli
iskuteho	isku/teho
insinöörimajuri	insinööri/majuri
häpeilemättömyys	häpe/ile/mättöm/yys
kultamitaliehdokas	kulta/mitali/ehdokas
ammattitutkintolaki	ammatti/tutkinto/laki
hameeseen	hamee/seen
mediatapahtuma	media/tapahtuma
jakoviiva	jako/viiva
minipossu	mini/possu
vuorokone	vuoro/kone
nyrkkirauta	nyrkki/rauta
minitaantuma	mini/taantuma
lattiakaivo	lattia/kaivo
finanssikonserni	finanssi/konserni
kuolla	kuol/la
vastarokote	vasta/rokote
ilvespeluri	ilves/peluri
rahamääräinen	raha/määräinen
ilmarevolveri	ilma/revolveri
otteeseen	ottee/seen
euroveteraani	euro/veteraani
pidettykään	pide/tty/kään
kamarimusiikkisarja	kamari/musiikki/sarja
adoptiotyttärensä	adoptio/tyttäre/nsä
roomalaiskirjeeseen	roomalais/kirjee/seen
vetäjäpula	vetä/jä/pula
mediaspesialisti	media/spesialisti
kotikunto	koti/kunto
musiikkilehdistö	musiikki/lehdistö
kuoppasi	kuoppa/si
tarinailta	tarina/ilta
kultamitali	kulta/mitali
alusvaate	alus/vaate
hakemuksesi	hakemukse/si
amatööriseura	amatööri/seura
alusyksikkö	alus/yksikkö
eleensä	elee/nsä
loukkuun	loukku/un
tietoväylä	tieto/väylä
kuuletteko	kuule/tte/ko
katoilla	kato/il/la
alushame	alus/hame
musiikkimajuri	musiikki/majuri
jannehan	janne/han
korruptoinut	korruptoi/nut
terroristiryhmä	terroristi/ryhmä
musiikkielämys	musiikki/elämys
finanssikeskus	finanssi/keskus
