mikkeihin	mikke/i/hin
latuihin	latu/i/hin
verillä	ver/i/llä
hylsyihin	hylsy/i/hin
pentiumeihin	pentiume/i/hin
natseihin	natse/i/hin
näytteillä	näytte/i/llä
muutoksenhakuasteissa	muutokse/n/haku/aste/i/ssa
komeasarvisia	komea/sarvis/i/a
normaalivartaloisia	normaali/vartalois/i/a
harkitsemattomia	harkitse/mattom/i/a
laihempia	laihe/mp/i/a
ballistisia	ballist/is/i/a
sokerimuurahaisia	sokeri/muurahais/i/a
kuvistaan	kuv/i/sta/an
huippukokouksia	huippu/kokouks/i/a
oikeaoppisia	oikea/oppis/i/a
peruuttikin	peruutt/i/kin
monikansallisia	moni/kansallis/i/a
kohteliaisuuksia	kohteliais/uuks/i/a
hotelliinsa	hotelli/i/nsa
kenraaleilta	kenraale/i/lta
adoptioilta	adoptio/i/lta
kalkinpoistoaineen	kalki/n/poisto/ainee/n
ajoilta	ajo/i/lta
a-rajan	a/-/raja/n
asettajista	asetta/j/i/sta
peltisissä	peltis/i/ssä
maanpäällisille	maa/n/pää/llis/i/lle
vehkeitä	vehke/i/tä
väestönlaskennan	väestö/n/laske/nna/n
hokemia	hoke/m/i/a
kirkkoherranviraston	kirkko/herra/n/virasto/n
hankkimia	hankki/m/i/a
oksentavia	oksenta/v/i/a
kokeilevia	kokeile/v/i/a
teollisuudenaloista	teollis/uude/n/alo/i/sta
luonnonominaisuuksien	luonno/n/ominais/uuks/i/en
oppisuuntien	oppi/suu/n/tie/n
stipendeistä	stipende/i/stä
vähistä	väh/i/stä
rauhankehityksen	rauha/n/kehit/ykse/n
myötäjäisistä	myötäjäis/i/stä
laskoksiin	laskoks/i/in
hiiriin	hiir/i/in
kuppiin	kupp/i/in
houkuttimiin	houkuttim/i/in
manipuloitiin	manipuloi/t/i/in
veronmaksajille	vero/n/maksa/j/i/lle
osakkeenomistajiaan	osakkee/n/omista/j/i/a/an
kasvintarkastajilla	kasvi/n/tarkasta/j/i/lla
palkansaajilla	palka/n/saa/j/i/lla
suoloiksi	suolo/i/ksi
oireiksi	oire/i/ksi
ulospäinsuuntautunut	ulos/pä/i/n/suuntautunut
pituisiksi	pituis/i/ksi
sotainvalidihuoltoa	sota/i/n/validi/huolto/a
takaisinmaksuaikaa	takais/i/n/maksu/aika/a
santarmeille	santarme/i/lle
yksilöille	yksilö/i/lle
juhanille	juhan/i/lle
kuurille	kuur/i/lle
siveltimille	siveltim/i/lle
presidenteille	presidente/i/lle
kalahtelevin	kalaht/ele/v/i/n
lähitaloille	lähitalo/i/lle
jäänmurtajien	jää/n/murta/j/i/en
loukuilla	louku/i/lla
aatteilla	aatte/i/lla
afaatikoilla	afaatiko/i/lla
rankkareilla	rankkare/i/lla
käsityöllisin	käsi/työ/llis/i/n
ikaalisilla	ikaalis/i/lla
leppoisilla	leppois/i/lla
kansanryhmissä	kansa/n/ryhm/i/ssä
murtautujia	murtautu/j/i/a
hennoissa	henno/i/ssa
urissa	ur/i/ssa
shanghaissa	shangha/i/ssa
sätkynukkeina	sätky/n/ukke/i/na
takaisinmaksuna	takais/i/n/maksu/na
päinvastaiseksi	pä/i/n/vastaise/ksi
jäänteiksi	jää/n/te/i/ksi
pienosakkaille	pie/n/osakka/i/lle
objektiiveista	objektiive/i/sta
raidoista	raido/i/sta
uhista	uh/i/sta
natsoista	natso/i/sta
teoista	teo/i/sta
filosofioista	filosofio/i/sta
kotimaisemiinsa	koti/maisem/i/i/nsa
lähitaloista	lähitalo/i/sta
osioista	osio/i/sta
kaikenkokoisissa	kaike/n/kokois/i/ssa
kansainliitossa	kansa/i/n/liito/ssa
raamien	raam/i/en
kymmenien	kymmen/i/en
hagströmien	hagström/i/en
santarmien	santarm/i/en
tippien	tipp/i/en
totuuksien	totuuks/i/en
kalsonkien	kalsonk/i/en
uuhien	uuh/i/en
japsien	japs/i/en
kalanpyydyksien	kala/n/pyydyks/i/en
teatterinukkien	teatteri/n/ukk/i/en
sanoudun	sanoudu/n
masokismin	masokismi/n
tikkarin	tikkari/n
seksualiteetin	seksualiteeti/n
pressin	pressi/n
kimpaleen	kimpalee/n
efedriinin	efedriini/n
alen	ale/n
tipin	tipi/n
toinin	toini/n
söderholmin	söderholmi/n
ekblomin	ekblomi/n
ratian	ratia/n
lukiolaisen	lukiolaise/n
henkäyksen	henkäykse/n
vaellan	vaella/n
sarparannan	sarparanna/n
joosefin	joosefi/n
vaasankadun	vaasa/n/kadu/n
anttilaisen	anttilaise/n
kaksinaisen	kaksinaise/n
silfverbergin	silfverbergi/n
siveltimen	siveltime/n
hyy:n	hyy\/n
collinsin	collinsi/n
ayrshiren	ayrshire/n
koulukkaan	koulukkaa/n
tsekkaan	tsekkaa/n
lipunhinnan	lipu/n/hinna/n
lehterin	lehteri/n
tuonnin	tuonni/n
hagströmin	hagströmi/n
hovinheimon	hovi/n/heimo/n
avuntarjouksen	avu/n/tarjoukse/n
jumalanpilkan	jumala/n/pilka/n
epätäsmällisen	epätäsmällise/n
mongolian	mongolia/n
puhdistamon	puhdistamo/n
housun	housu/n
kuusinkertaiset	kuus/i/n/kertaise/t
muunrotuisia	muu/n/rotuis/i/a
lainmuutokset	la/i/n/muutokse/t
iskunvaimentimia	isku/n/vaimentim/i/a
suomenruotsalaisia	suome/n/ruotsalais/i/a
kansanosia	kansa/n/os/i/a
veit	ve/i/t
ideologisia	ideologis/i/a
junia	jun/i/a
hypoteettisia	hypoteettis/i/a
kansainvälisenkin	kansa/i/n/väli/senki/n
