roolihenkilö	rooli/henkilö
liittoutunut	liittoutu/nut
sukkasi	sukka/si
jälkijättöiseltä	jälki/jättöise/ltä
jalkapallovuosi	jalka/pallo/vuo/si
päiväuni	päivä/uni
purjehtinut	purjehti/nut
ylhäältäpäin	ylhää/ltä/päin
hellepäivä	helle/päivä
elokuvarahasto	elo/kuva/rahasto
sähköliikenne	sähkö/liikenne
estäjä	estä/jä
mittarihan	mittari/han
mitalitoivo	mitali/toivo
maalaako	maalaa/ko
luutunut	luutu/nut
puutarhatila	puu/tarha/tila
kyyjärveltä	kyy/järve/ltä
madonnamaisesti	madonna/maise/sti
menopeliltä	meno/peli/ltä
mielipidekyselyyn	mieli/pide/kysel/y/yn
kantako	kanta/ko
syömiskäyttäytyminen	syö/mis/käyttä/yty/minen
sädekehänä	säde/kehä/nä
kaatopaikkaretkeltä	kaato/paikka/retke/ltä
levälajistoon	levä/lajisto/on
hammashoitoon	hammas/hoito/on
neuvontatoimistoon	neuvonta/toimisto/on
uutislähteenä	uutis/lähtee/nä
tappiotilastoon	tappio/tilasto/on
rämältä	rämä/ltä
jäänevät	jää/ne/vät
arvomerkkinsä	arvo/merkki/nsä
iskupaikka	isku/paikka
asvalttiasemaa	asvaltti/ase/maa
hömpöttelee	hömpött/ele/e
selkiytymätön	selkiyt/y/mätön
matrikkelitoimikunta	matrikkeli/toimi/kunta
uratie	ura/tie
kaksinapaisuus	kaksi/napais/uus
syyteharkinta	syyte/harki/nta
avaruustutkimuskeskus	avar/uus/tutkimus/keskus
menetelmänä	menetelmä/nä
puutuoteteollisuus	puu/tuote/teollis/uus
kysyisivät	kysy/isi/vät
antamattomuus	anta/mattom/uus
tipautettu	tipaute/ttu
selviäisikö	selviä/isi/kö
hankintatukku	hanki/nta/tukku
lasitie	lasi/tie
tielaki	tie/laki
löytäneensä	löytä/nee/nsä
varustettu	varuste/ttu
poimittu	poimi/ttu
aukioon	aukio/on
rehumyynti	rehu/myy/nti
ostovoimaa	osto/voi/maa
joulunumeroon	joulu/numero/on
pesimärauha	pesi/mä/rauha
työlupakäytäntö	työ/lupa/käytäntö
haudutettu	haudu/te/ttu
rakennetyöttömyys	rakenne/työ/ttöm/yys
virheeni	virhee/ni
kirjailee	kirjaile/e
isopää	iso/pää
kitkettävä	kitke/ttä/vä
kulkeeko	kulke/e/ko
hyvitettävä	hyvite/ttä/vä
räjäytettävä	räjäyte/ttä/vä
autoistumisaste	auto/istu/mis/aste
vienti	vie/nti
multimediaesitys	multi/media/esit/ys
tilastollisesti	tilasto/llise/sti
päärautatieasema	pää/rauta/tie/asema
esittämispaikka	esittä/mis/paikka
järjestöelämään	järjestö/elämä/än
pureeko	pure/e/ko
tekaistuun	tekais/tu/un
säteilyttämällä	säteil/yttä/mä/llä
erimielisyytemme	eri/mielis/yyte/mme
niemekkeellä	niemekkee/llä
rippikouluikään	rippi/koulu/ikä/än
yrjölällä	yrjölä/llä
myynnillä	myy/nni/llä
päätynee	pääty/ne/e
kestävyys	kestä/v/yys
riippunee	riippu/ne/e
alaspäinkin	alas/päin/kin
sähköautoon	sähkö/auto/on
huolisi	huol/isi
piristysruisku	pirist/ys/ruisku
korottaisi	korotta/isi
tasokkuus	tasokk/uus
jäätyisi	jääty/isi
kuuntelisi	kuuntel/isi
allergisuus	allergis/uus
nivusvammansa	nivus/vamma/nsa
velvollisuus	velvollis/uus
pimenisi	pimen/isi
hienostuneesti	hienostu/nee/sti
videopalvelimelta	video/palvelime/lta
pätevänä	päte/vä/nä
piirtäisi	piirtä/isi
kaatuisi	kaatu/isi
tarjoaisi	tarjoa/isi
kehuisi	kehu/isi
hälytystehtävä	hälyt/ys/tehtävä
muslimiryhmään	muslimi/ryhmä/än
tuomiojalta	tuomi/oja/lta
peitellään	peit/el/lä/än
turvallisuusneuvostoon	turva/llis/uus/neuvosto/on
äänestäneeni	äänestä/nee/ni
velkajärjestelyllä	velka/järjest/el/y/llä
komiteataipaleensa	komitea/taipale/e/nsa
luokkakokouksemme	luokka/kokoukse/mme
keräämäni	kerää/mä/ni
rempseyttä	rempse/yt/tä
jäseneltään	jäsene/ltä/än
pikkusiskonsa	pikku/sisko/nsa
elementtityö	elementti/työ
myöhemmässä	myöhe/mmä/ssä
piirrosfilmissä	piirros/filmi/ssä
meriliikenteessä	meri/liikentee/ssä
loppukiireessä	loppu/kiiree/ssä
käytännöllisyyttä	käytännö/llis/yyt/tä
sytyttämään	syty/ttä/mä/än
nähdessä	näh/de/ssä
määrittelisi	määritt/el/isi
arkityylissä	arki/tyyli/ssä
sotatantereelta	sota/tanteree/lta
tasoituksellisesti	tasoit/ukse/llise/sti
halventaisi	halve/nta/isi
perusteltu	perust/el/tu
haasteltu	haast/el/tu
terapeuttinenkin	terapeuttinen/kin
