joukkuemäessäkin	joukkue/mäe/ssä/kin
aikuisväestöstä	aikuis/väestö/stä
kulkuyhteydestä	kulku/yhteyde/stä
istumapaikka	istu/ma/paikka
arvovaltansakin	arvo/valta/nsa/kin
pyöritetään	pyöri/te/tä/än
ylityömääräystä	ylityö/määrä/ys/tä
opiskelijapariskunta	opiskeli/ja/paris/kunta
tarjousmenettelyä	tarjous/menettel/y/ä
muistonsa	muisto/nsa
huulisyöpää	huuli/syöpä/ä
ranskalaistyylistä	ranskalais/tyyli/stä
pesäpallotyyliin	pesä/pallo/tyyli/in
seuransa	seura/nsa
kylmenevässä	kylmene/vä/ssä
käsisäätöä	käsi/säätö/ä
jäsentämässä	jäsentä/mä/ssä
pettymystäni	pettymys/tä/ni
häiriintyneessä	häiriinty/nee/ssä
rääpälettä	rääpälet/tä
pienoissukellusvene	pienois/sukell/us/vene
hävitä	hävi/tä
kasvihuonevaikutus	kasvi/huone/vaikut/us
konetyyppiä	kone/tyyppi/ä
kilimanjaro-maastopyörä	kilimanjaro/-/maasto/pyörä
ottolainausenemmyys	otto/laina/us/enemmyys
sukupuolivalistus	suku/puoli/valist/us
halpamyyntiä	halpa/myy/nti/ä
aurinkotyttö-kisa	aurinko/tyttö/-/kisa
naispuolustusministeri	nais/puolust/us/ministeri
keksintöarsenaaliin	keksintö/arsenaali/in
jääkiekkoileva	jää/kiekkoile/va
oppositioedustaja	oppositio/edusta/ja
viimeistelyssä	viimeistel/y/ssä
jäädytettäisiin	jäädy/te/ttä/isi/in
kestävyydestään	kestä/v/yyde/stä/än
henkivakuutusyhtiö	henki/vakuut/us/yhtiö
muinaismuistoalueeksi	muinais/muisto/aluee/ksi
jokeripelaaja	jokeri/pelaa/ja
taivallettiin	taival/letti/in
päätösprosessiin	päätös/prosessi/in
kulttuuriseltakin	kulttuurise/lta/kin
talouskomissiota	talo/usko/missio/ta
pelihalliin	peli/halli/in
countrylaulaja	country/laula/ja
alakanttiin	ala/kantti/in
intohimoisena	into/himoise/na
juniorityössä	juniori/työ/ssä
toimintaelokuvana	toimi/nta/elo/kuva/na
keikkapalkkiona	keikka/palkkio/na
ratkaisuperiaate	ratkais/u/peri/aate
nimityksestään	nimit/ykse/stä/än
kuluttajahintaindeksistä	kulu/tta/ja/hinta/indeks/is/tä
kauppasummana	kauppa/summa/na
vinouttavasti	vinoutta/va/sti
peseytymistilana	peseyty/mis/tila/na
pankkivirkailijana	pankki/virkailija/na
tärvelemästä	tärvele/mä/stä
kyyhöttävää	kyyhöttä/vä/ä
keskuskirjastona	keskus/kirjasto/na
vertailuarvoon	verta/il/u/arvo/on
kalitta	kali/tta
tapaturma-asemalta	tapa/turma/-/asema/lta
lukemalta	luke/ma/lta
jännitysmomenttina	jännit/ys/momentti/na
kustannussäästönä	kustann/us/säästö/nä
eino-juhani	eino/-/juha/ni
järjestystä	järjest/ys/tä
nobel-palkintoon	nobel/-/palkinto/on
millimetripaperille	milli/metri/paperi/lle
rahastuslaite	rahast/us/laite
neuvontakuluja	neuvonta/kulu/ja
maahantunkeutumista	maa/han/tunkeutumis/ta
murtovarkautta	murto/varkaut/ta
keskiaikaiseksi	keski/aikaise/ksi
mataluutta	matal/uut/ta
kuivasaarta	kuiva/saar/ta
kinttupoluksi	kinttu/polu/ksi
tomaattisosetta	tomaatti/soset/ta
ennennäkemättömäksi	ennen/näkemättömä/ksi
tihkusadetta	tihku/sadet/ta
avausraita	ava/us/raita
halpenemisena	halpene/mise/na
päähenkilöään	pää/henkilö/ä/än
katselleeksi	katsel/lee/ksi
siistimmäksi	siisti/mmä/ksi
diplomaattiseksi	diplomaatt/ise/ksi
virtausmittari	virta/us/mittari
peitetyksi	peite/ty/ksi
