ongelmapelurille	ongelma/peluri/lle
länsisuuntaan	länsi/suunta/an
myyntikatteella	myy/nti/kattee/lla
telakkayhtiölle	telakka/yhtiö/lle
pukeutuu	puke/utu/u
luvattaisiin	luva/tta/isi/in
elinalueeltaan	elin/aluee/lta/an
formulamaailmassa	formula/maa/ilma/ssa
hienostuneeksi	hienostu/nee/ksi
koreografilinjalle	koreografi/linja/lle
sukkahousuniksejä	sukka/housu/nikse/j/ä
kolmikkona	kolmikko/na
kapteenina	kapteeni/na
huolellisuudella	huole/llis/uude/lla
autokauppiaalle	auto/kauppiaa/lle
pääpuoleksi	pää/puole/ksi
helppoudelle	helppo/ude/lle
opiskelijavaihtona	opiskeli/ja/vaihto/na
liikuntajohtajaksi	liiku/nta/johta/ja/ksi
jumbona	jumbo/na
lohkona	lohko/na
jäsenkuntaan	jäsen/kunta/an
viimeisteltäväksi	viimeistel/tä/vä/ksi
arvosanojensa	arvo/sano/j/e/nsa
raivostuttavalta	raivostu/tta/va/lta
haudutetulla	haudu/te/tu/lla
estepuolellakin	este/puole/lla/kin
luonnehdittava	luonnehdi/tta/va
beetakaroteenilla	beeta/karoteeni/lla
sotilaspolitiikkaan	sotilas/politiikka/an
investointipäätökseen	investoi/nti/päätö/kse/en
toimintavuottaan	toimi/nta/vuo/tta/an
liberaalipuolueella	liberaali/puoluee/lla
tulkkipalvelu	tulkki/palvel/u
ruohosipulilla	ruoho/sipuli/lla
palvelutunti	palvel/u/tunti
dx-kuuntelija	dx/-/kuunteli/ja
asuntoluototuksessa	asunto/luotot/ukse/ssa
raipparangaistukseen	raippa/rangais/tu/kse/en
kalastusrekisteriin	kalast/us/rekisteri/in
könttäsummalla	könttä/summa/lla
paikallisjunalla	paikallis/juna/lla
kielelliselle	kiele/llise/lle
vaalikierroksella	vaali/kierrokse/lla
asemakaava-aluetta	ase/makaa/va/-/aluet/ta
leikkaussaliin	leikka/us/sali/in
pudotukseksi	pudot/ukse/ksi
valmistuspalveluyritys	valmist/us/palvel/u/yrit/ys
kuullulla	kuul/lu/lla
kumppanillanne	kumppani/lla/nne
etuvetoisella	etu/vetoise/lla
sokeritaudilla	sokeri/taudi/lla
raportoinnilla	raportoi/nni/lla
juoksuerolla	juoksu/ero/lla
yhteysjohtajaksi	yhteys/johta/ja/ksi
janne-saliin	janne/-/sali/in
kunniamaininnasta	kunnia/maini/nna/sta
harmittomammasta	harmi/ttoma/mma/sta
vastaanottaessani	vastaanotta/e/ssa/ni
elämyspuistossa	elämys/puisto/ssa
prosenttilinjalla	prosentti/linja/lla
sopimuspoliittisessa	sopimus/poliittise/ssa
turkulaisessa	turku/laise/ssa
kulttuuritajunnassa	kulttuuri/tajunna/ssa
metsäseudulla	metsä/seudu/lla
kustannusvirkailijana	kustann/us/virkailija/na
rintamasotilastunnusta	rintama/sotilas/tunnu/sta
vaihtoehdossakin	vaihto/ehdo/ssa/kin
tupaantuliaispaikalle	tupa/an/tuliais/paika/lle
seurustelurinkiin	seurustel/u/rinki/in
kasinokaupungissa	kasino/kaupungi/ssa
sotilassoittokunnasta	sotilas/soitto/kunna/sta
minikoossa	mini/koo/ssa
budjettiluonnoksessa	budjetti/luonnokse/ssa
taustatietona	taus/ta/tieto/na
liikenneruuhkassa	liikenne/ruuhka/ssa
ostopuolella	osto/puole/lla
perheneuvonnassa	perhe/neuvonna/ssa
letkautus	letkaut/us
kuvana	kuva/na
nobel-palkintona	nobel/-/palkinto/na
erityishuippukokouksesta	erityis/huippu/kokoukse/sta
vaikeuttamisella	vaikeutta/mise/lla
peruskorossa	perus/koro/ssa
asukaskokouksessa	asukas/kokoukse/ssa
ryppyiseksi	ryppyise/ksi
muumioksi	muumio/ksi
paronitarta	paronitar/ta
quijoteksi	quijote/ksi
reformaatiota	reformaatio/ta
seikaksi	seika/ksi
polyfonista	polyfonis/ta
populaariksi	populaari/ksi
kaunotarta	kaunotar/ta
naamiota	naamio/ta
koulupohjalla	koulu/pohja/lla
juomateollisuuteen	juo/ma/teollis/uute/en
sokeripitoisuuteen	sokeri/pitois/uute/en
projektiavustusta	projekti/avust/us/ta
merkkitietoisuuteen	merkki/tietois/uute/en
lomarakennusta	loma/rakenn/us/ta
erotumme	erot/u/mme
kuntarajalla	kunta/raja/lla
moosekseksi	moosekse/ksi
epätäsmälliseksi	epätäsmällise/ksi
eu-edustus	eu/-/edust/us
psykoottista	psykoottis/ta
investointiosuudesta	investoi/nti/osuude/sta
fm-kartta	fm/-/kart/ta
luentotenttejä	luento/tentte/j/ä
avaintermejä	avain/terme/j/ä
kuluneelle	kulu/nee/lle
verohelpotusta	vero/helpot/us/ta
panttioikeuteen	pantti/oike/ute/en
hajamielisyyteen	haja/mielis/yyte/en
järkeenkäyvältä	järke/en/käyvä/ltä
päivitettyjä	päivite/tty/j/ä
puutarhapalstallaan	puu/tarha/palsta/lla/an
tittelikamppailussa	titteli/kamppa/il/u/ssa
kohentamalla	kohe/nta/ma/lla
finaalikamppailussa	finaali/kamppa/il/u/ssa
pompottavana	pompotta/va/na
epäsopivana	epäsopi/va/na
tuovana	tuo/va/na
puolisotilaalliseen	puoli/sotilaa/llise/en
omenallani	omena/lla/ni
näytelmällisyyteen	näytelmä/llis/yyte/en
tulevallakaan	tule/va/lla/kaan
ainekseltaan	ainekse/lta/an
tapaukselle	tapa/ukse/lle
erotetulla	erote/tu/lla
suhteutetulla	suhteute/tu/lla
kirja-arvostelijana	kirja/-/arvosteli/ja/na
viimeistelyharjoituksessaan	viimeistel/y/harjoit/ukse/ssa/an
rakastajana	rakasta/ja/na
likaajana	likaa/ja/na
linja-autoksi	linja/-/auto/ksi
kilpailutetaan	kilpail/ute/ta/an
kumoutuu	kumoutu/u
hienostuneessa	hienostu/nee/ssa
laukkaamaan	laukkaa/ma/an
leikkauttamaan	leikkautta/ma/an
voitelu	voitel/u
riskeeraamaan	riskeeraa/ma/an
rentouttamaan	rentoutta/ma/an
murtamaan	murta/ma/an
aseteltaessa	aset/el/ta/e/ssa
päiväkirjamerkintöjen	päivä/kirja/merki/ntö/j/en
motivoivaksi	motivoi/va/ksi
tultava	tul/ta/va
oivallettavaksi	oivalle/tta/va/ksi
luettavaksi	lue/tta/va/ksi
työturvalla	työ/turva/lla
järvikohtaukseen	järvi/kohta/ukse/en
maestrolle	maestro/lle
hongalle	honga/lle
asserille	asseri/lle
foorumille	foorumi/lle
paroselle	parose/lle
kieppeille	kieppei/lle
kohdulle	kohdu/lle
liiterille	liiteri/lle
saviselle	savise/lle
linssille	linssi/lle
rypäälle	rypää/lle
rentoutuneeksi	rentout/u/nee/ksi
lobotomialeikkaukseen	lobotomia/leikka/ukse/en
kalastusalukseen	kalast/us/alu/kse/en
laatijaksi	laati/ja/ksi
