kahdeksaansataan	kahdeksa/an/sata/an
kemiaan	kemia/an
moosekselle	moosekse/lle
kylpyhuoneesta	kylpy/huonee/sta
nousukunnosta	nousu/kunno/sta
kurdipakolaisesta	kurdi/pakolaise/sta
komentorakenteesta	komento/rakentee/sta
mordvalaista	mordva/lai/sta
suurimittaisesta	suuri/mittaise/sta
toimeentulotueksi	toime/en/tulo/tue/ksi
ei-toivottavaan	ei/-/toivo/tta/va/an
islantilaisesta	islanti/laise/sta
psykoterapeutista	psyko/terapeuti/sta
parhaimmasta	parha/imma/sta
toimintasuunnitelmassaan	toimi/nta/suunnitelma/ssa/an
velkojaksi	velko/ja/ksi
rokottamalla	rokotta/ma/lla
poikastuotannosta	poikas/tuotanno/sta
ristiinnaulitsemalla	ristiinnaulitse/ma/lla
länsi-afrikassa	länsi/-/afrika/ssa
kertomalla	kerto/ma/lla
iltajuhlasta	ilta/juhla/sta
sähköhellasta	sähkö/hella/sta
saastuttamassa	saastu/tta/ma/ssa
toistumassa	toistu/ma/ssa
suomestahan	suome/sta/han
otettavalle	ote/tta/va/lle
naapuri-yhdistykseen	naapuri/-/yhdist/ykse/en
kehitysyhteistyötukea	kehit/ys/yhteis/työ/tuke/a
tarttuvaan	tarttu/va/an
otetaankin	ote/ta/an/kin
rangaistuspysähdykseen	rangaistus/pysähdykse/en
kevätniemeen	kevät/nieme/en
suomalaismenestykseen	suomalais/menestykse/en
aurausta	aura/us/ta
monikulttuuriseen	moni/kulttuurise/en
juhana-kvartetissa	juha/na/-/kvarteti/ssa
korkeakoulusta	korkea/koulu/sta
oikeistolaisuudesta	oikeistolais/uude/sta
lihallisesta	liha/llise/sta
varmuudesta	varm/uude/sta
patamustimmatkin	pata/must/imma/t/kin
palkintojenjakoiltaan	palki/nto/j/en/jako/ilta/an
kaavoineen	kaavo/ine/en
tekijöineen	tekijö/ine/en
hoikkuudesta	hoikk/uude/sta
mutaisella	mutaise/lla
triljoonalla	triljoona/lla
messulla	messu/lla
purrella	purre/lla
oskulla	osku/lla
pimennysverhot	pime/nn/ys/verho/t
plakaatteineen	plakaatte/ine/en
vastausta	vasta/us/ta
kaameudessaan	kaame/ude/ssa/an
kuluttajaliitosta	kulu/tta/ja/liito/sta
kotivaltiossaan	koti/valtio/ssa/an
neuvonnalla	neuvonna/lla
sopeutuvuudesta	sopeut/u/v/uude/sta
osastonaan	osasto/na/an
tasoittuessa	tasoitt/u/e/ssa
pyhäaikataulujen	pyhä/aika/taulu/j/en
haurastumiseen	haurastu/mise/en
pompottelussa	pompott/el/u/ssa
helmassa	helma/ssa
foodissa	foodi/ssa
dortmundissa	dortmundi/ssa
kiimassa	kiima/ssa
humussa	humu/ssa
barbadosissa	barbadosi/ssa
dramaturgiassa	dramaturgia/ssa
manchesterissa	manchesteri/ssa
sipoossa	sipoo/ssa
kyproksessa	kyprokse/ssa
vialliseen	via/llise/en
sts-pankista	sts/-/panki/sta
mongoliassa	mongolia/ssa
fortissimossa	fortissimo/ssa
ehdolla	ehdo/lla
madonnassa	madonna/ssa
jonesistakin	jonesi/sta/kin
liikuntavammojen	liiku/nta/vammo/j/en
työkaluohjelmistojen	työ/kalu/ohjelmisto/j/en
maatalousopistojen	maa/talous/opisto/j/en
sekaannutaan	sekaannu/ta/an
jousituksesta	jousit/ukse/sta
juoksutetaan	juoksute/ta/an
edustajanaan	edu/sta/jana/an
punamultamaalia	puna/multa/maali/a
hienosäätöhommaa	hieno/säätö/homma/a
itähelsinkiläiset	itä/helsinki/läise/t
koripallofinaalit	kori/pallo/finaali/t
metsälautakunnat	metsä/lauta/kunna/t
harrastuksessaan	harrast/ukse/ssa/an
lintulajistostaan	lintu/lajisto/sta/an
filmikäsikirjoittajat	filmi/käsi/kirjoitta/ja/t
sojoteltavasta	sojot/el/ta/va/sta
lattialämmityksestä	lattia/lämmi/t/ykse/stä
avaamasta	avaa/ma/sta
ilmaisulle	ilmais/u/lle
järjestäjäseurat	järjestä/jä/seura/t
ykkösohjelmarahaa	ykkös/ohjelma/raha/a
autovaraosat	auto/vara/osa/t
pesäpallomuistot	pesä/pallo/muisto/t
korkeakoulujärjestelmät	korkea/koulu/järjestelmä/t
ammattinukketeatteria	ammatti/nukke/teatteri/a
minuuttiaikataulua	minuutti/aika/taulu/a
neuvottelukokoukseen	neuvottel/u/kokoukse/en
kompastumisestaan	kompastu/mise/sta/an
natsirikolliset	natsi/riko/llise/t
pestipalvelusta	pesti/palvel/u/sta
vapaaehtoisesti	vapa/a/ehtoise/sti
motocross-rataa	moto/cross/-/rata/a
säilytellä	säily/t/el/lä
sairastuttuani	sairas/tuttu/a/ni
sotarikolliset	sota/riko/llise/t
