ihannevastustajat	ihanne/vastusta/ja/t
ansaitsevatko	ansaitse/va/t/ko
kroaattijohtajaa	kroaatti/johta/ja/a
peltiseen	peltise/en
vuoriseen	vuorise/en
trooppiseen	trooppise/en
talvikengät	talvi/kengä/t
näköispainokset	näköis/painokse/t
niskavillat	niska/villa/t
salamityyppiset	salami/tyyppise/t
muovilaidat	muovi/laida/t
nukkavierut	nukka/vieru/t
lakkaamattomat	lakkaa/mattoma/t
kestosuosikit	kesto/suosiki/t
kasvuennusteet	kasvu/ennustee/t
lihotuskuuri	liho/t/us/kuuri
venäläislähteet	venäläis/lähtee/t
sädehoidot	säde/hoido/t
ulkomaiset	ulko/maise/t
läänikohtaiset	lääni/kohtaise/t
laivaväylät	laiva/väylä/t
viljatuotteet	vilja/tuottee/t
akrobaattiset	akrobaatt/ise/t
sivuseinät	sivu/seinä/t
tiedenaiset	tiede/naise/t
analysoidut	analysoi/du/t
sadeojat	sade/oja/t
kassakaapit	kassa/kaapi/t
booriyhdisteet	boori/yhdistee/t
tehdaskiinteistöt	tehdas/kiinteistö/t
itäberliiniläisten	itä/berliini/läis/t/en
kairaustehtävät	kaira/us/tehtävä/t
kuljetusmäärät	kuljet/us/määrä/t
lauluhetket	laulu/hetke/t
sillifileet	silli/filee/t
ongelmaluotot	ongelma/luoto/t
keynesiläiset	keynesi/läise/t
tenttiajat	tentti/aja/t
alkuvoimaisten	alku/voi/mais/t/en
hidastusmutkaa	hidast/us/mutka/a
dollarinippua	dollari/nippu/a
mosaiikkilattiat	mosaiikki/lattia/t
lukuiloa	luku/ilo/a
finanssileirit	finanssi/leiri/t
olutostot	olut/osto/t
hiihtotoivot	hiihto/toivo/t
kasinopelurit	kasino/peluri/t
kipeimmät	kipe/immä/t
mäkikotkat	mäki/kotka/t
pistetyt	piste/ty/t
sankarimytologiaa	sankari/mytologia/a
peruslaitteistot	perus/laitteisto/t
konnatroikkaa	konna/troikka/a
rahasotkut	raha/sotku/t
hallitusremonttia	hallitus/remontti/a
lapsuusmuistot	lapsuus/muisto/t
rippikirjat	rippi/kirja/t
lakkautusuhkaa	lakkaut/us/uhka/a
metsämannut	metsä/mannu/t
tiibet-sympatiaa	tiibet/-/sympatia/a
perhetuet	perhe/tue/t
kaakkois-bosniaa	kaakkois/-/bosnia/a
erikoisvarusteet	erikois/varustee/t
milligrammaa	milli/gramma/a
sotilaspuvut	sotilas/puvu/t
säästösummat	säästö/summa/t
fm-tutkintoa	fm/-/tutkinto/a
alalajia	ala/laji/a
talouspaperit	talous/paperi/t
palkintopallia	palkinto/palli/a
