valintamahdollisuuksiin	vali/nta/mahdollis/uuks/i/in
epäsuotuiset	epäsuotuise/t
vitsikkäät	vitsikkää/t
eilat	eila/t
latteat	lattea/t
oraat	oraa/t
heteroseksuaalit	heteroseksuaali/t
poijut	poiju/t
avantgardistit	avantgardisti/t
seurustelet	seurustele/t
pyllyt	pylly/t
pekkalat	pekkala/t
pahat	paha/t
katolilaiset	katolilaise/t
toimenpiteenään	toime/n/pitee/nä/än
kosketat	kosketa/t
naispesäpalloilijoita	nais/pesä/palloili/jo/i/ta
raaka-ainekustannuksissa	raaka/-/aine/kustann/uks/i/ssa
hulttiot	hulttio/t
dramaturgit	dramaturgi/t
palkankorotusvaatimusta	palka/n/korot/us/vaatimus/ta
päivätyökeräyksen	päivä/työ/kerä/ykse/n
sanomalehtitalon	sano/ma/lehti/talo/n
puheenjohtajakokoukselle	puhee/n/johta/ja/kokoukse/lle
maidontuotantokykyä	maido/n/tuotanto/kyky/ä
kuriositeettia	kuriositeetti/a
saumaa	sauma/a
uudenaikaistaa	uudenaikaista/a
huntua	huntu/a
nettoaa	nettoa/a
humoreskia	humoreski/a
puimuria	puimuri/a
reumaa	reuma/a
voittoa	voitto/a
kokoelmaa	kokoelma/a
tunnelia	tunneli/a
murentua	murentu/a
peittoaa	peittoa/a
ambulanssia	ambulanssi/a
mechelininkatua	mechelininkatu/a
mirjamia	mirjami/a
kovettaa	kovetta/a
nostamispaineitakaan	nosta/mis/paine/i/ta/kaan
hankkia	hankki/a
neuvostoa	neuvosto/a
omistautua	omistautu/a
rentouttaa	rentoutta/a
moralismia	moralismi/a
henkilöhaastatteluilla	henkilö/haasta/tt/el/u/i/lla
velkoa	velko/a
pitäjänkarttaan	pitä/jä/n/kart/ta/an
rauhanturvaajajääkäri	rauha/n/turvaa/ja/jääkäri
palvelusetelikokeilun	palvel/u/seteli/kokeil/u/n
tietokantasovelluksissa	tieto/kanta/sovell/uks/i/ssa
bratislavan-suurlähettiläs	bratislava/n/-/suur/lähettiläs
santamäki-vuoren	santa/mäki/-/vuore/n
ilmapuolustusliiton	ilma/puolust/us/liito/n
pukeutumistiloissa	puke/utu/mis/tilo/i/ssa
määräaikaistileillä	määrä/aikais/tile/i/llä
yleisurheilujoukkueen	yleis/urheil/u/joukkuee/n
joulunalusaikana	joulu/n/alus/aika/na
päänkivistystä	pää/n/kivist/ys/tä
ei-kielellisiä	ei/-/kiele/llis/i/ä
umpikaivolietteiden	umpi/kaivo/liette/i/den
tarkkailumatkan	tarkka/il/u/matka/n
eu-maatalouden	eu/-/maa/taloude/n
maailmanstandardiksi	maa/ilma/n/standardi/ksi
paisunta-astian	paisu/nta/-/astia/n
mielenterveyspalveluja	miele/n/terve/ys/palvel/u/j/a
kanssakilpailijoiden	kanssa/kilpaili/jo/i/den
saksalaiskirjailijoiden	saksalais/kirjaili/jo/i/den
laskosten	laskos/t/en
rauhasten	rauhas/t/en
valitusosoituksen	valit/us/osoit/ukse/n
myötäjäisten	myötäjäis/t/en
osavaltioidensa	osa/valtio/i/de/nsa
pelaajapalkkioluvuilla	pelaa/ja/palkkio/luvu/i/lla
pirstoutuneiden	pirsto/utu/ne/i/den
selvimmillään	selv/imm/i/llä/än
puhdaspiirteisimpiä	puhdas/piirteis/imp/i/ä
amerikkalaiskuluttajan	amerikkalais/kulu/tta/ja/n
elämäntapaan	elä/mä/n/tapa/an
hengenvaarallisessa	henge/n/vaara/llise/ssa
itsenäisyyspyrkimyksistä	itsenäis/yys/pyrkimyks/i/stä
energiantuottajana	energia/n/tuotta/ja/na
pidätettävien	pidä/te/ttä/v/i/en
juustohöyläratkaisuilla	juusto/höylä/ratkais/u/i/lla
tilinpäätöstietojen	tili/n/päätös/tieto/j/en
ääniharavoina	ääni/hara/vo/i/na
kerrosneliömetrin	kerros/neliö/metri/n
ympäristövalmiusjoukon	ympäristö/valmius/jouko/n
panttivankiasian	pantti/vanki/asia/n
rajaviranomainen	raja/vira/n/omainen
mielipidevangin	mieli/pide/vangi/n
kerrostalokorttelin	kerros/talo/kortteli/n
kirkkoherranvaali	kirkko/herra/n/vaali
maksuosuusremontin	maksu/osuus/remonti/n
elinkeinotuen	elin/keino/tue/n
pienennettiin	piene/nne/tt/i/in
