kioskiryöstäjiä	kioski/ryöstä/j/i/ä
koulutusavun	koulut/us/avu/n
kellankalpeaksi	kella/n/kalpea/ksi
taajama-alueiksi	taajama/-/alue/i/ksi
ohjailemista	ohja/ile/m/i/sta
tanska-norjan	tanska/-/norja/n
siirto-operaation	siirto/-/operaatio/n
terrorismi-sanan	terrorismi/-/sana/n
julkisuusongelmista	julkis/uus/ongelm/i/sta
elbe-joen	elbe/-/joe/n
rakennusluvan	rakenn/us/luva/n
emu-taantuman	emu/-/taantuma/n
lähentymisehdoista	lähenty/mis/ehdo/i/sta
hyvityksinä	hyvit/yks/i/nä
opinto-ohjelman	opinto/-/ohjelma/n
itä-berliinin	itä/-/berliini/n
kansa-yhtymän	kansa/-/yhtymä/n
ilves-kissoille	ilves/-/kisso/i/lle
myyntiehdoista	myy/nti/ehdo/i/sta
metsänhoitomiehet	metsä/n/hoito/miehe/t
tolppakengillä	tolppa/keng/i/llä
stafylokokkibakteereihin	stafylokokki/bakteere/i/hin
rekisterinpitäjät	rekisteri/n/pitä/jä/t
arvostelumyrskyn	arvostel/u/myrsky/n
sts-ryhmän	sts/-/ryhmä/n
röntgensäteillä	röntgen/säte/i/llä
kivi-kuvan	kivi/-/kuva/n
säveltäjäneroa	säveltä/jä/n/ero/a
maalisvaaleihin	maalis/vaale/i/hin
huoltotöihin	huolto/tö/i/hin
suunnittelupuolen	suunnittel/u/puole/n
steiner-koulun	steiner/-/koulu/n
oppimistani	oppi/m/i/sta/ni
iltakonsertteihin	ilta/konsertte/i/hin
palestiinalaisvaaleihin	palestiinalais/vaale/i/hin
mukaanoton	muka/an/oto/n
kunnianarvoisalle	kunnia/n/arvoisa/lle
demarilähteiden	demari/lähte/i/den
venetelineiden	vene/teline/i/den
aataminomenaan	aatami/n/omena/an
sekajätteiden	seka/jätte/i/den
valmistusvaiheissa	valmist/us/vaihe/i/ssa
käyttövaatteiden	käyttö/vaatte/i/den
tunkeuduimme	tunke/udu/i/mme
euroseteleiden	euro/setele/i/den
tiedonsaantioikeuden	tiedo/n/saa/nti/oike/ude/n
eurooppa-sopimuksissa	eurooppa/-/sopimuks/i/ssa
huippukorkeiden	huippu/korke/i/den
merkkituotteiden	merkki/tuotte/i/den
liittovaltioiden	liitto/valtio/i/den
muslimiperheiden	muslimi/perhe/i/den
pikkurämeiden	pikku/räme/i/den
tavaroihinsa	tavaro/i/hi/nsa
taustajoukoissa	taus/ta/jouko/i/ssa
karkotettavan	karkote/tta/va/n
tiedonsirujen	tiedo/n/siru/j/en
lainattuihin	laina/ttu/i/hin
epäuskottavan	epäusko/tta/va/n
laskijoiden	laski/jo/i/den
roolieni	rool/i/e/ni
palvelumuodon	palvel/u/muodo/n
syntyajoilta	synty/ajo/i/lta
palveluasunnon	palvel/u/asunno/n
lyhtypylväissä	lyhty/pylvä/i/ssä
irrotettavan	irrote/tta/va/n
teatterityöntekijät	teatteri/työ/n/tekijä/t
myrkkysäiliöitä	myrkky/säiliö/i/tä
piirustelun	piirust/el/u/n
standardikysymyksissä	standardi/kysymyks/i/ssä
irrottelun	irrott/el/u/n
perinteitäkään	perinte/i/tä/kään
laiturinnokassa	laituri/n/noka/ssa
mosaiikkitöitä	mosaiikki/tö/i/tä
paksunsuolensyövässä	paksu/n/suole/n/syö/vä/ssä
kujanpäälle	kuja/n/pää/lle
tieosakkaiden	tie/osakka/i/den
hajanäytteitä	haja/näytte/i/tä
vaihtopisteitä	vaihto/piste/i/tä
erillisinäkin	erillis/i/nä/kin
meluhaitta	melu/ha/i/tta
perunakaupoista	peru/na/kaupo/i/sta
asfalttiteitä	asfaltti/te/i/tä
kokeiltavissa	kokeil/ta/v/i/ssa
pärjänneitä	pärjän/ne/i/tä
romaaniensa	romaan/i/e/nsa
nostattavista	nosta/tta/v/i/sta
tamilitiikereistä	tamili/tiikere/i/stä
hedelmäeristä	hedelmä/er/i/stä
hallintoihmisiä	hallinto/ihmis/i/ä
miinusmerkkisistä	miinus/merkkis/i/stä
vähämerkityksisistä	vähä/merkityksis/i/stä
pyrkimyksillämme	pyrkimyks/i/llä/mme
tuontikiintiöistä	tuonti/kiintiö/i/stä
punatiilisiä	puna/tiilis/i/ä
ravintolisistä	ravinto/lis/i/stä
tulvavesistä	tulva/ves/i/stä
oivalluksissaan	oivall/uks/i/ssa/an
kudosnäytteistä	kudos/näytte/i/stä
budjettiriihistä	budjetti/riih/i/stä
lisävesiä	lisä/ves/i/ä
hempeämielisiä	hempeä/mielis/i/ä
viljanmaalla	vilja/n/maa/lla
riita-asioista	riita/-/asio/i/sta
natsimielisiä	natsi/mielis/i/ä
pikkuleivistä	pikku/leiv/i/stä
koulutettavien	koulute/tta/v/i/en
erikoispalveluissa	erikois/palvel/u/i/ssa
pisteitäni	piste/i/tä/ni
päähenkilöissä	pää/henkilö/i/ssä
naapurikuntiin	naapuri/kunt/i/in
maisemakuviin	maisema/kuv/i/in
ympäripäissään	ympäripä/i/ssä/än
myymälöitään	myymälö/i/tä/än
erityistehtäviin	erityis/tehtäv/i/in
leikkausmäärien	leikka/us/määr/i/en
lamakausina	lama/kaus/i/na
eripituisina	eri/pituis/i/na
ihmeissämme	ihme/i/ssä/mme
kiireaikoina	kiire/aiko/i/na
käsitettiin	käsite/tt/i/in
verrattiin	verra/tt/i/in
säestettiin	säeste/tt/i/in
kiedottiin	kiedo/tt/i/in
poltettiin	polte/tt/i/in
säestämistä	säestä/m/i/stä
jokavuotisia	jo/ka/vuotis/i/a
estämistä	estä/m/i/stä
ehdottomampia	ehdo/ttoma/mp/i/a
pitämistä	pitä/m/i/stä
verovapaina	vero/vapa/i/na
viestiviä	viesti/v/i/ä
hakuominaisuuksia	haku/ominais/uuks/i/a
tehdyiksi	teh/dy/i/ksi
kinkkusuikaleita	kinkku/suikale/i/ta
asuntokortteleita	asunto/korttele/i/ta
vinoutumista	vinout/u/m/i/sta
heikkouksistaan	heikko/uks/i/sta/an
omistautuneina	omistautu/ne/i/na
skitsofreniapotilaita	skitsofrenia/potila/i/ta
sidottuina	sido/ttu/i/na
huippuravureita	huippu/ravure/i/ta
säästöistään	säästö/i/stä/än
alamaisiksi	ala/mais/i/ksi
puurunkoisiksi	puu/runkois/i/ksi
lisäaineiksi	lisä/aine/i/ksi
näkemyksistämme	näkemyks/i/stä/mme
selviämme	selv/i/ä/mme
koreografiakilpailun	koreografi/a/kilpail/u/n
kelpoisuusvaatimuksia	kelpois/uus/vaatimuks/i/a
yöuniani	yö/un/i/a/ni
sotasaaliiksi	sota/saali/i/ksi
kärkiheittäjien	kärki/heittä/j/i/en
viherrakentajien	viher/rakenta/j/i/en
painuneita	painu/ne/i/ta
eliölajeille	eliö/laje/i/lle
työttömiin	työ/ttöm/i/in
hankaliinkin	hankal/i/in/kin
luutuneita	luutu/ne/i/ta
maastamuuttajan	maa/sta/muuttaja/n
muotikausille	muoti/kaus/i/lle
luottotappioille	luotto/tappio/i/lle
tuontitavaroille	tuonti/tavaro/i/lle
nuortennäytelmiin	nuor/t/en/näytelm/i/in
peruslähteille	perus/lähte/i/lle
erikoisryhmille	erikois/ryhm/i/lle
hallinnonaloja	hallinno/n/alo/j/a
ehdotuksiamme	ehdot/uks/i/a/mme
laulunsanoja	laulu/n/sano/j/a
muotoseikoilla	muoto/seiko/i/lla
