perintörahoilla	perintö/raho/i/lla
odotuksille	odot/uks/i/lle
mainostauluilla	mainos/taulu/i/lla
samanasteinen	sama/n/asteinen
flamencoperinteen	flamenco/perintee/n
käytösrangaistuksen	käytös/rangaistukse/n
neuroradiologian	neuro/radiologia/n
informaatioähkyn	informaatio/ähky/n
lonkkamurtuman	lonkka/murtuma/n
talitintin	tali/tinti/n
shampootiimin	shampoo/tiimi/n
kuuloaistimuksen	kuulo/aistimukse/n
lääketieteen	lääke/tietee/n
karhunpalvelus	karhu/n/palvelus
television	tele/visio/n
rockelämän	rock/elämä/n
sekarotuisen	seka/rotuise/n
suksitehtaan	suksi/tehtaa/n
pilkankohde	pilka/n/kohde
saalistikin	saalis/tiki/n
surrun	sur/ru/n
saalistavan	saalis/tava/n
röntgenlaitteen	röntgen/laittee/n
luontotyypin	luonto/tyypi/n
emäkiinteistön	emä/kiinteistö/n
nauhakaupungin	nauha/kaupungi/n
harminaihe	harmi/n/aihe
honkahovin	honka/hovi/n
yhteysupseerin	yhteys/upseeri/n
countrybändin	country/bändi/n
galluppien	gallup/pie/n
hiirivetoisen	hiiri/vetoise/n
nyrkkirysyn	nyrkki/rysy/n
nykyruotsin	nyky/ruotsi/n
psykosomaattisen	psyko/somaattise/n
lappeenranta	lappee/n/ranta
lumikonkatu	lumiko/n/katu
istuneille	istu/ne/i/lle
lopputuloksissa	loppu/tuloks/i/ssa
materiaalivaraston	materiaali/varasto/n
piikkiöläisen	piikkiö/läise/n
omenapiiraan	omena/piiraa/n
roomalaiskirjeen	roomalais/kirjee/n
palestiinalaisjohtoisen	palestiinalais/johtoise/n
nimiroolin	nimi/rooli/n
ruotsalaislehden	ruotsalais/lehde/n
palestiinalaisaktivistin	palestiinalais/aktivisti/n
johtojuoksun	johto/juoksu/n
varastohallin	varasto/halli/n
katsellen	katsel/le/n
maitojunan	maito/juna/n
kansalliseläimen	kansallis/eläime/n
tulososan	tulos/osa/n
merenkulkuelinkeinon	mere/n/kulku/elin/keino/n
kalaniemen	kala/nieme/n
erorahaston	ero/rahasto/n
poliisijärjestelmän	poliisi/järjestelmä/n
olympiajoukkueen	olympia/joukkuee/n
