ma	ma
qajoq	qaj/oq
ajtij	ajtij
pas	pas
ajtij	ajtij
ichaj	ichaj
rajil	rajil
joʼq	joʼq
Nim	Nim
…	…
Jawi	Jawi
¿	¿
rajil	rajil
Xaq	Xaq
jas	jas
jas	jas
pas	pas
…	…
kebʼ	kebʼ
sibʼalaj	sibʼalaj
weriʼ	weriʼ
weriʼ	weriʼ
Jawi	Jawi
kʼu	kʼu
weriʼ	weriʼ
!	!
!	!
junabʼ	junabʼ
Xaq	Xaq
Saq	Saq
ajtij	ajtij
¿	¿
chikop	chikop
Saq	Saq
junabʼ	junabʼ
!	!
juyubʼ	juyubʼ
jabʼ	jabʼ
Jawi	Jawi
sachaʼ	sach/aʼ
Nim	Nim
jas	jas
Nim	Nim
¿	¿
pas	pas
jabʼ	jabʼ
…	…
wuʼla	wuʼ/la
areʼ	areʼ
Na	Na
laʼ	laʼ
tikoʼn	tikoʼn
loq	loq
eqaʼn	eqaʼn
Na	Na
laʼ	laʼ
:	:
areʼ	areʼ
Teʼk	Teʼk
al	al
chweʼq	chweʼq
:	:
al	al
kʼokʼ	kʼokʼ
tzʼiʼ	tzʼiʼ
kʼokʼ	kʼokʼ
tikoʼn	tikoʼn
:	:
riʼ	riʼ
chweʼq	chweʼq
areʼ	areʼ
Kʼax	Kʼax
atzʼyaq	atzʼyaq
:	:
laʼ	laʼ
Kʼax	Kʼax
kʼokʼ	kʼokʼ
areʼ	areʼ
kamik	kamik
Kaqʼax	Ka/qʼax
jaʼ	jaʼ
Teʼk	Teʼk
sibʼalaj	sibʼ/alaj
jaʼ	jaʼ
jaʼ	jaʼ
Na	Na
riʼ	riʼ
Kʼax	Kʼax
akʼ	akʼ
akʼ	akʼ
jaʼ	jaʼ
riʼ	riʼ
loq	loq
tzʼiʼ	tzʼiʼ
kamik	kamik
laʼ	laʼ
tikoʼn	tikoʼn
chweʼq	chweʼq
Na	Na
kʼokʼ	kʼokʼ
Teʼk	Teʼk
kem	kem
loq	loq
al	al
Kʼax	Kʼax
akʼ	akʼ
loq	loq
Teʼk	Teʼk
chweʼq	chweʼq
riʼ	riʼ
kanoq	kan/oq
kʼwaʼ	kʼ/waʼ
jeʼlalaj	jeʼl/alaj
choja	cho/ja
kanoq	kan/oq
imul	imul
imul	imul
komon	komon
kan	kan
xuqujeʼ	xuqujeʼ
komon	komon
Tajin	Tajin
Tajin	Tajin
Tajin	Tajin
achijabʼ	achij/abʼ
Tajin	Tajin
xuqujeʼ	xuqujeʼ
komon	komon
Jas	Jas
xuqujeʼ	xuqujeʼ
Jas	Jas
Jas	Jas
imul	imul
imul	imul
kan	kan
qachil	q/achil
imul	imul
kan	kan
xuqujeʼ	xuqujeʼ
xuqujeʼ	xuqujeʼ
Tajin	Tajin
Jas	Jas
komon	komon
komon	komon
achijabʼ	achij/abʼ
Jas	Jas
Jaʼwilaʼ	J/aʼw/il/aʼ
Qonojel	Q/onojel
ali	ali
Le	Le
E	E
tat	tat
ali	ali
awaj	awaj
ali	ali
E	E
Chpe	Ch/pe
chik	chik
E	E
ali	ali
Pa	Pa
ali	ali
Le	Le
chik	chik
kej	kej
chik	chik
tzij	tzij
tzij	tzij
Le	Le
