anoʼjibʼal	a/noʼjibʼal
qʼeqa	qʼeq/a
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
taj	taj
kabʼan	ka/bʼan
taj	taj
taj	taj
kawaj	ka/w/aj
kakibʼij	ka/ki/bʼij
kiwi	ki/wi
atzʼiʼ	a/tzʼiʼ
kiwach	ki/wach
Xatalqilaʼ	X/at/al/q/il/aʼ
wech	w/ech
awa	a/wa
atat	a/tat
awa	a/wa
bʼe	bʼe
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
jun	jun
bʼe	bʼe
jun	jun
bʼe	bʼe
bʼe	bʼe
jun	jun
jun	jun
bʼe	bʼe
jun	jun
bʼe	bʼe
jun	jun
jun	jun
bʼe	bʼe
jun	jun
jun	jun
Xuloqʼ	X/ul/oqʼ
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
ta	ta
Xixqachʼabʼej	X/ix/qa/chʼabʼe/j
kʼo	kʼo
kʼo	kʼo
Xujchʼay	X/uj/chʼay
kʼo	kʼo
kabʼe	ka/bʼe
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
kʼo	kʼo
at	at
at	at
xixeʼqaqʼatuj	x/ix/eʼ/qa/qʼatuj
chinuwach	chi/nu/wach
kariqatajik	ka/riq/ataj/ik
Xqilo	X/q/il/o
Xineʼbʼinoq	X/in/eʼ/bʼin/oq
Xojkisikʼij	X/oj/ki/sikʼi/j
Kinmeson	K/in/meson
Kinya	K/in/ya
Kinya	K/in/ya
Kinkowin	K/in/kowin
Kakowinik	Ka/kowin/ik
Xkitijo	X/ki/tij/o
Xawaj	X/aw/aj
Xujbʼe	X/uj/bʼe
ekikʼajol	e/ki/kʼajol
Kintzukuj	K/in/tzuku/j
Ketuʼn	K/e/tuʼn
Xloʼtaj	X/loʼtaj
Xrapap	X/rapap
Xchoy	X/choy
Xpax	X/pax
Kekʼiy	K/e/kʼiy
Kintij	K/in/tij
Xanimaj	X/animaj
Xsachon	X/sachon
Xnaʼtaj	X/naʼtaj
Xnaʼtaj	X/naʼtaj
Qilik	Q/il/ik
Xnaʼtaj	X/naʼtaj
Xqata	X/qa/ta
cho	ch/o
a	a
a	a
a	a
a	a
a	a
a	a
a	a
Xinqʼiʼo	X/in/qʼiʼ/o
kachʼopinik	ka/chʼopin/ik
rulewal	r/ulewal
rachalaxik	r/achalaxik
retaʼm	r/etaʼm
chech	ch/ech
chech	ch/ech
chech	ch/ech
chech	ch/ech
chech	ch/ech
ruxlabʼ	r/uxlabʼ
rutzil	r/utzil
rachalal	r/achalal
ruxlabʼ	r/uxlabʼ
rutzil	r/utzil
rachiʼl	r/achiʼl
pa	pa
pa	pa
pa	pa
karaj	ka/r/aj
pa	pa
karaj	ka/r/aj
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
pa	pa
