relaqʼaxik	r/elaqʼa/x/ik
kchojojik	k/chojoj/ik
kchojojik	k/chojoj/ik
kkaʼyik	k/kaʼy/ik
ktuqaʼrik	k/tuqaʼr/ik
kyaʼik	k/yaʼ/ik
kech	k/ech
xuchʼijo	x/u/chʼij/o
kril	k/r/il
e	e
e	e
xuloqʼo	x/u/loqʼ/o
chuwach	ch/u/wach
xinʼek	x/in/ʼe/k
chuloqʼik	ch/u/loqʼ/ik
chuloqʼik	ch/u/loqʼ/ik
xusalabʼisaj	x/u/salabʼisa/j
xuchʼaybʼej	x/u/chʼaybʼe/j
xusipaj	x/u/sipa/j
xeutaqchiʼj	x/e/u/taqchiʼ/j
uchʼuʼjilal	u/chʼuʼjilal
ucheʼal	u/cheʼal
uxajabʼ	u/xajabʼ
utiʼjolal	u/tiʼjolal
upixabʼ	u/pixabʼ
ukunel	u/kunel
uchuqʼabʼ	u/chuqʼabʼ
uxkin	u/xkin
ukʼisbʼalil	u/kʼisbʼalil
uxoqʼoʼl	u/xoqʼoʼl
uqʼijil	u/qʼijil
ucholchak	u/cholchak
ubʼixik	u/bʼixik
ukʼuʼx	u/kʼuʼx
uchiʼ	u/chiʼ
uchuch	u/chuch
ukʼisbʼal	u/kʼisbʼal
ukʼolbʼal	u/kʼolbʼal
ukis	u/kis
ukʼutunik	u/kʼutunik
unimal	u/nimal
chutijik	ch/u/tij/ik
umam	u/mam
uqʼoxom	u/qʼoxom
uqʼoxom	u/qʼoxom
uxaq	u/xaq
chutijik	ch/u/tij/ik
usuʼt	u/suʼt
kutijo	k/u/tij/o
ubʼaqilal	u/bʼaqilal
Xubʼij	X/u/bʼij
xeporoxik	x/e/poro/x/ik
uqʼabʼ	u/qʼabʼ
ujunabʼ	u/junabʼ
uqʼabʼ	u/qʼabʼ
uwiʼ	u/wiʼ
upam	u/pam
upam	u/pam
utikoʼn	u/tikoʼn
upam	u/pam
uwiʼ	u/wiʼ
uwiʼ	u/wiʼ
Xutij	X/u/tij
upam	u/pam
uxeʼ	u/xeʼ
kukunaj	k/u/kuna/j
ubʼiʼ	u/bʼiʼ
ubʼiʼ	u/bʼiʼ
uxeʼ	u/xeʼ
ubʼiʼ	u/bʼiʼ
uxeʼ	u/xeʼ
ubʼiʼ	u/bʼiʼ
kuxeʼj	k/u/xeʼ/j
uxeʼ	u/xeʼ
xʼek	x/ʼe/k
uchak	u/chak
uchak	u/chak
uchak	u/chak
utat	u/tat
unan	u/nan
chike	chi/k/e
uwokik	u/wok/ik
ukemik	u/kem/ik
ukemik	u/kem/ik
ukemik	u/kem/ik
uyaʼik	u/yaʼ/ik
uyaʼik	u/yaʼ/ik
uqʼij	u/qʼij
chke	ch/k/e
chke	ch/k/e
chke	ch/k/e
kekil	k/e/k/il
ubʼi	u/bʼi
ubʼi	u/bʼi
ubʼi	u/bʼi
ubʼi	u/bʼi
kinutoʼ	k/in/u/toʼ
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
uwach	u/wach
xbʼek	x/bʼe/k
usukʼmaxik	u/sukʼma/x/ik
upachʼuxik	u/pachʼu/x/ik
xusipaj	x/u/sipaj
xukʼut	x/u/kʼut
xutzaq	x/u/tzaq
xuchʼij	x/u/chʼij
utzukuxik	u/tzuku/x/ik
utzukuxik	u/tzuku/x/ik
xukʼam	x/u/kʼam
kujaluj	k/u/jaluj
kuchajij	k/u/chajij
kupatanij	k/u/patanij
kuyuqʼuj	k/u/yuqʼuj
xubʼij	x/u/bʼij
kutoj	k/u/toj
kukoj	k/u/koj
ubʼixik	u/bʼi/x/ik
xutij	x/u/tij
xutij	x/u/tij
xutij	x/u/tij
kukʼam	k/u/kʼam
kubʼij	k/u/bʼij
kubʼan	k/u/bʼan
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
le	le
