čʼeːlɨt	čʼeːlɨ/t
qäːt	qäː/t
paqtat	paqta/t
oːlöt	oːlö/t
oːlöt	oːlö/t
oːlöt	oːlö/t
surɨt	surɨ/t
qumɨtɨt	qum/ɨ/t/ɨ/t
qumɨtɨt	qum/ɨ/t/ɨ/t
tɛnɨmɨt	tɛnɨmɨ/t
pitčʼat	pitčʼa/t
pitčʼat	pitčʼa/t
ɨnnät	ɨnnä/t
tıːtɛːŋɨtɨ	tıː/t/ɛː/ŋɨ/tɨ
əsɨtɨ	əsɨ/tɨ
timnʼatɨ	timnʼa/tɨ
ollɨtɨ	ollɨ/tɨ
peːmɨtɨ	peːmɨ/tɨ
ɨntaːlʼtɨ	ɨntaːlʼ/tɨ
səːtɨ	səː/tɨ
ɔːqtɨ	ɔːq/tɨ
koncatɨ	konca/tɨ
lətɨ	lə/tɨ
pɛlʼäqtɨ	pɛlʼäq/tɨ
nälʼätɨ	nälʼä/tɨ
tɔːktɨ	tɔːk/tɨ
ɨntelʼtɨ	ɨntelʼ/tɨ
qətpɔːrɨtɨ	qətpɔːrɨ/tɨ
*qənɨtɨ	*qənɨ/tɨ
pɛlʼäktɨ	pɛlʼäk/tɨ
qətsattɨ	qətsat/tɨ
pɛlʼaqtɨ	pɛlʼaq/tɨ
morɨtɨ	morɨ/tɨ
čʼelʼtɨ	čʼelʼ/tɨ
qɔːlitɨ	qɔːli/tɨ
puːlʼɨtɨ	puːlʼɨ/tɨ
tänɨtɨ	tänɨ/tɨ
pičʼitɨ	pičʼi/tɨ
ɨntälʼtɨ	ɨntälʼ/tɨ
ɨntälʼtɨ	ɨntälʼ/tɨ
šöttɨ	šöt/tɨ
ɨntälʼtɨ	ɨntälʼ/tɨ
šöttɨ	šöt/tɨ
šöttɨ	šöt/tɨ
moqonät	moqonä/t
ilʼčʼatɨ	ilʼčʼa/tɨ
čʼıːmɨtɨ	čʼıːmɨ/tɨ
əːtɨtɨ	əːtɨ/tɨ
ilʼčʼatɨ	ilʼčʼa/tɨ
qarɨt	qarɨ/t
qarɨt	qarɨ/t
qarɨt	qarɨ/t
qarɨt	qarɨ/t
qarɨt	qarɨ/t
qarɨt	qarɨ/t
qarɨt	qarɨ/t
qarɨt	qarɨ/t
ortɨ	or/tɨ
ortɨ	or/tɨ
ortɨ	or/tɨ
ortɨ	or/tɨ
ortɨ	or/tɨ
iːjatɨ	iːja/tɨ
iːjatɨ	iːja/tɨ
pot	po/t
kətɨt	kətɨ/t
kətɨt	kətɨ/t
kətɨt	kətɨ/t
qontɨtɨ	qontɨ/tɨ
iːtetɨ	iː/t/e/tɨ
ijat	ija/t
ijatɨ	ija/tɨ
ijatɨ	ija/tɨ
toːt	toː/t
irat	ira/t
loːsɨt	loːsɨ/t
loːsɨt	loːsɨ/t
loːsɨt	loːsɨ/t
loːsɨt	loːsɨ/t
loːsɨt	loːsɨ/t
loːsɨt	loːsɨ/t
loːsɨt	loːsɨ/t
qəntɨŋɨt	qən/tɨ/ŋɨ/t
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
mɔːttɨ	mɔːt/tɨ
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
na	na
mottɨt	mot/tɨ/t
orqɨltɨt	orqɨl/tɨ/t
tıːtɨtɨ	tıː/tɨ/tɨ
tıːtɨtɨ	tıː/tɨ/tɨ
amtɨt	am/tɨ/t
qəntɨtɨ	qən/tɨ/tɨ
