paqtäš	paqt/äš
qəssɨlɨt	qəs/sɨ/lɨt
qəš	qəš
nalʼa	nalʼa
lıːpɨ	lıːpɨ
kət	kət
čʼäŋɨmä	čʼäŋɨ/mä
qotqo	qotqo
qət	qət
šintä	šintä
čʼäŋɨmmä	čʼäŋɨ/mmä
lıːpɨ	lıːpɨ
mättɨ	mättɨ
muːčʼitap	muːčʼitap
kun	kun
šintä	šintä
qoš	qoš
kučʼe	kučʼe
tɨmtɨ	tɨmtɨ
qaː	qaː
qoš	qoš
qonɨčʼa	qonɨ/čʼa
lʼi	lʼi
muːčʼitap	muːčʼitap
qaː	qaː
čʼɔːtɨ	čʼɔːtɨ
tarɨ	tarɨ
čʼɔːtɨ	čʼɔːtɨ
okkɨr	okkɨr
pɔːrɨ	pɔːrɨ
täm	täm
čʼarɨ	čʼarɨ
totta	totta
kun	kun
nılʼčʼop	nılʼčʼ/op
tɛː	tɛː
čʼäː	čʼäː
čʼäː	čʼäː
nʼänna	nʼänna
los_ira	los
lʼi	lʼi
köt	köt
čʼeːlʼɨ	čʼeːlʼɨ
ɛsa	ɛsa
qəːrätɨ	qəːr/ätɨ
olʼa	olʼa
mitɨ	mitɨ
qəːrätɨ	qəːr/ätɨ
okoška	okoška
nʼänna	nʼänna
nɨna	nɨna
tarɨ	tarɨ
qəš	qəš
tɨmtɨ	tɨmtɨ
lɨntɨt	lɨntɨt
kuttar	kuttar
qotqo	qotqo
ši	ši
nɨna	nɨna
lɨntɨt	lɨntɨt
los_ira	los
mättɨ	mättɨ
totta	totta
nılʼčʼop	nılʼčʼ/op
qət	qət
čʼeːlʼɨ	čʼeːlʼɨ
kuttar	kuttar
köt	köt
tɛː	tɛː
puːlɨ	puːlɨ
olʼa	olʼa
tɨntena	tɨntena
tam	tam
qəəə	qəəə
Itʼe	Itʼe
ašša	ašša
ašša	ašša
täm	täm
nʼanna	nʼanna
moqanä	moqanä
moqanä	moqanä
nɔːt	nɔːt
okkɨr	okkɨr
kučʼe	kučʼe
tɨntena	tɨntena
nʼanna	nʼanna
mɨttɨ	mɨttɨ
nɔːt	nɔːt
Itʼe	Itʼe
qɔːli	qɔːli
molə	molə
ɨra	ɨra
molə	molə
qəəə	qəəə
šittalʼ	šit/talʼ
šitɨmtälɨlʼ	šitɨ/mtälɨlʼ
loːqäčʼɛnta	loːq/äčʼɛnta
ottelʼčʼa	ott/elʼčʼa
šittälʼ	šit/tälʼ
qətsanä	qətsan/ä
qanɨŋmɨt	qanɨŋ/mɨt
namɨššak	namɨ/ššak
namɨššak	namɨ/ššak
surɨqij	surɨ/qij
pɛlaŋmɨt	pɛlaŋ/mɨt
nʼüšimɨt	nʼüši/mɨt
poːqät	poː/qät
ontɨkine	ontɨ/kine
šittälʼ	šit/tälʼ
qättalʼnɨlʼit	qätt/alʼ/nɨlʼit
orɨčʼčʼa	orɨ/čʼ/čʼa
qərät	qər/ät
əːtɨkɔːl	əːtɨ/kɔːl
qərät	qər/ät
ontɨ	ontɨ
iːjöː	iːj/öː
märeja	märeja
iːjöː	iːj/öː
čʼeːlʼa	čʼeːlʼa
ontɨ	ontɨ
iːjöː	iːj/öː
šittɨ	šittɨ
lʼiːpɨ	lʼiːpɨ
ıllä	ıllä
moqɨnä	moqɨnä
kutar	kutar
irra	irra
kutar	kutar
nəəə	nəəə
paqta	paqta
šitɨ	šitɨ
pisɨnʼnʼa	pisɨ/nʼ/nʼa
qotko	qotko
moqal	moqal
čʼä	čʼä
paqta	paqta
čʼeːlɨ	čʼeːlɨ
topal	topa/l
märeja	märeja
märeja	märeja
üːqɨlʼelʼčʼa	üːqɨlʼ/elʼčʼa
üːqɨlʼelʼčʼa	üːqɨlʼ/elʼčʼa
šittɨ	šittɨ
ıllä	ıllä
kutar	kutar
moqɨnä	moqɨnä
ippɨkolʼčʼimpa	ippɨ/kolʼčʼimpa
tət	tət
qäː	qäː
irra	irra
ıllä	ıllä
čʼä	čʼä
qup	qup
tət	tət
irra	irra
qotko	qotko
qotko	qotko
suːrɨtqo	suːrɨ/tqo
nəəə	nəəə
miːti	miːti
šittɨ	šittɨ
moqɨnä	moqɨnä
qup	qup
šitɨ	šitɨ
čʼeːlɨ	čʼeːlɨ
miːti	miːti
toːna	toːna
toːna	toːna
moqal	moqal
