nɨtalʼa	nɨta/lʼa
čʼuːrɨlʼa	čʼuːrɨ/lʼa
surɨlʼlʼa	surɨlʼ/lʼa
nilleːlʼa	nilleː/lʼa
kɨpɨlʼa	kɨpɨ/lʼa
ɛsɨnta	ɛsɨ/nta
puršimɔːtıːja	purši/mɔːt/ıː/ja
čʼuːreːptɨmpa	čʼuːr/eːptɨ/mpa
čʼuːreːptɨmpa	čʼuːr/eːptɨ/mpa
tannɛnantɨ	tann/ɛna/ntɨ
omnɨnta	omnɨ/nta
tüːsa	tüː/sa
omnɨnta	omnɨ/nta
märqɨnta	märqɨ/nta
nʼöːlʼä	nʼöː/lʼä
märqɨnta	märqɨ/nta
čʼeːlʼin	čʼeːlʼi/n
čʼeːlʼin	čʼeːlʼi/n
čʼeːlʼin	čʼeːlʼi/n
lakasa	laka/sa
posa	po/sa
točʼčʼam	točʼčʼa/m
qum	qum
ija	ija
surɨlʼa	surɨ/lʼa
čʼap	čʼap
šäqqɨnta	šäqqɨ/nta
čʼap	čʼap
qum	qum
čʼap	čʼap
qum	qum
ija	ija
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
ija	ija
tɨčʼčʼam	tɨčʼčʼa/m
čʼap	čʼap
čʼap	čʼap
čʼap	čʼap
qum	qum
ija	ija
čʼap	čʼap
kurraintɨ	kurr/ai/ntɨ
tämtɨlʼasä	tämtɨ/lʼa/sä
mantäjak	mantä/ja/k
mɔːnmɨ	mɔːn/mɨ
mɔːnmɨ	mɔːn/mɨ
qəlʼlʼa	qəlʼ/lʼa
mɔːnmɨ	mɔːn/mɨ
pičʼim	pičʼi/m
mɔːnmɨ	mɔːn/mɨ
mɔːnmɨ	mɔːn/mɨ
qəlʼlʼa	qəlʼ/lʼa
mɔːnmɨ	mɔːn/mɨ
qəlʼlʼa	qəlʼ/lʼa
taŋaltɨmpa	taŋ/altɨ/mpa
qənta	qən/ta
qənta	qən/ta
qənta	qən/ta
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
aj	aj
toːnam	toːna/m
ippɨnta	ippɨ/nta
šeːrlʼa	šeːr/lʼa
ippɨnta	ippɨ/nta
qənmɨntɔːtɨt	qən/mɨ/ntɔː/tɨt
muːčʼirɨmpa	muːčʼi/rɨ/mpa
eŋa	e/ŋa
eŋa	e/ŋa
mɔːtan	mɔːta/n
mɔːtaqɨt	mɔːta/qɨt
mɔːtaqɨt	mɔːta/qɨt
mɔːtan	mɔːta/n
mɔːtan	mɔːta/n
nɔːnɨ	nɔː/nɨ
mɔːtaqɨt	mɔːta/qɨt
nɔːnɨ	nɔː/nɨ
nɔːnɨ	nɔː/nɨ
mɔːtan	mɔːta/n
qontɨšɛːntɔːtɨt	qontɨ/š/ɛː/ntɔː/tɨt
iːjalʼa	iːja/lʼa
nälʼantɨkine	nälʼa/ntɨ/kine
pisɨrɨmpa	pisɨ/rɨ/mpa
nɨːnɨ	nɨː/nɨ
mattɛːttɨ	matt/ɛː/ttɨ
qwelalʼlʼе	qwela/lʼ/lʼе
qajqo	qaj/qo
paqtɨnta	paqtɨ/nta
paqtɨnta	paqtɨ/nta
lɨpqɨmɔːtajan	lɨpqɨ/mɔːt/a/ja/n
šütɨran	šüt/ɨ/r/a/n
čʼiːqqɨmɔːtpa	čʼiːqqɨ/mɔːt/pa
pisɨrmɔːtija	pisɨ/r/mɔːt/i/ja
omtak	omta/k
omtak	omta/k
omtak	omta/k
lä	lä
omtak	omta/k
qɨčʼčʼɨmɔːtpa	qɨčʼčʼɨ/mɔːt/pa
üːtɛːtä	üːt/ɛː/tä
qənnɨntɔː	qən/nɨ/ntɔː
čʼontoqɨlʼ	čʼonto/qɨ/lʼ
qurɨlʼak	qurɨ/lʼa/k
nʼöːlʼa	nʼöː/lʼa
tüːnta	tüː/nta
nʼöːlʼa	nʼöː/lʼa
poqɨt	po/qɨt
ijamɨ	ija/mɨ
ijamɨ	ija/mɨ
mɨsä	mɨ/sä
amɨrsat	am/ɨ/r/sat
amɨrsat	am/ɨ/r/sat
lɨpqɨmɔːtpa	lɨpqɨ/mɔːt/pa
qənpa	qən/pa
qənpa	qən/pa
qənpa	qən/pa
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
nɨnɨ	nɨnɨ
ütälʼ	üt/ä/lʼ
taŋaltɛːnta	taŋ/alt/ɛː/nta
nılʼčʼik	nılʼčʼi/k
tutɔːlläp	tut/ɔːl/lä/p
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
nılʼčʼik	nılʼčʼi/k
