suːrqıp	suːr/qı/p
qontɨšɛːŋa	qontɨ/š/ɛː/ŋa
lɨpkomɔːtɨimpa	lɨpko/mɔːt/ɨi/mpa
pom	po/m
kolʼumpa	kolʼu/mpa
qaːtampa	qaːta/mpa
üčʼalɨmpa	üčʼalɨ/mpa
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
toː	toː
loːqɨ	loːq/ɨ
amɨrejnta	am/ɨ/r/ej/nta
nʼajip	nʼaj/i/p
tuːšip	tuːš/i/p
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
čʼontoːqɨt	čʼontoː/qɨt
poːllɛːlʼe	poːll/ɛː/lʼe
əttɛːŋa	ətt/ɛː/ŋa
tuːntɨsä	tuː/ntɨ/sä
tuːntɨsä	tuː/ntɨ/sä
mɔːttə	mɔːt/tə
qumpa	qu/mpa
šäqqɨmpa	šäqqɨ/mpa
šäqqɨmpa	šäqqɨ/mpa
čʼelʼiŋɛːlʼa	čʼelʼi/ŋ/ɛː/lʼa
mɔːntɨ	mɔː/ntɨ
pɔːrontɨ	pɔːro/ntɨ
šeːrɨ	šeːr/ɨ
kostrʼulʼantɨ	kostrʼulʼa/ntɨ
üːtontɨ	üːto/ntɨ
təttantɨ	tətta/ntɨ
puːtantɨ	puːta/ntɨ
matqɨmpa	matqɨ/mpa
ilɨmpa	ilɨ/mpa
matqɨmpa	matqɨ/mpa
matqɨmpa	matqɨ/mpa
matqɨmpa	matqɨ/mpa
mɨrqɨntɨ	mɨrqɨ/ntɨ
mɨrqɨntɨ	mɨrqɨ/ntɨ
mäšintɨ	mäši/ntɨ
amɨrlʼe	am/ɨ/r/lʼe
märɛːja	mär/ɛː/ja
suːrulʼlʼe	suːru/lʼ/lʼe
tɔːtɨk	tɔːt/ɨ/k
qəjentɨ	qəj/e/ntɨ
patčʼirɛːlʼä	patčʼi/r/ɛː/lʼä
čʼapqošilʼ	čʼapqoš/i/lʼ
ɛːŋija	ɛː/ŋi/ja
tukɨrɨm	tukɨr/ɨ/m
mantäjap	mantä/ja/p
qontantɨ	qonta/ntɨ
mantɛːja	mant/ɛː/ja
mantɛːja	mant/ɛː/ja
mantɛːja	mant/ɛː/ja
maːtɛːlä	maːt/ɛː/lä
tamɨm	tam/ɨ/m
maːtɛːlä	maːt/ɛː/lä
amɨrlʼä	am/ɨ/r/lʼä
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
qontɨšɛːnta	qontɨ/š/ɛː/nta
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
ira	ira
patqɨlɛːlä	patqɨl/ɛː/lä
tümpa	tü/mpa
ira	ira
tümpa	tü/mpa
čʼontoːqɨlʼ	čʼontoː/qɨ/lʼ
ijajantɨsa	ija/ja/ntɨ/sa
patqɨlɛːlʼä	patqɨl/ɛː/lʼä
qəːlɨlʼlʼä	qəːlɨ/lʼ/lʼä
täpɨn	täp/ɨ/n
pačʼirɛːlʼa	pačʼi/r/ɛː/lʼa
pačʼerɛːlʼa	pačʼe/r/ɛː/lʼa
ɛːmme	ɛː/mme
ɛːjme	ɛː/jme
ɛːppa	ɛː/ppa
čʼoip	čʼoi/p
ämäp	ämä/p
qalap	qala/p
aːsap	aːsa/p
maːkqɨp	maːkqɨ/p
qoːp	qoː/p
tämtop	tämto/p
äːsäp	äːsä/p
qoltɨp	qoltɨ/p
tɨtɨp	tɨtɨ/p
sajep	saje/p
sajep	saje/p
saltɨp	saltɨ/p
saltɨp	saltɨ/p
qəːtɨp	qəːtɨ/p
qəːtɨp	qəːtɨ/p
namɨp	namɨ/p
lʼiːpɨp	lʼiːpɨ/p
lʼiːpɨp	lʼiːpɨ/p
šutɨlʼ	šutɨ/lʼ
kumɨlʼ	kumɨ/lʼ
niːlʼ	niː/lʼ
küːmɨlʼ	küːmɨ/lʼ
lolʼ	lo/lʼ
čʼumɨlʼ	čʼumɨ/lʼ
tolʼčʼilʼ	tolʼčʼi/lʼ
ɛːtɨlʼ	ɛːtɨ/lʼ
porqɨlʼ	porqɨ/lʼ
nilʼčʼilʼ	nilʼčʼi/lʼ
qaːrnɨlʼ	qaːr/nɨ/lʼ
patqɨlɛːlʼa	patqɨl/ɛː/lʼa
pijap	pija/p
mɔːtqɨn	mɔːt/qɨn
tämtɨp	tämtɨ/p
čʼıːmɨp	čʼıːmɨ/p
qaj	qaj
qumɨn	qum/ɨ/n
qaj	qaj
qaj	qaj
pontɨ	po/ntɨ
qaj	qaj
qaj	qaj
qaj	qaj
qaj	qaj
qaj	qaj
qaj	qaj
qaj	qaj
qumɨn	qum/ɨ/n
qaj	qaj
qaj	qaj
qaj	qaj
qajqɨt	qaj/qɨt
qaj	qaj
optɨlʼ	optɨ/lʼ
