kuːna	kuː/na
tottɛntɨtɨ	tott/ɛ/ntɨ/tɨ
čʼuqɨlit	čʼuqɨ/li/t
meːlʼčʼiŋɨt	meː/lʼčʼi/ŋɨ/t
meːlʼčʼiŋɨt	meː/lʼčʼi/ŋɨ/t
meːlʼčʼiŋɨt	meː/lʼčʼi/ŋɨ/t
meːlʼčʼiŋɨt	meː/lʼčʼi/ŋɨ/t
šerna	šer/na
šeːrna	šeːr/na
soqɨnʼnʼit	soqɨnʼ/nʼi/t
šerna	šer/na
šerna	šer/na
qolʼčʼimpat	qo/lʼčʼi/mpa/t
soqɨnʼnʼet	soqɨnʼ/nʼe/t
ammäit	amm/äi/t
tallaltit	tall/alti/t
matteŋɨt	matt/e/ŋɨ/t
üːkɨlʼeŋɨt	üːkɨlʼ/e/ŋɨ/t
qolʼčʼintɨt	qo/lʼčʼi/ntɨ/t
končʼaeŋɨtɨ	končʼa/e/ŋɨ/tɨ
suːrqıːt	suːr/qıː/t
ammeit	amm/ei/t
nɨːna	nɨː/na
üːtɛntɨtɨ	üːt/ɛntɨ/tɨ
kətɛntɨtɨ	kət/ɛntɨ/tɨ
patqɨlɛlʼčʼitɨ	patqɨl/ɛlʼčʼi/tɨ
čʼiqɨlʼtɛːlʼä	čʼiqɨlʼ/t/ɛː/lʼä
qoqɨlmɨntɨtɨ	qoqɨl/mɨ/ntɨ/tɨ
iːjeiːtɨ	iːje/iː/tɨ
paqqɨrɨt	paqqɨ/rɨ/t
tutɨrɨt	tutɨ/rɨ/t
mitɨmɨntɨtɨ	mitɨ/mɨ/ntɨ/tɨ
koraltɨtɨ	kor/altɨ/tɨ
qätalʼtɨ	qät/alʼ/tɨ
ɛːptäqɨntɨ	ɛː/ptä/qɨn/tɨ
rakšaltɨtɨ	rakš/altɨ/tɨ
mattältentit	matt/äl/t/e/nti/t
nʼöːtɨŋije	nʼöː/tɨ/ŋije
kətɨsɨt	kətɨ/sɨ/t
čʼapqošit	čʼapqoš/i/t
muːširɨtɨ	muːši/rɨ/tɨ
muːširɨtɨ	muːši/rɨ/tɨ
qɔːlɨjitɨ	qɔːlɨj/i/tɨ
nasä	na/sä
čʼoqqolʼɛːŋɨtɨ	čʼoqqo/lʼ/ɛː/ŋɨ/tɨ
tıːtɛːlʼa	tıː/t/ɛː/lʼa
nʼöːtɨŋɨje	nʼöː/tɨ/ŋɨje
nʼöːtɨŋɨje	nʼöː/tɨ/ŋɨje
nʼöːtɨŋɨje	nʼöː/tɨ/ŋɨje
nʼöːtɨŋɨje	nʼöː/tɨ/ŋɨje
nʼöːtɨŋɨje	nʼöː/tɨ/ŋɨje
nʼuːqoqɨntɨ	nʼuːqo/qɨn/tɨ
keːraqɨntɨ	keːra/qɨn/tɨ
meːlʼčʼit	meː/lʼčʼi/t
meːlʼčʼit	meː/lʼčʼi/t
mattaltentetɨ	matt/al/t/e/nte/tɨ
qɨpijatɨ	qɨpi/ja/tɨ
meːlʼčʼitɨ	meː/lʼčʼi/tɨ
meːlʼčʼitɨ	meː/lʼčʼi/tɨ
nasa	na/sa
čʼattetɨ	čʼatt/e/tɨ
nasa	na/sa
qontɨŋɨt	qo/ntɨ/ŋɨ/t
qontɨŋɨt	qo/ntɨ/ŋɨ/t
*qorrɛːmpat	*qorr/ɛː/mpa/t
patqɨlʼɛːŋɨtɨ	patqɨlʼ/ɛː/ŋɨ/tɨ
qəttɛːŋɨtɨ	qətt/ɛː/ŋɨ/tɨ
qənna	qən/na
qənna	qən/na
qənna	qən/na
qənna	qən/na
orqɨlnɨt	orqɨl/nɨ/t
čʼatontɨ	čʼato/n/tɨ
orqɨlnɨt	orqɨl/nɨ/t
əːmɨntɨ	əːmɨ/n/tɨ
tɛːmnɨntɨ	tɛːmnɨ/n/tɨ
mäčʼimtɨ	mäčʼi/m/tɨ
munɨmtɨ	munɨ/m/tɨ
tıšamtɨ	tıša/m/tɨ
sɔːlɨmtɨ	sɔːlɨ/m/tɨ
sɔːlɨmtɨ	sɔːlɨ/m/tɨ
puːlʼɨmtɨ	puːlʼɨ/m/tɨ
puːlɨmtɨ	puːlɨ/m/tɨ
puːlʼemtɨ	puːlʼe/m/tɨ
tɨšemtɨ	tɨše/m/tɨ
tišemtɨ	tiše/m/tɨ
čʼatɨntɨ	čʼatɨ/n/tɨ
kəttɨŋɨt	kəttɨ/ŋɨ/t
ütɨŋɨt	ütɨ/ŋɨ/t
imaqotamtɨ	imaqota/m/tɨ
qərɨŋɨt	qərɨ/ŋɨ/t
nälʼamtɨ	nälʼa/m/tɨ
mannɨmpat	mannɨ/mpa/t
qərɨŋɨt	qərɨ/ŋɨ/t
qərɨŋɨt	qərɨ/ŋɨ/t
amnɨt	am/nɨ/t
nälʼamtɨ	nälʼa/m/tɨ
qərɨŋɨt	qərɨ/ŋɨ/t
qätɨŋɨtɨ	qätɨ/ŋɨ/tɨ
sɔːntɨŋɨtɨ	sɔːntɨ/ŋɨ/tɨ
ɨpaŋɨtɨ	ɨpa/ŋɨ/tɨ
mɔːtät	mɔːt/ä/t
qättɨmpat	qättɨ/mpa/t
qättɨmpat	qättɨ/mpa/t
qättɨmpat	qättɨ/mpa/t
ütɨntɨt	ütɨ/ntɨ/t
tutɨŋɨtɨ	tutɨ/ŋɨ/tɨ
qättɨmpat	qättɨ/mpa/t
sɛlɨmpatɨ	sɛlɨ/mpa/tɨ
imantɨ	ima/n/tɨ
čʼatɨŋɨt	čʼatɨ/ŋɨ/t
amnɨtɨ	am/nɨ/tɨ
tɔːqqɨmpatɨ	tɔːqqɨ/mpa/tɨ
