haydarpaSaya	haydarpaSa/ya
komitece	komite/ce
takacak	tak/acak
kavuStuktan	kavuS/tuk/tan
USUdUGUnU	USU/dUG/U/nU
dolusunu	do/lu/su/nu
fotoGrafCIlIk	fotoGraf/CI/lIk
parlamentosunu	parlamento/su/nu
seyretmiyor	seyret/miyor
dUSUp	dUS/Up
otelci	otel/ci
yakItta	yakIt/ta
susuz	su/suz
anadolusu	anadolu/su
saklIydI	saklI/ydI
anlaSamIyordu	anlaS/amIyor/du
kIlarIz	kIl/ar/Iz
iSitmiyoruz	iSit/miyor/uz
COzUmU	COz/Um/U
OzgUrlUGUmU	OzgUr/lUG/Um/U
tUmlUGUnUn	tUm/lUG/U/nUn
oluSturuyorsunuz	oluS/tur/uyor/sunuz
konuttur	konut/tur
parolaydI	parola/ydI
baSaramIyoruz	baSar/amIyor/uz
dUSmeden	dUS/meden
ordumuzdan	ordu/muz/dan
dUdUGUnU	dUdUG/U/nU
gUCsUzlUGUn	gUC/sUz/lUG/Un
sOndUrUcU	sOn/dUr/UcU
hatIrlIyordu	hatIr/lIyor/du
IsInIrken	IsIn/Ir/ken
sorulur	sor/ul/ur
uygundur	uy/gun/dur
Odemezlerse	Od/eme/zler/se
oksijensiz	oksijen/siz
yeriniz	yer/iniz
gOremezsin	gOr/eme/zsin
konuSuluyorsa	konuSu/luyor/sa
OldUrUnUz	Ol/dUr/UnUz
yUzUlmez	yUz/Ul/mez
sOzUmUzUn	sOz/UmUz/Un
OrgUtlUlUGUn	OrgUt/lU/lUG/Un
buluyormuS	bul/uyor/muS
kemiksiz	kemik/siz
boyunuzun	boy/unuz/un
gazeteciydi	gazete/ci/ydi
hatIranIn	hatIra/nIn
bozukluGun	bozuk/luG/un
konuSulunca	kon/uS/ul/unca
yanlIStan	yanlIS/tan
sOkUl	sOk/Ul
konuSamayIz	kon/uS/ama/yIz
gOrUyor	gOr/Uyor
Ornekti	Ornek/ti
soyadIyla	soyadI/yla
babayla	baba/yla
aksIyor	aks/Iyor
gOrUlUyorsa	gOrU/lUyor/sa
azalacak	azal/acak
tIkamakta	tIka/mak/ta
kontrolOrlUGU	kontrolOr/lUG/U
kUfUrdUr	kUfUr/dUr
COlU	COl/U
CalISIyorsunuz	Cal/IS/Iyor/sunuz
dOkse	dOk/se
edemezlerse	ed/eme/zler/se
boSboGazlIk	boSboGaz/lIk
defterdarlIk	defterdar/lIk
oktan	ok/tan
dilsiz	dil/siz
dUSUnUrsUn	dUS/Un/Ur/sUn
lazImlIk	lazIm/lIk
gUrUltUdUr	gUrUltU/dUr
aSinalIk	aSina/lIk
kalIptan	kalIp/tan
buluttan	bulut/tan
acImIz	ac/ImIz
gelenekte	gelenek/te
baSardIktan	baSar/dIk/tan
CIkamIyorum	CIk/amIyor/um
solukdur	soluk/dur
fazlalaStIkCa	fazla/laS/tIkCa
gOtUrUldUGU	gOtUr/Ul/dUG/U
kUlhandan	kUlhan/dan
sarIyormuS	sar/Iyor/muS
arzunuzun	arzu/nuz/un
doGurganlIk	doGurgan/lIk
titriyor	titr/iyor
UzUlmUyorum	Uz/Ul/mUyor/um
ayette	ayet/te
CIkarsanIz	CIk/ar/sa/nIz
yokluGunu	yok/luG/u/nu
kavrayabilmeniz	kavra/yabil/men/iz
haksIzlIktan	hak/sIz/lIk/tan
kIlmaktI	kIl/mak/tI
koSturacak	koS/tur/acak
yapamIyordur	yap/amIyor/dur
yakInlaStIkCa	yakIn/laS/tIkCa
atacaktI	at/acak/tI
saklIyorum	sak/lIyor/um
uGrarsa	uGra/r/sa
yetiSmeniz	yetiS/men/iz
tUrkiyesiz	tUrkiye/siz
kontrolOrUn	kontrolOr/Un
yuvadan	yuva/dan
baSarmak	baSar/mak
yuman	yum/an
hindistandan	hindistan/dan
gOrdUk	gOr/dU/k
Oderiz	Od/er/iz
galatasaraylIyIm	galatasaray/lI/yIm
konmuStur	kon/muS/tur
edemezsek	ed/emez/se/k
aramaktaydI	ara/mak/ta/ydI
midyenin	midye/nin
farklIyIm	fark/lI/yIm
gireceksin	gir/ecek/sin
dejenerasyonun	dejenerasyon/un
daGIlmazsa	daGIl/maz/sa
borum	bor/um
oynayacaGImIz	oyna/yacaG/Im/Iz
Sartsa	Sart/sa
robotun	robot/un
karsa	kar/sa
stokun	stok/un
bursun	burs/un
yargIdan	yargI/dan
ayrISan	ayr/IS/an
mUslUmanlIkta	mUslUman/lIk/ta
olgusudur	ol/gu/su/dur
kilimcilik	kilim/ci/lik
arttIrmIyor	art/tIr/mIyor
giriveren	gir/iver/en
istanbulun	istanbul/un
genellik	genel/lik
biliS	bil/iS
muSta	muS/ta
tUkenecek	tUken/ecek
patlIcanlarI	patlIcan/larI
dUStUGUnden	dUS/tUG/U/nden
komSunuzu	komSu/nuz/u
arSivcilik	arSiv/ci/lik
etmiyorum	et/miyor/um
varacaktIr	var/acak/tIr
seviyormuSuz	sev/iyor/muS/uz
sUrdUGUnUn	sUr/dUG/Un/Un
COplUGUnde	COp/lUG/U/nde
hiClik	hiC/lik
yaptIk	yap/tI/k
Uslubunun	Uslub/u/nun
kalIplarI	kalIp/larI
dOktUren	dOk/tUr/en
dUSUnemiyordum	dUSUn/emiyor/du/m
baSmUhendislik	baSmUhendis/lik
yakItlarI	yakIt/larI
umut	um/ut
araStIran	araStIr/an
eGitmekten	eG/it/mek/ten
doldurulmuStur	dol/dur/ul/muS/tur
kOylUmUze	kOy/lU/mUz/e
kurutulan	kurut/ul/an
ilerliyorduk	ilerl/iyor/du/k
gelecektiniz	gel/ecek/ti/niz
olgunlaSamazlar	olgun/laS/ama/zlar
issizlik	is/siz/lik
satIyorum	sat/Iyor/um
ilgiliyim	ilgi/li/yim
dUSUnUlUr	dUS/Un/Ul/Ur
