gOkyUzUyle	gOkyUzU/yle
metindi	metin/di
gerekCeyle	gerekCe/yle
sevecenlik	sevecen/lik
ararIm	ara/r/Im
veritabanlarIyla	veritaban/larI/yla
unvanlarIyla	unvan/larI/yla
edebiyatImIz	edebiyat/Im/Iz
kemoterapiye	kemoterapi/ye
meteorolojiye	meteoroloji/ye
huriye	huri/ye
muayenehaneye	muayenehane/ye
yeltendi	yelten/di
darUlacezeye	darUlaceze/ye
cahiliz	cahil/iz
olunmaz	ol/un/maz
tanItIyorum	tan/It/Iyor/um
CalISIyorum	CalIS/Iyor/um
tUrUdUr	tUr/U/dUr
kadardI	kad/ar/dI
yargIdIr	yar/gI/dIr
adaletsizlik	adalet/siz/lik
bulsanIz	bul/sa/nIz
aklInIz	ak/lI/nIz
modernleSmeden	modern/leS/meden
iSletiyordu	iS/let/iyor/du
gOstermekteyiz	gOster/mek/te/yiz
imparatorluklarInI	imparator/luk/larI/nI
ayIrIrsak	ayIr/Ir/sa/k
sOyleyemeyeceGim	sOyle/yeme/yeceG/im
yargItayImIz	yargItay/Im/Iz
filomuz	filo/m/uz
tiyatrosuna	tiyatro/su/na
bUromuz	bUro/m/uz
tUrUnU	tUr/Un/U
balkonundan	balkon/u/ndan
krediye	kredi/ye
mUdafiye	mUdafi/ye
aGIrlaStIrarak	aGIr/laS/tIr/arak
aceleye	acele/ye
falI	fa/lI
dOnUlecekti	dOn/Ul/ecek/ti
sakallI	sakal/lI
malatyalI	malatya/lI
uzlaSarak	uz/laS/arak
birleSmeli	bir/leS/meli
doGmazdI	doG/maz/dI
konuSturdum	konuS/tur/du/m
okuduGumu	oku/duG/um/u
anlIyormuSum	an/lIyor/muS/um
temelsizdi	temel/siz/di
dinsizlik	din/siz/lik
Uredi	Ure/di
aSkIm	aSk/Im
keSfedeceGimiz	keSfed/eceG/imiz
sayardI	say/ar/dI
sorununun	sorun/un/un
ambarlI	ambar/lI
devSiren	devSir/en
sakInIm	sakIn/Im
kUlahlI	kUlah/lI
aboneye	abone/ye
gerCekleSemeyecek	gerCek/leS/eme/yecek
atlIya	at/lI/ya
gerilimden	geri/lim/den
tanIStIracak	tan/IS/tIr/acak
baSaramazsam	baSar/amaz/sa/m
korkmaktadIr	kork/mak/ta/dIr
nikahlI	nikah/lI
saklI	sak/lI
passionu	passion/u
hatunu	hatun/u
eleStirim	eleStiri/m
olmuSumdur	ol/muS/um/dur
devletlim	devletli/m
sendromu	sendrom/u
aGlI	aG/lI
pozisyonu	pozisyon/u
sempozyumu	sempozyum/u
kuruluSunuzda	kur/ul/uS/unuz/da
CakmIStI	Cak/mIS/tI
patlamIStI	patla/mIS/tI
kIsItlIlIk	kIsIt/lI/lIk
karSIlaStIrInIz	karSI/laS/tIr/InIz
yapabilmekteydi	yap/abil/mekte/ydi
arayanlarInda	ara/yan/larI/nda
kurulamamIStI	kurul/ama/mIS/tI
girdim	girdi/m
sunumu	sunum/u
aktarabiliyorsunuz	aktar/abil/iyor/sunuz
pantolonuyla	pantolon/u/yla
uyanIrdIk	uyan/Ir/dI/k
halletmek	hal/let/mek
barIndIrIyordu	barIn/dIr/Iyor/du
dolaSIyorsa	do/laS/Iyor/sa
edebiliyoruz	ed/ebil/iyor/uz
durdurulmuS	dur/dur/ul/muS
