vahSetleri	vahSet/leri
anlayabildiGim	anla/yabil/diG/im
edilemeden	ed/il/emeden
getirilerinin	getiri/leri/nin
santrallerinin	santral/leri/nin
kabartIp	kabar/t/Ip
kesinleSen	kesin/leS/en
izlenemiyor	izle/n/emiyor
neSelenince	neSe/len/ince
yaSanIrken	yaSa/n/Ir/ken
yargIlanamazlar	yargI/lan/ama/zlar
sergilenip	ser/gi/len/ip
sergilenip	ser/gi/len/ip
aCIlImlarIndan	aC/Il/Im/larI/ndan
baSlatIlmISsa	baS/lat/Il/mIS/sa
kesilip	kes/il/ip
indirgenemez	indirge/n/emez
pasifikteki	pasifik/te/ki
dayanamaz	daya/n/amaz
karalanIp	kara/lan/Ip
CekiSir	Cek/iS/ir
sorgulayIn	sor/gu/la/yIn
bulunamamIStIr	bul/un/ama/mIS/tIr
meSrulaStIrIlIr	meSru/laS/tIr/Il/Ir
tasarlanamaz	tasar/lan/amaz
lazImmIS	laz/Im/mIS
vurabilecek	vur/abil/ecek
devrelerinde	devre/leri/nde
formUlden	formUl/den
tasfiyeden	tasfiye/den
vasiyetnameden	vasiyetname/den
dertlenip	dert/len/ip
oluGa	o/luG/a
ticaretteki	ticaret/te/ki
seCebilmek	seC/ebil/mek
azaltamaz	azal/t/amaz
vitaminleriyle	vitamin/leri/yle
esinlenerek	esin/len/erek
temizlensin	temiz/len/sin
geniSletmektir	geniS/let/mek/tir
edebilmekte	ed/ebil/mek/te
mUdafiden	mUdafi/den
girdiden	girdi/den
gerCekleStirdikten	gerCek/leS/tir/dik/ten
dokunuSunu	doku/n/uS/u/nu
paramIza	para/mIz/a
baSaralIm	baSar/a/lIm
OlecekmiS	Ol/ecek/miS
kanala	kana/l/a
tUrkiyemizde	tUrkiye/miz/de
emelleriyle	emel/leri/yle
OrgUtlenerek	OrgUt/len/erek
taranarak	tara/n/arak
birliklerinde	bir/lik/leri/nde
baGlanIyoruz	baG/lan/Iyor/uz
alabileceGimiz	al/abil/eceG/imiz
cipe	cip/e
derbente	derbent/e
hacze	hacz/e
kIsmete	kIsmet/e
dedikCe	de/dik/Ce
galibiyete	galibiyet/e
konteynere	konteyner/e
pakete	paket/e
anneleriyle	anne/leri/yle
depolanmaz	depo/lan/maz
hisseleriyle	hisse/leri/yle
anneleriyle	anne/leri/yle
atIldInIz	at/Il/dI/nIz
isterdin	iste/r/di/n
nevrim	nevr/im
SirketleSmiS	Sirket/leS/miS
gUncelleSmiS	gUncel/leS/miS
sulanInca	su/lan/Inca
reisliGe	reis/liG/e
yeniliktir	yeni/lik/tir
getiriliyordu	getir/il/iyor/du
karSIlayacaktI	karSI/la/yacak/tI
OnereceGimiz	Oner/eceG/im/iz
dirseGe	dirseG/e
bilimselliGe	bilimsel/liG/e
birikir	birik/ir
UnUne	Un/U/ne
SairliGe	Sair/liG/e
baSmUhendisliGe	baSmUhendis/liG/e
gidebilirdik	gid/ebil/ir/di/k
OldUrene	Ol/dUr/en/e
tUfeGimiz	tUfeG/im/iz
dOSetti	dOSe/t/ti
fatihtir	fatih/tir
temada	tema/da
kayIsIda	kayIsI/da
dolunayda	dolunay/da
finansmanda	finansman/da
ulaSmISken	u/laS/mIS/ken
yerleSebileceGim	yerleS/ebil/eceG/im
bilebilirdik	bil/ebil/ir/di/k
Islanmak	Is/lan/mak
keSfediliyor	keSfed/il/iyor
palazlanIyor	palaz/lan/Iyor
tedarikCisi	tedarik/Ci/si
kaybettin	kaybet/ti/n
iCinizde	iC/iniz/de
yaSanIyorsa	yaSa/n/Iyor/sa
uzatmazdI	uza/t/maz/dI
eriSilebilecek	er/iS/il/ebil/ecek
alIStIrdIm	al/IS/t/Ir/dI/m
gerCekleStireceGiniz	gerCek/leS/tir/eceG/iniz
kurulda	kurul/da
kIvrImda	kIvrIm/da
hindistanda	hindistan/da
sahanda	sahan/da
modernleStiriyor	modern/leS/tir/iyor
tetikleyen	tetik/le/yen
buluSuna	bul/uS/un/a
ezberlemeden	ezber/le/meden
topallayarak	topal/la/yarak
medeniyetlerine	medeniyet/leri/ne
halkImIza	halk/ImIz/a
ahlakImIza	ahlak/ImIz/a
