sence	se/n/ce
karSIladIklarInI	karSI/la/dIk/larI/nI
sInIflandIrIlIp	sInIf/lan/dIr/Il/Ip
OfkelenmiSti	Ofke/len/miS/ti
yenilenebilecek	yeni/len/ebil/ecek
yaSlIsIyla	yaS/lI/sI/yla
beslendi	bes/len/di
hafIzasInIn	hafIza/sI/nIn
unutabiliriz	unut/abil/ir/iz
geliStirilirken	gel/iS/tir/il/ir/ken
dairede	daire/de
yerinede	yerine/de
perdede	perde/de
sebzede	sebze/de
eskide	eski/de
muayenede	muayene/de
ezelde	ezel/de
askeriyede	askeriye/de
poliCede	poliCe/de
nebzede	nebze/de
hasretten	hasret/t/en
oradadIr	ora/da/dIr
mesleklerini	meslek/leri/ni
dUzenleyicileri	dUzen/le/yici/leri
verilmekte	ver/il/mek/te
CIkartIlmak	CIkar/t/Il/mak
seyretmiStir	seyret/miS/tir
vazgeCmiStir	vazgeC/miS/tir
unutabilir	unut/abil/ir
hepside	hepsi/de
farede	fare/de
katedralde	katedral/de
seden	se/den
gUnUde	gUnU/de
araStIrabiliriz	araStIr/abil/ir/iz
OGrencide	OGrenci/de
sunabiliriz	sun/abil/ir/iz
belirtilmez	belir/t/il/mez
cezalandIrIlmaz	ceza/lan/dIr/Il/maz
efendilerini	efendi/leri/ni
berin	beri/n
ayIrt	ayIr/t
CaGan	CaGa/n
senmiSsin	se/n/miS/sin
mevzilenen	mevzi/len/en
ensesinden	ense/si/nden
selamlIGa	selam/lIG/a
helyuma	helyum/a
bara	bar/a
nuha	nuh/a
hayata	hayat/a
kItalan	kIta/lan
hitama	hitam/a
OzetlediGimiz	Ozet/le/diG/imiz
mUslUmanlIGa	mUslUman/lIG/a
kalmakla	kal/mak/la
kaSIGa	kaSIG/a
Usluba	Uslub/a
meditasyona	meditasyon/a
temellenen	temel/len/en
dUnyama	dUnya/m/a
yansItabilecek	yansI/t/abil/ecek
gUvencesinin	gUvence/si/nin
stratejisinin	strateji/si/nin
iCselleStirir	iCsel/leS/tir/ir
matematikCidir	matematik/Ci/dir
kaplamIStI	kap/la/mIS/tI
aCIkladInIz	aCIk/la/dI/nIz
eSleStirir	eS/leS/tir/ir
