bestesi	beste/si
gerisi	geri/si
cenazesine	cenaze/si/ne
etikle	etik/le
prensesle	prenses/le
aCIklanabilmiS	aCIk/lan/abil/miS
tUrdeki	tUr/de/ki
trajedisine	trajedi/si/ne
vermeseydim	ver/me/se/ydi/m
kOpekle	kOpek/le
anImsatmakla	anImsa/t/mak/la
boyladI	boy/la/dI
iSlemekle	iSle/mek/le
deGerlendiremediGimiz	deGer/len/dir/eme/diG/im/iz
ilimci	il/im/ci
Ozetle	Ozet/le
iCerikle	iCerik/le
imzalayabilmektedir	imza/la/yabil/mek/te/dir
belirtilmiS	belir/t/il/miS
aklamIS	ak/la/mIS
aSIlabilmektedir	aS/Il/abil/mek/te/dir
dinlemek	din/le/mek
balCIkla	balCIk/la
dokUmanla	dokUman/la
kartla	kart/la
ayrImcIlIGIn	ayrIm/cI/lIG/In
hesaplamIS	hesap/la/mIS
parCala	parCa/la
sunumla	sunum/la
Onemsemeliyiz	Onemse/me/li/yiz
UnlenmiS	Un/len/miS
hepsinde	hepsi/n/de
darbesini	darbe/si/ni
serpintisini	serpinti/si/ni
vergisini	vergi/si/ni
delegesini	delege/si/ni
hatIrlatmayI	hatIr/lat/ma/yI
verilmektedir	ver/il/mekte/dir
gerCekleStirmekle	gerCek/leS/tir/mek/le
nama	na/m/a
teknesini	tekne/si/ni
cenazesini	cenaze/si/ni
savaSta	savaS/t/a
farkIndaydIk	fark/In/da/ydI/k
soruSturulmalIdIr	soruS/tur/ul/ma/lI/dIr
nefesimle	nefes/im/le
giymeyin	giy/me/yin
gUClendirmekti	gUC/len/dir/mek/ti
gUClendirirken	gUC/len/dir/ir/ken
UnlenmiStir	Un/len/miS/tir
kalbimle	kalb/im/le
saygIsIzlIGI	say/gI/sIz/lIG/I
emelimizdir	emel/im/iz/dir
kalitelidir	kalite/li/dir
sOndUrmeye	sOn/dUr/me/ye
tehlikelidir	tehlike/li/dir
almayalIm	al/ma/ya/lIm
germeyi	ger/me/yi
nazIrlIGIndan	nazIr/lIG/In/dan
yOnetendir	yOnet/en/dir
denerim	de/n/er/im
Ozendirilerek	Oze/n/dir/il/erek
kesmesin	kes/me/sin
irdelemeyi	irdele/me/yi
iCeriklidir	iCerik/li/dir
donanImInIzIn	dona/n/Im/InIz/In
keSfetmeniz	keSfet/me/niz
verdiren	ver/dir/en
tekrarlamakla	tekrar/la/mak/la
atIldIGIndan	at/Il/dIG/In/dan
bilgilendirir	bil/gi/len/dir/ir
geCmeyen	geC/me/yen
Cekmeyebilir	Cek/me/yebil/ir
hakimliGince	hakim/liG/in/ce
savaSmanIn	savaS/man/In
Ozendirecek	Oze/n/dir/ecek
dUzenlemektedir	dUzen/le/mek/te/dir
dISIndaymIS	dIS/In/da/ymIS
