cUmlesidir	cUmle/si/dir
getirdiGinden	getir/diG/in/den
ilgilenmenin	il/gi/len/men/in
bakISma	bak/IS/ma
aCIklanamadIGI	aCIk/lan/ama/dIG/I
bilinenden	bil/in/en/den
pazarIndaki	pazar/In/da/ki
baGlanmamIz	baG/lan/ma/mIz
annesidir	anne/si/dir
genCliGindeki	genC/liG/in/de/ki
ulaSmamIza	u/laS/ma/mIz/a
engellemedi	engel/le/me/di
ulumanIn	ulu/ma/nIn
dinimizin	din/imiz/in
sunabilme	sun/abil/me
hiCliGin	hiC/liG/in
anlatabiliyorlardI	an/lat/abil/iyor/lar/dI
kararlIlIGI	karar/lI/lIG/I
tekrarlanmalIdIr	tekrar/lan/ma/lI/dIr
yOnetilmesinde	yOnet/il/me/si/nde
modernleSmesini	modern/leS/me/si/ni
insanIsInIz	insan/I/sInIz
beyazlIGIna	beyaz/lIG/I/na
yutmaya	yu/t/ma/ya
yunanlIlardan	yun/an/lI/lar/dan
katIlmasIyla	kat/Il/ma/sI/yla
sulandIrIlmamIS	su/lan/dIr/Il/ma/mIS
doGrulandIGInI	doGru/lan/dIG/I/nI
kazanabilme	kazan/abil/me
SUphelenildiGinde	SUphe/len/il/diG/in/de
modernliGin	modern/liG/in
adIysa	ad/I/ysa
IslanmanIn	Is/lan/ma/nIn
halindeydik	hal/i/nde/ydi/k
ilerletilmesine	ilerle/t/il/me/si/ne
tutulma	tut/ul/ma
hasarInda	hasar/In/da
yOneticiliGinde	yOnet/ici/liG/i/nde
uzayInda	uzay/In/da
kazanmanIza	kazan/ma/nIz/a
ulaSmasIndan	u/laS/ma/sI/ndan
tanImlayabileceGimizi	tan/Im/la/yabil/eceG/imiz/i
sunacaGI	sun/acaG/I
okuyucularImIz	oku/yucu/lar/ImIz
bastIrma	bas/tIr/ma
gerCekleStirilebileceGine	gerCek/leS/tir/il/ebil/eceG/i/ne
dokunmayla	doku/n/ma/yla
dokunmayla	doku/n/ma/yla
tuttururlar	tut/tur/ur/lar
hasadIndan	hasad/I/ndan
CIkarmasIydI	CIkar/ma/sI/ydI
kISkIrtIldIGI	kISkIr/t/Il/dIG/I
dISIndakini	dIS/I/nda/ki/ni
arttIrIlmasI	art/tIr/Il/ma/sI
dokundurma	doku/n/dur/ma
yaSanmasa	yaSa/n/ma/sa
hafIzanIzI	hafIza/nIz/I
CarpmasInIn	Carp/ma/sI/nIn
anlaSamamasI	anlaS/ama/ma/sI
yaktIn	yak/t/In
baSbakanIydI	baSbakan/I/ydI
kilitlenme	kilit/len/me
benzemesini	benze/me/si/ni
gUlme	gUl/me
aGaClandIrIlmasI	aGaC/lan/dIr/Il/ma/sI
gOrUnmediGinden	gOr/Un/me/diG/in/den
arSivlenmesini	arSiv/len/me/si/ni
koSamayanlar	koS/ama/yan/lar
tezgahIndaki	tezgah/I/nda/ki
ambalajIn	ambalaj/In
karSItIn	karSIt/In
pervazIn	pervaz/In
itmesini	it/me/si/ni
sarImsaGIn	sarImsaG/In
tertibatIn	tertibat/In
baSparmaGIn	baSparmaG/In
Orme	Or/me
hattIn	hatt/In
hasIrIn	hasIr/In
etkilemesine	etki/le/me/si/ne
alImIyla	alIm/I/yla
damadIyla	damad/I/yla
kurbanInIn	kurban/I/nIn
esasIyla	esas/I/yla
kampIna	kamp/In/a
yenilenme	yeni/len/me
hallettiGi	hal/let/tiG/i
sUrUlmesidir	sUr/Ul/me/si/dir
soykIrImInIn	soykIrIm/I/nIn
bUyUmelidir	bUyU/me/li/dir
sOnme	sOn/me
Cevrilmelidir	Cevril/me/li/dir
sUrUkleyebileceGini	sUrUkle/yebil/eceG/i/ni
kUlahIn	kUlah/In
suClandIrIlIrlar	suC/lan/dIr/Il/Ir/lar
insanImIzI	insan/ImIz/I
soykIrImIn	soykIrIm/In
canbazIn	canbaz/In
acIn	ac/In
tutuldular	tut/ul/du/lar
aletine	alet/in/e
OlCeGine	OlCeG/in/e
derneGine	derneG/in/e
temelindeki	temel/in/de/ki
yargItayIn	yargItay/In
atardamarIn	atardamar/In
temelinden	temel/in/den
kIlmadI	kIl/ma/dI
aCmasIna	aC/ma/sI/na
bulandIrma	bu/lan/dIr/ma
sIralanmasInda	sIra/lan/ma/sI/nda
gerCekleStirmesidir	gerCek/leS/tir/me/si/dir
konaklamalarI	konak/la/ma/larI
sergimizi	ser/gi/miz/i
erkeGinki	erkeG/in/ki
OldUrUrlerdi	Ol/dUr/Ur/ler/di
silinmemiSti	sil/in/me/miS/ti
temizlemesini	temiz/le/me/si/ni
demediGim	de/me/diG/im
taramasInI	tara/ma/sI/nI
ayIrmasInI	ayIr/ma/sI/nI
duymasInI	duy/ma/sI/nI
izlenmesine	iz/len/me/si/ne
yaSantIlarImIz	yaSantI/lar/Im/Iz
sunmasInI	sun/ma/sI/nI
oluSumlar	ol/uS/um/lar
selamlIyorlardI	selam/lIyor/lar/dI
mevzilenmesi	mevzi/len/me/si
giriSiminin	gir/iS/im/i/nin
artmamIS	art/ma/mIS
Sekillenmesi	Sekil/len/me/si
geliStiGinde	geliS/tiG/i/nde
yetiStirdiGi	yet/iS/tir/diG/i
kaynadIGI	kayna/dIG/I
gOrevimin	gOrev/im/in
sevindirmiStir	sev/in/dir/miS/tir
benimseyebileceGi	benimse/yebil/eceG/i
kavradIGI	kavra/dIG/I
dominantlIGI	dominant/lIG/I
baSlanIlmasI	baSla/n/Il/ma/sI
tIrmanmIStIlar	tIrman/mIS/tI/lar
Ucretlendirilmelidir	Ucret/len/dir/il/me/li/dir
savurganlIGI	savurgan/lIG/I
onayIna	onay/I/na
CIkmazIna	CIkmaz/I/na
heyecanImI	heyecan/Im/I
mUktesebatInI	mUktesebat/I/nI
cevabInda	cevab/I/nda
fedakarlIGI	fedakar/lIG/I
meydanInda	meydan/I/nda
beyazIna	beyaz/I/na
planlamasInda	plan/la/ma/sI/nda
diyemeyeceGi	di/yeme/yeceG/i
karSIlaSmadIGImIzI	karSI/laS/ma/dIG/ImIz/I
karSIlaSIyorlar	karSI/laS/Iyor/lar
yetmiSin	ye/t/miS/in
muradInI	murad/I/nI
puanInda	puan/I/nda
dizaynIna	dizayn/I/na
hesaplamasIna	hesap/la/ma/sI/na
savaSIyorlardI	savaS/Iyor/lar/dI
aCIklamasIna	aCIk/la/ma/sI/na
dUnyamI	dUnya/m/I
kiSinin	kiSi/n/in
dizaynInI	dizayn/I/nI
bekliyorlarmIS	bekl/iyor/lar/mIS
yapIlma	yap/Il/ma
tehlikenin	tehlike/n/in
Sekillendirilmesi	Sekil/len/dir/il/me/si
