vazgeCtin	vazgeC/t/in
kazanIrlardI	kazan/Ir/lar/dI
araStIrIlmasI	araStIr/Il/ma/sI
oluSabileceGine	oluS/abil/eceG/i/ne
sensizliGi	sen/siz/liG/i
dUSmesi	dUS/me/si
savurganlIGInIn	savurgan/lIG/In/In
gideceGinden	gid/eceG/i/nden
rUyalarImdaki	rUya/lar/Im/da/ki
genCliGinizi	genC/liG/iniz/i
toplanmISlardI	top/lan/mIS/lar/dI
yememeniz	ye/me/me/niz
getirmemeye	getir/me/me/ye
kalIndIGInda	kal/In/dIG/I/nda
verdiGinizi	ver/diG/iniz/i
azalabileceGini	azal/abil/eceG/i/ni
Cilingirin	Cilingir/in
katilin	katil/in
sebebin	sebeb/in
ligin	lig/in
beSin	beS/in
atlatmasI	atla/t/ma/sI
deGerlendirmemizin	deGer/len/dir/me/miz/in
OGrencilerimmiSsiniz	OGrenci/ler/im/miS/siniz
ufalanma	ufa/lan/ma
dUSUnUlmediGi	dUS/Un/Ul/me/diG/i
kehanetin	kehanet/in
solistin	solist/in
depremin	deprem/in
katedralin	katedral/in
sIralamada	sIra/la/ma/da
duymamanIn	duy/ma/man/In
uyarlanma	uyarla/n/ma
iSletmeciliGini	iSle/t/me/ci/liG/i/ni
kabarttIlar	kabar/t/tI/lar
dilerlerse	dile/r/ler/se
OGrenmesidir	OGren/me/si/dir
yargIlanmasI	yargI/lan/ma/sI
azaltmasI	azal/t/ma/sI
yutmasI	yu/t/ma/sI
baletin	balet/in
adaletin	adalet/in
saklanabileceGi	sak/lan/abil/eceG/i
kirlettiler	kir/let/ti/ler
yetiStirilirler	yet/iS/tir/il/ir/ler
OvUyorlar	Ov/Uyor/lar
fatihin	fatih/in
pazarlamacIlIGI	pazar/la/ma/cI/lIG/I
sUrprizin	sUrpriz/in
incelemedir	ince/le/me/dir
gOrUnUSlerde	gOr/Un/US/ler/de
mahiyetindedir	mahiyet/in/de/dir
denetimiyle	dene/t/im/i/yle
imzalamISlardI	imza/la/mIS/lar/dI
ihtiyaClarImIza	ihtiyaC/lar/ImIz/a
yurttaSlarImIza	yurttaS/lar/ImIz/a
alamazsIn	a/la/ma/zsIn
sUrdUrebilirler	sUr/dUr/ebil/ir/ler
OldUrUrler	Ol/dUr/Ur/ler
olmayanIn	ol/ma/yan/In
aGlarlar	aGla/r/lar
