таа’койӈын	таа/’ко/йӈы/н
йъйыӄык	йъйыӄы/к
ныӄэԓпэратӄэн	ны/ӄэԓпэр/ат/ӄэн
вытэчгытрыӄэргыԓьын	вытэч/гытры/ӄэргы/ԓьы/н
мыкыӈ	мык/ы/ӈ
нывытрэтӄин	ны/вытрэт/ӄин
чеԓгатвытрыԓьо	чеԓг/ат/вытры/ԓь/о
вытэчгытрыԓьо	вытэч/гытры/ԓь/о
ныӄэргавыӈоӄэн	ны/ӄэргав/ыӈо/ӄэн
нычеԓгъав	ны/чеԓ/гъа/в
ыԓьыԓе	ы/ԓьы/ԓе
ыннаны	ыннаны
гэнниӈэвԓин	гэ/нн/иӈэв/ԓин
эԓгыкъаԓейпыгъат	эԓгы/къаԓе/йпы/гъа/т
пыԓвынтымытӄыёчгыт	пыԓвынты/мытӄы/ёчгы/т
нынъэԓӄин	ны/нъэԓ/ӄин
нычеԓгатӄэн	ны/чеԓг/ат/ӄэн
нывытэчгытратӄэн	ны/вытэч/гытра/т/ӄэн
нувпэраӄэн	н/увпэра/ӄэн
пытӄы	пытӄы
нывытрэтӄинэт	ны/вытрэт/ӄинэ/т
маёԓгыт	маё/ԓгыт
ынӈытэӄ	ынӈы/тэӄ
гакыткытръоԓен	га/кыткыт/ръо/ԓен
маёԓгэпы	маё/ԓг/эпы
гапыԓьыԓьатыӈоԓенат	га/пыԓьы/ԓь/аты/ӈо/ԓена/т
вээмӄэгти	вээм/ӄэг/ти
гамгаярак	га/мга/яра/к
гэйыԓӄэтԓинэт	гэ/йыԓӄ/эт/ԓинэ/т
ыннанрак	ынна/н/ра/к
аэровокзаԓык	аэрово/кза/ԓы/к
нынԓетӄин	ны/н/ԓет/ӄин
ээк	ээ/к
тытԓык	тытԓы/к
нытвэтчатваӄэнат	ны/твэтча/тва/ӄэна/т
нэнъатчаӄэн	н/эн/ъатча/ӄэн
танрэӈаӈ	танрэ/ӈа/ӈ
мэсӄупӄыԓьын	мэс/ӄупӄы/ԓьы/н
ԓыгъоравэтԓьан	ԓыг/ъоравэтԓьа/н
ӄорагынрэтавэръыԓьын	ӄора/гынрэт/авэръы/ԓьы/н
ӄорагынрэтыԓьыт	ӄора/гынрэты/ԓьы/т
мачванэван	мачванэван
ныԓганэнат	ны/ԓга/нэна/т
ӈаргынэнатватык	ӈаргы/н/эна/тва/тык
ԓыԓепыткугъи	ԓыԓе/пытку/гъ/и
гыргоԓягты	гыргоԓя/гты
татԓыӈыткогъэ	тат/ԓыӈы/тко/гъ/э
ныпиӈэръугъэн	ны/пиӈэ/ръу/гъэ/н
пиӈэпиӈ	пиӈэ/пиӈ
айыԓгыкэгты	айыԓ/гы/кэ/гты
вэнԓыги	вэнԓыги
мачоратвагъат	мачора/тва/гъа/т
вэтчатвак	вэтча/тва/к
гэтама	гэ/та/ма
таӈпэрайыӈаттат	таӈ/пэра/йыӈ/атта/т
ныймэтваӄэнат	ны/ймэтва/ӄэна/т
йъык	йъы/к
ыргин	ыргин
выргыргын	выргыргы/н
нэрэтӄин	нэ/рэт/ӄин
гыргоԓяйпы	гыргоԓя/йпы
нотасӄэты	нота/сӄ/эты
выяԓятыркын	выяԓя/ты/ркын
вагъэ	ва/гъ/э
танӈыткогты	танӈы/тко/гты
ӈинӄэю	ӈин/ӄэю
выёпчак	выёпча/к
ӈирэнрыԓгэ	ӈирэ/нры/ԓгэ
рэнъэԓгъэ	рэнъэԓ/гъ/э
игырым	игырым
ӈаргынэн	ыттъув/ги
тэӈэвыргыргыкэ	ӈаргы/нэн
тэӈэнвыргыргэвкэ	ны/тва/ӄэн
нъэԓыркын	ам/аԓва/ӈ
йыԓӄэтыркыт	таӈ/ымыԓьо
тэӈуйӈэ	ымнут/эйикви/к
амыргынан	амыргы/нан
ӈотӄэнат	ӈот/ӄэна/т
ыԓьыԓти	ы/ԓьы/ԓ/ти
мэӈӄо	мэӈ/ӄо
наваԓёмгъан	на/ваԓём/гъа/н
апԓёратвака	апԓёра/тва/к/а
маёԓгыеквэ	маё/ԓгы/еквэ
вытрэтгъи	вытрэт/гъ/и
магԓяԓьын	магԓяԓьы/н
тагратыӈогъэ	тагр/аты/ӈо/гъ/э
танэн	та/нэ/н
чывинин	ч/ыви/ни/н
чекавэтываӄ	чекав/эты/ваӄ
нывиԓгъи	ны/виԓ/гъ/и
орааканԓятыԓьык	орааканԓяты/ԓьы/к
торваԓёма	торваԓё/ма
ӈытоӈӈогъат	ӈыто/ӈӈо/гъа/т
ягнанво	ягна/н/во
вуԓӄытвипыкитԓьэт	вуԓӄы/тви/пы/кит/ԓьэт
рэмкыԓьыт	рэмкы/ԓьы/т
накамԓеԓтагъан	накам/ԓеԓта/гъа/н
оргоор	оргоор
орвэпы	орв/эпы
ӄутгъи	ӄут/гъ/и
эквынпыначгын	эквы/нпыначгы/н
мэпэӈъивэтыԓьын	мэпэӈ/ъив/эты/ԓьы/н
ԓеԓют	ԓеԓют
риԓвыт	риԓвыт
ԓыԓяргыт	ԓыԓя/ргы/т
гъаӈойпыԓенат	г/ъа/ӈ/ойпы/ԓена/т
ӄъэԓитвыгъи	ӄ/ъэԓи/твы/гъ/и
нэԓьугъэн	нэ/ԓьу/гъэ/н
иԓгыкырвир	иԓгы/кырвир
анойпыԓьын	анойпы/ԓьы/н
гатаӈавэръэпыԓен	га/таӈ/авэръ/эпы/ԓен
крычмыма	крычмым/а
ныркувӄэн	ны/ркув/ӄэн
ԓымгиръын	ԓым/гиръы/н
ӄоранаԓгэн	ӄора/на/ԓгэ/н
яаԓеӈӄач	яаԓе/ӈӄач
ниԓгиӄэтӄин	н/иԓги/ӄэт/ӄин
имчьэчукин	имчь/эчу/кин
нэԓгын	н/эԓгы/н
пэнаӄаԓгын	пэнаӄаԓгы/н
ынпыначгык	ынпыначгы/к
гыткак	гытка/к
торпанраӄонагтэ	торпанра/ӄона/гтэ
чечот	чечот
эвиръыт	эвиръы/т
атымӈэйпыка	а/тымӈэйпы/к/а
нынтыӄинэт	ны/нты/ӄинэ/т
таӈаԓкыԓыӈ	таӈ/аԓкыԓы/ӈ
раӄэты	раӄэты
энаача	энаача
гаторавэръэпыԓен	га/торавэръ/эпы/ԓен
ивкэ	ив/к/э
еттык	ет/тык
гагԓеты	га/г/ԓеты
пынԓёнэнат	пынԓён/эна/т
трэԓьуӈын	т/рэ/ԓьу/ӈы/н
ыттъувгинэ	ыттъув/гин/э
мырковъентогъэ	ынпыначгы/н
мынгаймэтыӈонэнат	рам/ынноӈ/эты
ыныкорвык	мын/г/аймэты/ӈонэ/на/т
камԓеԓтаткоԓьыт	ыны/корвы/к
йыӄӄайым	йыӄ/ӄай/ым
ныпытӄивӄин	ны/пытӄив/ӄин
нычимгъуйгым	ны/чимгъу/йгым
риӈэгъи	риӈэ/гъ/и
нынны	нынны
трэԓьуӈыркын	т/рэ/ԓьу/ӈы/ркын
ӄиквыткы	ӄ/ик/вы/ткы
рэԓьуӈыркынин	рэ/ԓьу/ӈы/ркыни/н
мынԓьувыԓгымык	мын/ԓьу/вы/ԓгы/мык
тумгигыт	тумг/игыт
ыттувйигым	ыттувй/игым
тэԓенъепкин	тэԓен/ъеп/кин
ԓынъё	ԓынъ/ё
нытумгыԓьэтӄин	ны/тумгы/ԓьэт/ӄин
гынниӈӈыттыԓьык	гынниӈ/ӈытты/ԓьы/к
гэтумгэ	гэ/тумг/э
таӈыннаны	таӈ/ыннаны
янорым	янорым
нынымытваӄэнат	ны/ны/мытва/ӄэна/т
вэты	вэты
ыԓгу	ыԓгу
ныԓгыӄин	ны/ԓгы/ӄин
тамэнӈатгыргын	тамэн/ӈат/гыргы/н
йъаратым	йъара/тым
ӈыроӄавыкым	ӈыроӄавы/кым
гэӈэквъиԓинэт	гэ/ӈэк/въ/и/ԓинэ/т
гэнмэйӈэвԓин	гэ/н/мэйӈ/эв/ԓин
мэмыԓынаым	мэмы/ԓын/аым
ӈээкык	ӈээ/кык
ӈыраӄавыкым	ӈыраӄавы/кым
нъэԓгъэт	н/ъэԓ/гъэ/т
кытэ	кытэ
ныԓьуӄин	ны/ԓьу/ӄин
ныԓӄытын	ны/ԓӄыты/н
нымнымгыпы	нымным/гыпы
пууръу	пууръу
ныӄивриԓьэтӄин	ны/ӄ/иври/ԓьэт/ӄин
вак	ва/к
айӈавъё	айӈав/ъё
эвын	эвын
энааԓьык	энаа/ԓьы/к
поԓярнык	поԓяр/ны/к
станцияк	станция/к
ымыым	ым/ыым
йъарат	йъа/ра/т
нымытваԓьык	ны/мытва/ԓьы/к
чычеткинэк	чычет/кинэ/к
ныпычвэтгавӄэн	ны/пычв/этгав/ӄэн
вагыргыт	вагыргы/т
нэнанъомравыткоӄэнат	н/эна/нъомравы/тко/ӄэна/т
тантомгыԓьатгыргэты	тан/томгы/ԓьат/гырг/эты
нитчыӄин	н/итчы/ӄин
ныкимыӄин	ны/кимы/ӄин
таӈычьыгыргын	таӈы/чьы/гыргы/н
амымӈыԓтэԓԓьан	амымӈыԓ/тэԓ/ԓьа/н
амрапаԓёмтэԓӈыԓьын	ам/рапаԓём/тэԓӈы/ԓьы/н
мэгчеранма	мэгчера/н/ма
амрамӈыԓтэԓӈыԓьын	а/мра/мӈыԓ/тэԓӈы/ԓьы/н
ваԓёмъё	ваԓё/мъё
гэкэԓиԓин	гэ/кэԓи/ԓин
книгак	книга/к
агтыкаԓегъёԓяткыԓьэн	а/гты/каԓе/гъёԓяткы/ԓь/эн
ӈээккэтэ	ӈэ/эккэ/тэ
гамгакаԓевэтгавъё	га/мгакаԓе/вэтгав/ъё
книга	книга
кытваӈӄытык	кытва/ӈӄы/тык
нинэтэйкыӄин	н/инэ/тэйкы/ӄин
майӈырынныԓьын	майӈы/рынны/ԓьы/н
мытэймэвмык	мыт/эймэв/мык
иам	иам
пыкиргъи	пыкир/гъ/и
эмрэԓьуӈэ	эм/рэ/ԓьу/ӈэ
амтымӈэ	ам/тымӈэ
анкэтъоӈатка	ан/кэтъоӈ/атка
гайавата	га/йав/ата
пыӈыԓ	пы/ӈыԓ
ынӈинвуԓӄытвик	ынӈин/вуԓӄы/тви/к
ӄорэн	ӄорэ/н
тэӈвытку	тэӈ/вытку
ваԓёмнэн	ваԓём/нэн
америкаԓьыргэн	а/мерика/ԓьы/ргэн
индейцаргэн	индейц/ар/гэн
пэтыпыӈыԓ	пэты/пыӈыԓ
ынӈот	ынӈо/т
нычеэкэвӄинэт	ны/чеэкэв/ӄинэ/т
нытааӄоӄэнат	ны/тааӄо/ӄэна/т
ыннантаакойӈа	ыннантаа/койӈа
ӄырымэнат	ӄырым/эна/т
маравыԓьыԓӄыԓтэ	маравы/ԓьы/ԓӄыԓ/тэ
ыргичгу	ыргичгу
нымытвак	ны/мытва/к
ваԓын	ваԓы/н
мэмыԓын	мэмы/ԓын
ныркыԓеӄин	ны/ркыԓе/ӄин
индейцыԓьырык	индейцы/ԓьы/ры/к
наӄамым	наӄамым
нымытваԓьырык	ны/мытва/ԓьы/ры/к
америкак	а/мерика/к
чемгъойпы	чемгъо/йпы
руԓтыгъи	ру/ԓты/гъ/и
рамӈыԓява	ра/мӈыԓ/ява
ръапыӈыԓ	ръапы/ӈыԓ
нынымӈыԓявӄэн	ны/ны/мӈыԓяв/ӄэн
ынанъяачы	ынанъяачы
тывыткоԓьа	ты/вытко/ԓьа
ыттъыёԓкэнак	ыттъыёԓ/кэна/к
тывыткоԓьык	ты/вытко/ԓьы/к
ганымӈыԓявԓен	га/ны/мӈыԓ/яв/ԓен
экэԓиткусӄивкэ	экэԓи/тку/сӄив/к/э
риӈэнэӈэтэ	риӈэн/эӈэт/э
пыӈыԓтэԓ	пыӈыԓ/тэԓ
маԓытчыё	маԓытчы/ё
нымкыӄин	ны/мкы/ӄин
пыӈыԓтэ	пыӈыԓ/тэ
ӄоԓетъыԓё	ӄоԓе/тъыԓё
москвак	москва/к
омакатгыргын	омак/ат/гыргы/н
конференция	конф/ерен/ция
амаравкэтагъяӈыԓьэн	а/марав/кэта/гъяӈы/ԓь/эн
тыӈэвыёно	ты/ӈэвы/ёно
чукоткайпы	чукотка/йпы
ритгъэ	рит/гъэ
таӈӄорагынрэтыԓьын	таӈ/ӄора/гынрэты/ԓьы/н
ԓыгивуԓӄытвик	ԓыгивуԓӄы/тви/к
рагтыпԓыткок	ра/гты/пԓытко/к
чемгъоӈогъэ	чемгъо/ӈо/гъ/э
ныԓвавӄэн	ны/ԓвав/ӄэн
йыԓӄэтык	йыԓӄ/эты/к
эргыръотагнэты	эргы/ръо/тагн/эты
тырэнӈивыӈын	ты/рэнӈ/ивы/ӈы/н
ыттувъейпы	ыттув/ъейпы
амарав	ам/арав
кэваратэн	кэвара/тэн
чимгъупԓыткугъи	чимгъу/пԓытку/гъ/и
тырэтэйкыӈын	тырэ/тэйкы/ӈы/н
ынантаӈычьын	ынантаӈы/чьы/н
микынэ	микы/нэ
эԓьукыԓьин	э/ԓьу/кы/ԓь/ин
тырэкэԓиӈын	ты/рэкэԓ/иӈы/н
гэмгэтэминӈыԓьэ	гэ/мгэт/э/минӈы/ԓь/э
чимгъунин	чимгъу/ни/н
рэкэԓигнин	рэкэԓ/иг/ни/н
капчачавыӈогъэ	капчачав/ыӈо/гъ/э
эты	эты
рэӄивриԓтэтгъэ	рэӄ/ивриԓтэт/гъ/э
акваттагнэты	акват/тагн/эты
тыӈэвыё	ты/ӈэвы/ё
нымнымэты	нымным/эты
эмрэтчыӈэ	эм/рэ/тчы/ӈэ
рэквэтгъэ	рэквэт/гъ/э
ԓюнԓьутэ	ԓюнԓьу/т/э
эргыпӄорагынрэтыԓьын	эргы/пӄора/гынрэты/ԓьы/н
гаӈаԓвыԓьыма	га/ӈаԓвы/ԓьым/а
етыԓьыԓӄыԓ	еты/ԓьы/ԓӄыԓ
ӈэръамытԓыӈэн	ӈэръа/мытԓы/ӈэн
гаԓяпԓыткок	гаԓя/пԓытко/к
эквэтыԓьыԓӄыԓым	эквэты/ԓьы/ԓӄы/ԓым
тэԓпык	тэԓпы/к
нанымӈыԓяквъан	н/аны/мӈыԓя/к/въа/н
правԓенияк	прав/ԓения/к
ярагты	яра/гты
онтымавэты	онтымав/эты
ыннэнйъиԓгык	ыннэн/йъ/иԓгы/к
гэчимгъуԓьин	гэ/чимгъу/ԓь/ин
амынан	ам/ынан
амтаакойӈын	ам/таа/ко/йӈы/н
нытвагъан	ны/тва/гъа/н
ынкыри	ын/кы/ри
ԓым	ԓым
ваԓьыԓӄыԓ	ва/ԓьы/ԓӄыԓ
таӈкаԓеӈ	таӈ/каԓе/ӈ
ынръам	ынръам
раԓьонъёԓӄыԓ	ра/ԓьо/нъ/ёԓ/ӄыԓ
чимгъуу	чимгъу/у
майӈырыркэн	майӈы/рыр/кэн
гивиӈитти	г/иви/ӈит/ти
яаԓ	яаԓ
гынниӈӈыттыԓьэ	гынниӈ/ӈытты/ԓь/э
уӈииԓьэ	уӈии/ԓь/э
коԓхозкэнак	коԓхоз/кэна/к
ганмыԓен	га/нмы/ԓен
ԓыгэмайӈырыркы	ԓыгэ/майӈы/ры/ркы
ынӈэнкоԓхозэты	ынӈэн/коԓхоз/эты
коԓхоз	коԓхоз
ӈирэӄӄԓиккин	ӈирэӄ/ӄԓик/кин
киԓометрмэԓ	киԓо/мет/рмэԓ
урэԓьу	урэ/ԓьу
коԓхозгыпы	коԓхоз/гыпы
куннин	кунн/ин
таӈгыннэӈӈыттыԓьэпы	таӈ/гыннэӈ/ӈытты/ԓь/эпы
ынӈэн	ынӈэн
ваӈӄытгыпы	ваӈӄытгыпы
нытэӈӄин	ны/тэӈ/ӄин
тайкыгыргын	тайкы/гыргы/н
ынанмайӈычьын	ынан/майӈы/чьы/н
картина	карти/на
гэнӈивыԓин	гэ/нӈ/ивы/ԓин
ӄэвииръу	ӄэв/иир/ъу
стаԓинына	с/таԓи/ны/н/а
вэтыӄуным	вэты/ӄуным
ԓьооԓӄыԓ	ԓьо/о/ԓӄыԓ
коԓхозэты	коԓхоз/эты
нынныԓьэты	нынны/ԓь/эты
эвнэпичгычьэткэ	эвнэ/пичгы/чьэт/к/э
нитгъэн	н/ит/гъэ/н
корма	корм/а
ӈыроча	ӈыро/ча
кивыпԓыткук	кивы/пԓытку/к
аваӈӄытка	аваӈӄытка
ӈирэӄэв	ӈирэӄ/эв
гапэԓятԓен	га/пэԓя/т/ԓен
мэкына	мэкын/а
аӄайыԓыӈ	а/ӄай/ыԓы/ӈ
рыпаӈъэвӈытовыпԓыткок	ры/паӈъэв/ӈыто/вы/пԓытко/к
ыттъыт	ыттъы/т
какомэй	како/мэй
нъэнӄэтӄин	н/ъэнӄэт/ӄин
пыӈыԓтэԓык	пыӈыԓ/тэԓы/к
аккагты	акка/гты
ыԓгытомгэты	ыԓгытомг/эты
ԓёӈытва	ԓёӈы/тва
нинэнтыӄин	н/инэ/нты/ӄин
йынатыӈонэн	йын/атыӈо/нэ/н
кытъаткэ	кытъат/к/э
гынниӈӈыттыԓьын	гынниӈ/ӈытты/ԓьы/н
ныгтачьатӄэн	ны/гта/чьат/ӄэн
амрантанъымӈычвынӈа	ам/ранта/н/ъы/мӈычвы/н/ӈа
рырэсӄивэннин	рырэ/сӄив/эн/ни/н
раԓкогты	раԓко/гты
миӈкы	миӈ/кы
ныймэтваӄэн	ны/ймэтва/ӄэн
ӄуттиым	ӄут/ти/ым
тэгъеӈу	тэгъ/е/ӈу
