амаравкэваратэн	а/маравкэва/ра/тэн
йыӈэттэт	йыӈэт/тэ/т
ынӄорыым	ынӄор/ыым
ынӄорыым	ынӄор/ыым
аэродром	аэродр/ом
эвыр	эвыр
оттыраӄагтэ	оттыра/ӄаг/тэ
ыԓьыԓ	ы/ԓьы/ԓ
нэмыӄэй	нэмыӄэй
ӄынур	ӄынур
амаԓваӈ	ам/аԓва/ӈ
аэродромык	аэро/дро/мык
рымагты	рыма/гты
гытгын	гытгы/н
рымагты	рыма/гты
наӄам	наӄам
чит	чит
ыԓьыԓ	ы/ԓьы/ԓ
гатыԓгыӈӈоԓен	га/ты/ԓгы/ӈӈо/ԓен
гытгын	гытгы/н
энмэч	энмэч
уйӈэ	уйӈэ
эгиԓкэ	э/гиԓ/к/э
гэнъэтԓин	гэ/нъэт/ԓин
ԓюур	ԓюур
нэмэ	нэмэ
маччьачаӈатыӈогъэ	маччьачаӈ/аты/ӈо/гъ/э
энмэч	энмэч
ӈыронъыԓёк	ӈыронъыԓё/к
ԓёӈпаата	ԓёӈпаата
пиӈэтык	пиӈэты/к
ӄынур	ӄынур
нэмэ	нэмэ
ԓьэԓеӈръугъи	ԓьэԓеӈ/ръу/гъ/и
эквыргаым	эквы/р/гаым
гытгын	гытгы/н
ӄонпы	ӄонпы
гапааԓен	га/паа/ԓен
ӄитык	ӄ/иты/к
гатыԓгыӈӈоԓен	га/ты/ԓгы/ӈӈо/ԓен
гытгын	гытгы/н
энмэч	энмэч
уйӈэ	уйӈэ
эгиԓкэ	э/гиԓ/к/э
гэнъэтԓин	гэ/нъэт/ԓин
ԓюур	ԓюур
нэмэ	нэмэ
маччьачаӈатыӈогъэ	маччьачаӈ/аты/ӈо/гъ/э
энмэч	энмэч
ӈыронъыԓёк	ӈыронъыԓё/к
ԓёӈпаата	ԓёӈпаата
пиӈэтык	пиӈэты/к
ӄынур	ӄынур
нэмэ	нэмэ
ԓьэԓеӈръугъи	ԓьэԓеӈ/ръу/гъ/и
эквыргаым	эквы/р/гаым
гытгын	гытгы/н
ӄонпы	ӄонпы
гапааԓен	га/паа/ԓен
ӄитык	ӄ/иты/к
оравэтԓьат	оравэтԓьа/т
энмэч	энмэч
ытръэч	ытръэч
нымэйӈъэв	ны/мэйӈ/ъэв
нынныԓьык	нынны/ԓьы/к
панэна	панэн/а
ӄача	ӄача
ӈирэӄ	ӈирэӄ
оравэтԓьат	оравэтԓьа/т
риӈэнэӈэткуԓьын	риӈэн/эӈэтку/ԓьы/н
савин	са/вин
ынкъам	ынкъам
ыттъувги	ыттъув/ги
йыӈаё	йыӈ/аё
ынан	ынан
энмэч	энмэч
тэԓенъеп	тэԓенъ/еп
ваԓьын	ва/ԓьы/н
ыԓёӈэт	ыԓё/ӈэт
ынӄэн	ынӄэн
ытԓён	ытԓён
нивӄин	н/ив/ӄин
пэтԓе	пэтԓ/е
нэмэ	нэмэ
рэпиӈэръугъэ	рэпиӈэ/ръу/гъ/э
мэԓӄырым	мэԓӄырым
татԓыгнэн	тат/ԓыг/нэн
савинына	сави/ны/н/а
игыр	игыр
вэтыӄун	вэты/ӄун
мытрэриӈэгъэ	мыт/рэ/риӈэ/гъ/э
пэтԓе	пэтԓ/е
рэпиӈэръугъэ	рэпиӈэ/ръу/гъ/э
нымэйӈъэв	ны/мэйӈ/ъэв
нъэԓгъи	н/ъэԓ/гъ/и
эквыргаым	эквы/р/гаым
ынан	ынан
ԓыги	ԓыги
ыттъувги	ыттъув/ги
нэмэ	нэмэ
ынкъам	ынкъам
мэԓӄырым	мэԓӄырым
нымэйӈъэв	ны/мэйӈ/ъэв
киткит	кит/кит
мурык	муры/к
ваԓьын	ва/ԓьы/н
игыр	игыр
мытрэриӈэгъэ	мыт/рэ/риӈэ/гъэ
ытри	ытри
авъеткынка	авъе/ткын/к/а
ӄынур	ӄынур
амаԓваӈ	ам/аԓва/ӈ
ваԓьыт	ва/ԓьы/т
кыргычьыт	кыргы/чьы/т
ынкъам	ынкъам
ӄынур	ӄынур
выргыргэтыркын	выргыргэты/ркын
выргыргэтыркын	выргыргэты/ркын
ыттъувги	ик/въ/и
ынӄэн	ынӄэн
кытыйгын	кыты/йгы/н
ӄэйвэ	ӄэйвэ
кытыйгын	кыты/йгы/н
вэтгыры	вэтгыры
ыттъувги	ыттъув/ги
ынкъам	ынкъам
