numam	nu/mam
jumuchʼ	jumuchʼ
lajuj	lajuj
ujunabʼ	u/junabʼ
Nojel	Nojel
Tiʼx	Tiʼx
kuyuqʼuj	k/u/yuqʼuj
jelaʼ	jelaʼ
chirij	chi/r/ij
Tenaʼ	Tenaʼ
Kateʼbʼin	K/at/eʼ/bʼin
Entonses	Entonses
kʼwaʼ	kʼ/waʼ
pan	pan
kinchakun	k/in/chakun
chaqʼabʼ	chaqʼabʼ
kimbʼek	k/im/bʼe/k
xuchʼij	x/u/chʼij
xkanaj	x/kanaj
nimal	nimal
kujaluj	k/u/jaluj
xutzaq	x/u/tzaq
ukis	u/kis
kyaʼik	k/yaʼ/ik
kinbʼe	k/in/bʼe
awatzʼyaq	aw/atzʼyaq
Talom	Talom
uchiʼ	u/chiʼ
Xinpetik	X/in/pet/ik
xinwil	x/inw/il
Ajitz	Ajitz
Xep	Xep
Ketuʼn	K/e/tuʼn
Nutom	Nu/tom
Jaʼwilaʼ	J/aʼw/il/aʼ
xkiraq	x/ki/raq
saq	saq
Kinwilo	K/inw/il/o
ajiʼ	a/jiʼ
kaq	kaq
apalaj	a/palaj
ekikʼajol	e/ki/kʼajol
Kkamulix	K/kamulix
Kebʼ	Kebʼ
nubʼiʼ	nu/bʼiʼ
aqʼan	aqʼan
Talin	Talin
Xatalqilaʼ	X/at/al/q/il/aʼ
tzijom	tzijom
ukʼolbʼal	u/kʼolbʼal
kubʼij	k/u/bʼij
chike	chi/k/e
rajawaxik	rajawaxik
keqachajij	k/e/qa/chaji/j
utikoʼn	u/tikoʼn
wachiʼl	w/achiʼl
chanim	chanim
ekʼi	ekʼi
winaqibʼ	winaq/ibʼ
chʼabʼal	chʼabʼal
kʼicheʼ	kʼicheʼ
xuquje	xuquje
mosibʼ	mos/ibʼ
kaxlan	kaxlan
Latzʼ	Latzʼ
Lal	Lal
xintoʼwik	x/in/toʼ/w/ik
kutijo	k/u/tij/o
Jachin	Jachin
xatqʼalunik	x/at/qʼalu/n/ik
uxajabʼ	u/xajabʼ
Chi	Chi
relaqʼaxik	r/elaqʼa/x/ik
xeutaqchiʼj	x/e/u/taqchiʼ/j
Xatqʼajik	X/at/qʼaj/ik
Xutij	X/u/tij
xtzaq	x/tzaq
qʼaʼm	qʼaʼm
uxaq	u/xaq
tzʼunuj	tzʼunuj
Xqilo	X/q/il/o
kukʼam	k/u/kʼam
asosyasyon	asosyasyon
kakʼojiʼ	ka/kʼojiʼ
ixtutzʼ	ixtutzʼ
Naqaj	Naqaj
kintʼuyiʼ	k/in/tʼuyiʼ
jupulik	jupulik
xeqajik	x/e/qaj/ik
...	...
ktuqaʼrik	k/tuqaʼr/ik
xoqujeʼ	xoqujeʼ
kintuqaʼr	k/in/tuqaʼr
katintoʼo	k/at/in/toʼ/o
xaq	xaq
xu	xu
yoqʼoj	yoqʼoj
xbʼan	x/bʼan
wech	w/ech
kinutoʼ	k/in/u/toʼ
usukʼmaxik	u/sukʼma/x/ik
xunkur	xunkur
kkʼojiʼ	k/kʼojiʼ
triko	triko
Luʼs	Luʼs
waʼkatel	waʼkatel
xatkisikʼij	x/at/ki/sikʼi/j
Chsikʼa	Ch/sikʼ/a
muchuʼl	muchuʼl
sanik	sanik
qʼojom	qʼojom
qʼatzu	qʼatzu
qʼalaj	qʼalaj
uqʼijil	u/qʼijil
ij	ij
axux	axux
ukunel	u/kunel
Awas	Awas
kekʼul	k/e/kʼul
kabʼe	ka/bʼe
nuxbʼal	nu/xbʼal
Xrapap	X/rapap
palomax	palomax
Kaxlaʼn	Kaxlaʼn
xan	xan
wachoch	w/achoch
Chʼanal	Chʼanal
Pal	Pal
xuʼy	xuʼy
Xumaltyoxij	X/u/maltyoxi/j
xukʼut	x/u/kʼut
Woktzʼibʼabʼal	Woktzʼibʼabʼal
kuchajij	k/u/chajij
kupatanij	k/u/patanij
taqanik	taqanik
rachiʼl	r/achiʼl
chomanem	choman/em
ucholchak	u/cholchak
Jeʼlik	Jeʼl/ik
utiʼjolal	u/tiʼjolal
saqkoʼr	saqkoʼr
Xixqachʼabʼej	X/ix/qa/chʼabʼe/j
Xekiqʼil	X/e/ki/qʼil
ajchakibʼ	ajchak/ibʼ
xkiwok	x/ki/wok
kakibʼij	ka/ki/bʼij
Lemoʼ	Lemoʼ
ktoj	k/toj
xakunaj	x/a/kuna/j
atat	a/tat
xukʼam	x/u/kʼam
xawilo	x/aw/il/o
achalal	achalal
kiwach	ki/wach
Chawilaʼ	Ch/aw/il/aʼ
Meʼs	Meʼs
Kinwaʼik	K/in/waʼ/ik
kinyowaj	k/in/yowaj
Kintzukuj	K/in/tzuku/j
Wech	W/ech
kem	kem
Qʼalaj	Qʼalaj
melarsoprol	melarsoprol
kukunaj	k/u/kuna/j
kakoj	ka/koj
T.b.r.	T.b.r.
uchuqʼabʼ	u/chuqʼabʼ
kunabʼal	kunabʼal
atzʼiʼ	a/tzʼiʼ
chuwach	ch/u/wach
nutzʼiʼ	nu/tzʼiʼ
Jeʼl	Jeʼl
Kuʼ	Kuʼ
kʼaʼm	kʼaʼm
ulew	ulew
kabʼan	ka/bʼan
tijobʼal	tijobʼal
kkaʼy	k/kaʼy
akʼoj	a/kʼoj
Xatkowinik	X/at/kowin/ik
kinchakuj	k/in/chaku/j
Kamik	Kamik
katatajik	ka/ta/taj/ik
kqʼanarik	k/qʼanar/ik
wereʼaj	wereʼaj
Najil	Najil
siwan	siwan
kukʼan	k/ukʼan
sutzʼ	sutzʼ
kumatz	kumatz
Xinkosik	X/in/kos/ik
xinchakunik	x/in/chakun/ik
Qonojel	Q/onojel
Mayabʼ	Mayabʼ
kewaʼkat	k/e/waʼkat
alabʼom	alabʼom
qʼaxel	qʼaxel
ba	ba
xulik	x/ul/ik
katʼek	k/at/ʼek
Xojutaqchiʼj	X/oj/u/taqchiʼ/j
Xojutaqchiʼij	X/oj/u/taqchiʼi/j
xojwaʼik	x/oj/waʼ/ik
