iːlаkustə	iːlа/ku/s/tə
qwelalʼlʼе	qwela/lʼ/lʼе
paldʼukus	paldʼu/ku/s
paldʼülʼewlə	paldʼü/lʼewlə
nild	nild
miːtaŋ	miːta/ŋ
nʼanno	nʼanno
qal	qal
neldʼölčeːnǯaŋ	neldʼö/lčeː/nǯa/ŋ
tʼäraŋ	tʼära/ŋ
imasɨqəj	ima/sɨ/qəj
imaqəj	ima/qəj
qalɨmpɔːqəj	qalɨ/mpɔː/qəj
ijajantɨsa	ija/ja/ntɨ/sa
lɨpqɨmɔːtpa	lɨpqɨ/mɔːt/pa
oš	oš
ontɨn	ontɨn
melʼtɨ	melʼtɨ
čʼarɨqalɔːqɨ	čʼarɨ/qa/lɔːqɨ
ijamtɨ	ija/m/tɨ
orɨčʼčʼɨtɨ	orɨ/čʼ/čʼɨ/tɨ
təttantɨ	tətta/ntɨ
topɨti	topɨ/ti
qəə	qəə
loːqɨ	loːq/ɨ
tukɨrɨm	tukɨr/ɨ/m
neːjamtɨ	neː/ja/m/tɨ
sačʼčʼɨmɔːtpa	sačʼčʼɨmɔːt/pa
qälɨporɨ	qälɨ/porɨ
iraiːqɨntɨ	ira/iː/qɨn/tɨ
Loːsɨ	Loːsɨ
qajqo	qaj/qo
ɨra	ɨra
ijaiːntɨ	ija/iː/n/tɨ
olɨ	olɨ
mɔːtqɨn	mɔːt/qɨn
mɔːtqɨntɨ	mɔːt/qɨn/tɨ
ɛːppɨntɨ	ɛː/ppɨ/ntɨ
muntɨ	muntɨ
qontɨqɨjojimpa	qontɨ/qɨ/joji/mpa
olampa	olam/pa
meːltɨqam	meːltɨ/qam
*lipkɨqɨn	*lipkɨ/qɨn
šeːrɨ	šeːr/ɨ
qaqa	qaqa
qɨčʼčʼɨmɔːtpa	qɨčʼčʼɨ/mɔːt/pa
taštɨ	taštɨ
amɛntaɣ	am/ɛnta/ɣ
qoːranɛntak	qoːran/ɛnta/k
qɨčʼčʼɨmɔːlla	qɨčʼčʼɨ/mɔːl/la
torqɨ	torqɨ
qɔːlitɨ	qɔːli/tɨ
natqɨlɛlʼčʼɨn	nat/qɨl/ɛlʼčʼɨ/n
puːtantɨ	puːta/ntɨ
qontaja	qonta/ja
točʼčʼam	točʼčʼa/m
peːqolamnɨt	peː/q/olam/nɨ/t
paqqɨrɨt	paqqɨ/rɨ/t
paqqɨrɨntɨt	paqqɨ/rɨ/ntɨ/t
qɔːlɨjitɨ	qɔːlɨj/i/tɨ
naš	naš
qontɨtɨ	qontɨ/tɨ
əːtɨkɔːl	əːtɨ/kɔːl
tarlä	tar/lä
qənmɨntɨ	qən/mɨ/ntɨ
täpɨn	täp/ɨ/n
nɔːkɨr	nɔːkɨr
ɛːppa	ɛː/ppa
iːjeiːtɨ	iːje/iː/tɨ
koralɨmɨla	kora/lɨ/mɨ/la
qännɔːtɨn	qän/nɔː/tɨn
qaːla	qaːla
šitämteːlʼi	šitä/mteːlʼi
qai	qai
qəːntɨt	qəːntɨ/t
mantäjak	mantä/ja/k
loːqäčʼɛnta	loːq/äčʼɛnta
qontɨšeiŋa	qontɨ/š/ei/ŋa
čʼiːtɨ	čʼiːtɨ
nännɨ	nännɨ
patčʼirɛːŋɨt	pat/čʼir/ɛː/ŋɨ/t
kət	kət
tɛːttɨ	tɛːttɨ
ɨntaːlʼtɨ	ɨntaːlʼ/tɨ
meːŋɨt	meː/ŋɨ/t
tuːtäːsitɨ	tuːt/äː/si/tɨ
qəlʼlʼä	qəlʼ/lʼä
šiːlat	šiːla/t
imaqotamtɨ	imaqota/m/tɨ
sʼilat	sʼila/t
qənnäja	qən/nä/ja
čʼeːlʼa	čʼeːlʼa
qarɨnɨlʼ	qarɨ/n/ɨ/lʼ
poqɨt	po/qɨt
mantäjap	mantä/ja/p
qəːš	qəːš
ɛːsa	ɛː/sa
poqɨnä	po/qɨnä
qontɨšein	qontɨ/š/ei/n
omtɨčʼeːsa	omtɨ/čʼeː/sa
puːlʼɨmtɨ	puːlʼɨ/m/tɨ
patqɨlʼɛːŋɨtɨ	patqɨlʼ/ɛː/ŋɨ/tɨ
čʼoqqolʼɛːŋɨtɨ	čʼoqqo/lʼ/ɛː/ŋɨ/tɨ
nassa	nassa
iːjalʼɨ	iːja/lʼɨ
ɛːmme	ɛː/mme
čʼaŋkɨmä	čʼaŋkɨ/mä
kətɨsɨt	kətɨ/sɨ/t
amɨrɛːlʼa	am/ɨ/r/ɛː/lʼa
lʼosät	lʼosä/t
ši	ši
*qənɨtɨ	*qənɨ/tɨ
üːtɨt	üːtɨ/t
lɨpqɨmɔːnna	lɨpqɨ/mɔːn/na
ijatä	ija/tä
ijatə	ija/tə
amɨrlʼä	am/ɨ/r/lʼä
qəssɨlɨt	qəs/sɨ/lɨt
warqɨnta	warqɨ/nta
qontɨšɛːnta	qontɨ/š/ɛː/nta
pisɨrɨmpa	pisɨ/rɨ/mpa
čʼiqɨlʼtɛːlʼä	čʼiqɨlʼ/t/ɛː/lʼä
puːlɨmtɨ	puːlɨ/m/tɨ
kətɨ	kətɨ
čʼeːlʼtätɨlʼ	čʼeːlʼtätɨlʼ
lımpɨt	lımpɨ/t
nasä	na/sä
seːpɨrɨptäqɨntɨ	seːpɨ/rɨ/ptä/qɨn/tɨ
ortä	or/tä
šip	šip
nı	nı
šäkka	šäkka
taqtaltɨlʼä	taqt/altɨ/lʼä
nʼöːlʼä	nʼöː/lʼä
šittalʼ	šit/talʼ
poːs	poːs
tüːŋa	tüː/ŋa
peːmɨtɨ	peːmɨ/tɨ
tüːnta	tüː/nta
mantɨrnak	mantɨ/r/na/k
qontɨšɛːŋa	qontɨ/š/ɛː/ŋa
loːqɨrɛːŋɨtɨ	loːq/ɨ/r/ɛː/ŋɨ/tɨ
silata	sila/ta
čʼäŋɨmmä	čʼäŋɨ/mmä
mäšintɨ	mäši/ntɨ
omtɨsa	omtɨ/sa
pačʼirɛːlʼa	pačʼi/r/ɛː/lʼa
tišä	tišä
patqɨlɛːlʼa	patqɨl/ɛː/lʼa
ɛːtɨlʼ	ɛːtɨ/lʼ
pɛlʼäktɨ	pɛlʼäk/tɨ
tɨšemtɨ	tɨše/m/tɨ
lʼos	lʼos
iːja	iːja
nʼöːntɨt	nʼöː/ntɨ/t
surɨt	surɨ/t
nɨnä	nɨnä
tɨmnʼäqım	tɨmnʼä/qı/m
šäqɨmpɔːtɨt	šäqɨ/mpɔː/tɨt
tülʼčʼa	tü/lʼčʼa
tiːtäkat	tiːtäka/t
šäkɨmpɔːtɨt	šäkɨ/mpɔː/tɨt
šäːkɨmpɔːtɨt	šäːkɨ/mpɔː/tɨt
tɨmnʼaqımɨ	tɨmnʼa/qı/mɨ
tolʼčʼilʼ	tolʼčʼi/lʼ
sɨrɨ	sɨrɨ
iːmpatɨ	iː/mpa/tɨ
toːpɨt	toːpɨ/t
qotta	qotta
čʼarɨ	čʼarɨ
täqɨmpɔːtɨt	täqɨ/mpɔː/tɨt
pitčʼet	pitčʼe/t
ammäit	amm/äi/t
amnɨtɨ	am/nɨ/tɨ
təːka	təːka
munɨmtɨ	munɨ/m/tɨ
qɔːtɨ	qɔːtɨ
tutɔːlnet	tut/ɔːl/ne/t
qalap	qala/p
ammeit	amm/ei/t
šutɨlʼ	šutɨ/lʼ
ontɨkine	ontɨ/kine
lətɨ	lə/tɨ
iːjanɨk	iːja/nɨk
kumɨlʼ	kumɨ/lʼ
sɔːntɨŋɨtɨ	sɔːntɨ/ŋɨ/tɨ
čʼatɨŋɨt	čʼatɨ/ŋɨ/t
maːkqɨp	maːkqɨ/p
iralʼ	ira/lʼ
tıːmonɨ	tıːmo/nɨ
qənɨŋnɨ	qənɨŋ/nɨ
