амаравкэваратэн	а/маравкэва/ра/тэн
таа’койӈын	таа/’ко/йӈы/н
йъйыӄык	йъйыӄы/к
ныӄэԓпэратӄэн	ны/ӄэԓпэр/ат/ӄэн
вытэчгытрыӄэргыԓьын	вытэч/гытры/ӄэргы/ԓьы/н
йыӈэттэт	йыӈэт/тэ/т
мыкыӈ	мык/ы/ӈ
нывытрэтӄин	ны/вытрэт/ӄин
чеԓгатвытрыԓьо	чеԓг/ат/вытры/ԓь/о
ынӄорыым	ынӄор/ыым
вытэчгытрыԓьо	вытэч/гытры/ԓь/о
ынӄорыым	ынӄор/ыым
ныӄэргавыӈоӄэн	ны/ӄэргав/ыӈо/ӄэн
нычеԓгъав	ны/чеԓ/гъа/в
ыԓьыԓе	ы/ԓьы/ԓе
ыннаны	ыннаны
гэнниӈэвԓин	гэ/нн/иӈэв/ԓин
аэродром	аэродр/ом
эԓгыкъаԓейпыгъат	эԓгы/къаԓе/йпы/гъа/т
пыԓвынтымытӄыёчгыт	пыԓвынты/мытӄы/ёчгы/т
эвыр	эвыр
оттыраӄагтэ	оттыра/ӄаг/тэ
ыԓьыԓ	ы/ԓьы/ԓ
нэмыӄэй	нэмыӄэй
ӄынур	ӄынур
амаԓваӈ	ам/аԓва/ӈ
нынъэԓӄин	ны/нъэԓ/ӄин
нычеԓгатӄэн	ны/чеԓг/ат/ӄэн
нывытэчгытратӄэн	ны/вытэч/гытра/т/ӄэн
аэродромык	аэро/дро/мык
рымагты	рыма/гты
нувпэраӄэн	н/увпэра/ӄэн
гытгын	гытгы/н
пытӄы	пытӄы
рымагты	рыма/гты
нывытрэтӄинэт	ны/вытрэт/ӄинэ/т
маёԓгыт	маё/ԓгыт
ынӈытэӄ	ынӈы/тэӄ
наӄам	наӄам
чит	чит
гакыткытръоԓен	га/кыткыт/ръо/ԓен
маёԓгэпы	маё/ԓг/эпы
гапыԓьыԓьатыӈоԓенат	га/пыԓьы/ԓь/аты/ӈо/ԓена/т
вээмӄэгти	вээм/ӄэг/ти
ыԓьыԓ	ы/ԓьы/ԓ
гатыԓгыӈӈоԓен	га/ты/ԓгы/ӈӈо/ԓен
гытгын	гытгы/н
энмэч	энмэч
уйӈэ	уйӈэ
эгиԓкэ	э/гиԓ/к/э
гэнъэтԓин	гэ/нъэт/ԓин
ԓюур	ԓюур
нэмэ	нэмэ
маччьачаӈатыӈогъэ	маччьачаӈ/аты/ӈо/гъ/э
энмэч	энмэч
ӈыронъыԓёк	ӈыронъыԓё/к
ԓёӈпаата	ԓёӈпаата
пиӈэтык	пиӈэты/к
ӄынур	ӄынур
нэмэ	нэмэ
ԓьэԓеӈръугъи	ԓьэԓеӈ/ръу/гъ/и
эквыргаым	эквы/р/гаым
гытгын	гытгы/н
ӄонпы	ӄонпы
гапааԓен	га/паа/ԓен
ӄитык	ӄ/иты/к
гатыԓгыӈӈоԓен	га/ты/ԓгы/ӈӈо/ԓен
гытгын	гытгы/н
энмэч	энмэч
уйӈэ	уйӈэ
эгиԓкэ	э/гиԓ/к/э
гэнъэтԓин	гэ/нъэт/ԓин
ԓюур	ԓюур
нэмэ	нэмэ
маччьачаӈатыӈогъэ	маччьачаӈ/аты/ӈо/гъ/э
энмэч	энмэч
ӈыронъыԓёк	ӈыронъыԓё/к
ԓёӈпаата	ԓёӈпаата
пиӈэтык	пиӈэты/к
ӄынур	ӄынур
нэмэ	нэмэ
ԓьэԓеӈръугъи	ԓьэԓеӈ/ръу/гъ/и
эквыргаым	эквы/р/гаым
гытгын	гытгы/н
ӄонпы	ӄонпы
гапааԓен	га/паа/ԓен
ӄитык	ӄ/иты/к
гамгаярак	га/мга/яра/к
оравэтԓьат	оравэтԓьа/т
энмэч	энмэч
гэйыԓӄэтԓинэт	гэ/йыԓӄ/эт/ԓинэ/т
ытръэч	ытръэч
ыннанрак	ынна/н/ра/к
нымэйӈъэв	ны/мэйӈ/ъэв
нынныԓьык	нынны/ԓьы/к
аэровокзаԓык	аэрово/кза/ԓы/к
панэна	панэн/а
нынԓетӄин	ны/н/ԓет/ӄин
ээк	ээ/к
тытԓык	тытԓы/к
ӄача	ӄача
нытвэтчатваӄэнат	ны/твэтча/тва/ӄэна/т
ӈирэӄ	ӈирэӄ
оравэтԓьат	оравэтԓьа/т
риӈэнэӈэткуԓьын	риӈэн/эӈэтку/ԓьы/н
савин	са/вин
ынкъам	ынкъам
ыттъувги	ыттъув/ги
йыӈаё	йыӈ/аё
ынан	ынан
энмэч	энмэч
тэԓенъеп	тэԓенъ/еп
нэнъатчаӄэн	н/эн/ъатча/ӄэн
танрэӈаӈ	танрэ/ӈа/ӈ
ваԓьын	ва/ԓьы/н
ыԓёӈэт	ыԓё/ӈэт
ынӄэн	ынӄэн
мэсӄупӄыԓьын	мэс/ӄупӄы/ԓьы/н
ԓыгъоравэтԓьан	ԓыг/ъоравэтԓьа/н
ӄорагынрэтавэръыԓьын	ӄора/гынрэт/авэръы/ԓьы/н
ытԓён	ытԓён
нивӄин	н/ив/ӄин
пэтԓе	пэтԓ/е
нэмэ	нэмэ
рэпиӈэръугъэ	рэпиӈэ/ръу/гъ/э
мэԓӄырым	мэԓӄырым
татԓыгнэн	тат/ԓыг/нэн
савинына	сави/ны/н/а
игыр	игыр
вэтыӄун	вэты/ӄун
мытрэриӈэгъэ	мыт/рэ/риӈэ/гъ/э
пэтԓе	пэтԓ/е
рэпиӈэръугъэ	рэпиӈэ/ръу/гъ/э
нымэйӈъэв	ны/мэйӈ/ъэв
нъэԓгъи	н/ъэԓ/гъ/и
эквыргаым	эквы/р/гаым
ынан	ынан
ԓыги	ԓыги
ӄорагынрэтыԓьыт	ӄора/гынрэты/ԓьы/т
мачванэван	мачванэван
ныԓганэнат	ны/ԓга/нэна/т
ӈаргынэнатватык	ӈаргы/н/эна/тва/тык
ыттъувги	ыттъув/ги
нэмэ	нэмэ
ԓыԓепыткугъи	ԓыԓе/пытку/гъ/и
гыргоԓягты	гыргоԓя/гты
ынкъам	ынкъам
татԓыӈыткогъэ	тат/ԓыӈы/тко/гъ/э
мэԓӄырым	мэԓӄырым
нымэйӈъэв	ны/мэйӈ/ъэв
ныпиӈэръугъэн	ны/пиӈэ/ръу/гъэ/н
киткит	кит/кит
пиӈэпиӈ	пиӈэ/пиӈ
мурык	муры/к
айыԓгыкэгты	айыԓ/гы/кэ/гты
ваԓьын	ва/ԓьы/н
вэнԓыги	вэнԓыги
игыр	игыр
мытрэриӈэгъэ	мыт/рэ/риӈэ/гъэ
мачоратвагъат	мачора/тва/гъа/т
ытри	ытри
авъеткынка	авъе/ткын/к/а
вэтчатвак	вэтча/тва/к
гэтама	гэ/та/ма
таӈпэрайыӈаттат	таӈ/пэра/йыӈ/атта/т
ӄынур	ӄынур
амаԓваӈ	ам/аԓва/ӈ
ваԓьыт	ва/ԓьы/т
кыргычьыт	кыргы/чьы/т
ныймэтваӄэнат	ны/ймэтва/ӄэна/т
йъык	йъы/к
ынкъам	ынкъам
ыргин	ыргин
выргыргын	выргыргы/н
ӄынур	ӄынур
нэрэтӄин	нэ/рэт/ӄин
гыргоԓяйпы	гыргоԓя/йпы
нотасӄэты	нота/сӄ/эты
выргыргэтыркын	выргыргэты/ркын
иквъи	
ыттъувги	ик/въ/и
ынӄэн	ынӄэн
кытыйгын	кыты/йгы/н
выяԓятыркын	выяԓя/ты/ркын
ӄэйвэ	ӄэйвэ
кытыйгын	кыты/йгы/н
вэтгыры	вэтгыры
вагъэ	ва/гъ/э
ыттъувги	ыттъув/ги
ынкъам	ынкъам
танӈыткогты	танӈы/тко/гты
иквъи	ик/въ/и
мурык	муры/к
тэԓенъеп	тэԓенъ/еп
нивӄинэт	н/ив/ӄинэ/т
гым	гым
еп	еп
ӈинӄэю	ӈин/ӄэю
вама	ва/ма
ыныкит	ыны/кит
эвыр	эвыр
нымэйӈъэв	ны/мэйӈ/ъэв
выёпчак	выёпча/к
ӈирэнрыԓгэ	ӈирэ/нры/ԓгэ
гынан	гынан
ԓыги	ԓыги
эквыргаым	эквы/р/гаым
ынкы	ын/кы
мури	мури
еп	еп
ныппыԓюмури	ны/ппыԓю/мури
пэтԓе	пэтԓ/е
аԓваӈ	аԓва/ӈ
рэнъэԓгъэ	рэнъэԓ/гъ/э
эквыргаым	эквы/р/гаым
ынкы	ын/кы
мури	мури
еп	еп
ныппыԓюмури	ны/ппыԓю/мури
игырым	игырым
игыр	игыр
ӄырым	ӄырым
татԓыӈыткогъэ	
ыттъувги	тат/ԓыӈы/тко/гъ/э
ӈаргынэн	ыттъув/ги
тэӈэвыргыргыкэ	ӈаргы/нэн
нытваӄэн	тэӈ/эвыргыргы/к/э
тэӈэнвыргыргэвкэ	ны/тва/ӄэн
вама	тэӈ/энвыргыргэв/к/э
нывэтгавӄэн	
савин	ны/вэтгав/ӄэн
ӄынур	са/вин
таӈымыԓьо	ӄынур
амаԓваӈ	таӈ/ымыԓьо
нъэԓыркын	ам/аԓва/ӈ
ӄынур	н/ъэԓы/ркын
ԓымӈэ	ӄынур
ымнутэйиквик	ԓым/ӈэ
игыр	ымнут/эйикви/к
таӈымыԓьо	игыр
йыԓӄэтыркыт	таӈ/ымыԓьо
ӄынур	йыԓӄ/эты/ркы/т
ымнутэйиквик	ӄынур
тэӈуйӈэ	ымнут/эйикви/к
имыръэнут	тэӈ/уйӈэ
ытръэч	имы/ръэнут
ӄынур	ӄынур
амыргынан	амыргы/нан
ӈотӄэнат	ӈот/ӄэна/т
оттыраӄагтэ	оттыра/ӄаг/тэ
эвыр	эвыр
ыԓьыԓти	ы/ԓьы/ԓ/ти
ынкъам	ынкъам
йыӈэттэт	йыӈэт/тэ/т
эквыргаым	эк/выргаым
еп	еп
эпԓыткукэ	эпԓытку/к/э
савинына	сави/ны/н/а
чиниткин	чинит/кин
вэтгав	вэтгав
ԓюур	ԓюур
мэӈӄо	мэӈ/ӄо
наваԓёмгъан	на/ваԓём/гъа/н
ыттъин	ытт/ъин
тавтав	тавт/ав
апԓёратвака	апԓёра/тва/к/а
маёԓгыеквэ	маё/ԓгы/еквэ
вытрэтгъи	вытрэт/гъ/и
магԓяԓьын	магԓяԓьы/н
ынӄоры	ынӄоры
тагратыӈогъэ	тагр/аты/ӈо/гъ/э
ынан	ынан
гыроԓмакы	гыро/ԓмакы
танэн	та/нэ/н
гытгын	гытгы/н
вэтгыры	вэтгыры
чывинин	ч/ыви/ни/н
аэродром	аэродр/ом
ынкъам	ынкъам
чекавэтываӄ	чекав/эты/ваӄ
нывиԓгъи	ны/виԓ/гъ/и
орааканԓятыԓьык	орааканԓяты/ԓьы/к
ярак	яра/к
ӄача	ӄача
ынӄоры	ынӄоры
торваԓёма	торваԓё/ма
ыттъин	ытт/ъин
тавтав	тавт/ав
ӈытоӈӈогъат	ӈыто/ӈӈо/гъа/т
оравэтԓьат	оравэтԓьа/т
ягнанво	ягна/н/во
вуԓӄытвипыкитԓьэт	вуԓӄы/тви/пы/кит/ԓьэт
рэмкыԓьыт	рэмкы/ԓьы/т
ыргынан	ыргы/нан
накамԓеԓтагъан	накам/ԓеԓта/гъа/н
ынин	ын/ин
оргоор	оргоор
орвэпы	орв/эпы
ӄутгъи	ӄут/гъ/и
эквынпыначгын	эквы/нпыначгы/н
ытԓён	ытԓён
ӄынур	ӄынур
коԓё	коԓё
мэпэӈъивэтыԓьын	мэпэӈ/ъив/эты/ԓьы/н
ԓеԓют	ԓеԓют
риԓвыт	риԓвыт
ынкъам	ынкъам
ԓыԓяргыт	ԓыԓя/ргы/т
ынин	ын/ин
гъаӈойпыԓенат	г/ъа/ӈ/ойпы/ԓена/т
ытԓён	ытԓён
ӄъэԓитвыгъи	ӄ/ъэԓи/твы/гъ/и
ынкъам	ынкъам
ынкы	ын/кы
