accompanied ac/compani/ed
accompaniment ac/compani/ment
acknowledging ac/knowledg/ing
acquisition acquis/ition
acquisitions' acquis/ition/s/'
acupuncture acupuncture
acupuncture's acupuncture/'s
adjudged ad/judg/ed
advantageously advant/age/ous/ly
afire a/fire
ageing age/ing
agelessness age/less/ness
airlocks air/lock/s
airspeed air/speed
algeria algeria
algerians algeri/an/s
alter alter
alters alter/s
alumni's alumni/'s
alumnus' alumnus/'
antimatter	anti/matter
anyhow	any/how
anyplace	any/place
apartment's	a/part/ment/'s
archaism	archa/ism
archaisms	archa/ism/s
archdeacons	arch/deacon/s
archetypal	archetyp/al
archetype	archetype
archimandrite's	archimandrite/'s
arrangements	arrange/ment/s
astronomers'	astr/onom/er/s/'
aureola	aureola
backpedal	back/pedal
badly-off	bad/ly/-/off
badness	bad/ness
ballets	ballet/s
ballets'	ballet/s/'
bane	bane
bane's	bane/'s
batiste	batiste
batiste's	batiste/'s
batsmen	bat/s/men
beachhead	beach/head
beachwear	beach/wear
bedsore	bed/sore
bequeath	bequeath
bequeathed	bequeath/ed
berthing	berth/ing
berths	berth/s
best-looking	best/-/looking
bestir	be/stir
bethel	bethel
bethel's	bethel/'s
betrayal	betray/al
betrays	betray/s
billies	billi/es
billies'	billi/es/'
bipartite	bi/part/ite
blinder's	blind/er/'s
bluster's	bluster/'s
blusterer	bluster/er
bookshop's	book/shop/'s
bootlace	boot/lace
boundaries	bound/ari/es
bounteously	bount/eous/ly
bountiful	bounti/ful
bread-and-butter	bread-and-butter
bribery	brib/ery
bribes'	bribe/s/'
brushes	brush/es
brushes'	brush/es/'
brushwood	brush/wood
buckled	buckl/ed
buckles'	buckle/s/'
bypassing	by/pass/ing
cacao	cacao
cankered	canker/ed
cankers	canker/s
capitulating	capitulat/ing
capsicum	capsicum
capsicums	capsicum/s
carded	card/ed
cashiers	cash/ier/s
caucuses	caucus/es
cauliflower's	cauliflower/'s
cauliflowers	cauliflower/s
cent	cent
centenarians	centenari/an/s
centralized	centr/al/iz/ed
centrals	centr/al/s
cents'	cent/s/'
challenged	challeng/ed
challenger's	challeng/er/'s
chart's	chart/'s
cheeks'	cheek/s/'
cheeky	cheek/y
chlorinates	chlorin/ate/s
chlorine	chlorine
chocolates	chocolate/s
choice	choice
choicest	choic/est
choked	chok/ed
chokes	choke/s
chronic	chronic
chronically	chronic/ally
classless	class/less
clean-living	clean/-/living
cliched	clich/ed
cliches	cliche/s
clotheshorse	clothes/horse
coach	coach
coddle	coddle
coffee	coffee
coffees	coffee/s
cognac	cognac
cognac's	cognac/'s
coinage	coin/age
coinages	coin/age/s
collectivization	collect/iv/iz/ation
combust	combust
combustible	combust/ible
conclusive	conclus/ive
concurrences	concurr/ence/s
concurs	concur/s
consul's	consul/'s
continental's	contin/ent/al/'s
copilot	co/pilot
coreligionists	co/religion/ist/s
coterie	coterie
coteries	coterie/s
countrified	countr/ifi/ed
cover	cover
coxswain	coxswain
coxswain's	coxswain/'s
crikey	crikey
cross-country	cross/-/country
cross-talk	cross/-/talk
crudities	crud/iti/es
curatorship	curator/ship
curatorships	curator/ship/s
cusp	cusp
cusps	cusp/s
dangle	dangle
dangles	dangle/s
deacon's	deacon/'s
defections	defect/ion/s
defectors	defect/or/s
defrosters	de/frost/er/s
denuding	de/nud/ing
derogate	derogate
derogating	derogat/ing
describe	describe
dices	dice/s
diciest	dic/i/est
dictatorial	dictat/or/ial
dictators'	dictat/or/s/'
dinner-service	dinn/er/-/serv/ice
disagrees	dis/agree/s
discipline	discipline
disciplined	disciplin/ed
discovery's	dis/cov/ery/'s
displace	dis/place
disproportionately	dis/proportion/ate/ly
disregarded	dis/regard/ed
disregarding	dis/regard/ing
disservice	dis/serv/ice
dissimilar	dis/similar
distasteful	dis/taste/ful
distiller	distill/er
distilling	distill/ing
do-gooders	do/-/good/er/s
donates	donate/s
donation	donat/ion
double-basses	double/-/bass/es
doubled	doubl/ed
dreamier	dream/i/er
duvet's	duvet/'s
duvets	duvet/s
earthbound	earth/bound
earthiness'	earth/i/ness/'
eating-place	eating/-/place
ecologist	ec/olog/ist
elder	elder
elderberries	elder/berri/es
embalmer	em/balm/er
embeds	em/bed/s
embellishing	embellish/ing
entreating	entreat/ing
entreaty	entreat/y
expletive	expletive
expletives	expletive/s
explorations	explor/ation/s
exploratory	explor/at/ory
extemporaneously	ex/temporan/eous/ly
extensions	extens/ion/s
extensiveness	extens/ive/ness
facet	facet
facet's	facet/'s
falsehoods'	false/hood/s/'
fame	fame
faults	fault/s
fauna	fauna
felicitous	felicit/ous
fickle	fickle
fickleness	fickle/ness
fin	fin
fins	fin/s
fistula	fistula
fistulas	fistula/s
flabbergasting	flabbergast/ing
flabbergasts	flabbergast/s
flat-footed	flat/-/foot/ed
flattops	flat/top/s
flowchart	flow/chart
folk-dance	folk/-/dance
folklore	folk/lore
follow-on	follow/-/on
foot-faulting	foot/-/fault/ing
footage	foot/age
forbidden	forbidden
forbidding	forbidd/ing
ford's	ford/'s
fords	ford/s
foresaw	fore/saw
foresees	fore/see/s
fortnight	for/t/night
fortnights	for/t/night/s
forward	forward
forward-looking	forward/-/looking
forwarded	forward/ed
fountain's	fountain/'s
fountains'	fountain/s/'
fourpenny	four/penny
freaking	freak/ing
freaks'	freak/s/'
fresher	fresh/er
funded	fund/ed
funds	fund/s
funds'	fund/s/'
furred	furr/ed
furrier	furr/i/er
furrier's	furr/ier/'s
gaiter's	gaiter/'s
gaiters'	gaiter/s/'
gawp	gawp
gawping	gawp/ing
gibbon	gibbon
gibbons'	gibbon/s/'
gibraltarian	gibraltar/ian
gibraltarians	gibraltar/ian/s
gipsies	gipsi/es
gipsies'	gipsi/es/'
gladdens	gladd/en/s
gladly	glad/ly
gladness	glad/ness
goo	goo
goo's	goo/'s
graduates'	graduate/s/'
graspingly	grasping/ly
grocer's	grocer/'s
grocers	grocer/s
guardians	guard/ian/s
gumboot	gum/boot
gumshoe's	gum/shoe/'s
halt	halt
halt's	halt/'s
ham	ham
hammed	hamm/ed
hamstrings	ham/string/s
hardest-hearted	hardest/-/heart/ed
hardware's	hard/ware/'s
hatcheries	hatch/eri/es
have-nots	have/-/not/s
having	hav/ing
heeding	heed/ing
heedlessly	heed/less/ly
holograph	holograph
holographs	holograph/s
honduras	honduras
honduras'	honduras/'
horseshoe	horse/shoe
hotfoot	hot/foot
hothouse	hot/house
houses	house/s
hurricane's	hurricane/'s
hurricanes'	hurricane/s/'
illness's	ill/ness/'s
importer	import/er
importers'	import/er/s/'
imports	import/s
inanities	inan/iti/es
inanity	inan/ity
indescribable	in/describ/able
industrial	industri/al
industry	industry
infamies	infami/es
infamous	in/fam/ous
infelicitous	in/felicit/ous
influencing	influenc/ing
influentially	influent/ial/ly
insensitivity	in/sensitiv/ity
intensely	in/tense/ly
internationalists'	inter/nation/al/ist/s/'
ironic	iron/ic
