aatteilla	aatte/i/lla
adoptioilta	adoptio/i/lta
adoptiotyttärensä	adoptio/tyttäre/nsä
afaatikoilla	afaatiko/i/lla
ahdistetun	ahdiste/tu/n
aikuisväestöstä	aikuis/väestö/stä
ainekseltaan	ainekse/lta/an
ainuttakaan	ainut/ta/kaan
ajoilta	ajo/i/lta
ajojen	ajo/j/en
ajosuuntaa	ajo/suunta/a
akrobaattiset	akrobaatt/ise/t
alalajia	ala/laji/a
alamaisiksi	ala/mais/i/ksi
alamäkivauhtiaan	ala/mäki/vauhti/a/an
alen	ale/n
alkusyksyisin	alku/syksyis/i/n
alkuvoimaisten	alku/voi/mais/t/en
allergisuus	allergis/uus
aluehälytyskeskukselle	alue/hälyt/ys/keskukse/lle
alusvaate	alus/vaate
amatööriseura	amatööri/seura
ambulanssia	ambulanssi/a
ammattinukketeatteria	ammatti/nukke/teatteri/a
antikvariaattinsa	antikvariaatti/nsa
arabiemiirikunnissa	arabi/emiiri/kunn/i/ssa
arkityylissä	arki/tyyli/ssä
artosta	arto/sta
arvoasetelman	arvo/asetelma/n
arvomerkkinsä	arvo/merkki/nsä
arvosanojensa	arvo/sano/j/e/nsa
arvovaltansakin	arvo/valta/nsa/kin
asemakaava-aluetta	ase/makaa/va/-/aluet/ta
aseteltaessa	aset/el/ta/e/ssa
asettajista	asetta/j/i/sta
asettamastaan	asetta/ma/sta/an
asianosaisena	asia/n/osaise/na
asukaskokouksessa	asukas/kokoukse/ssa
asuntokortteleita	asunto/korttele/i/ta
asuntoluototuksessa	asunto/luotot/ukse/ssa
asuttamamme	asu/tta/ma/mme
aurausta	aura/us/ta
aurinkotyttö-kisa	aurinko/tyttö/-/kisa
autokauppiaalle	auto/kauppiaa/lle
avaamasta	avaa/ma/sta
avaintermejä	avain/terme/j/ä
avantgardistit	avantgardisti/t
avausraita	ava/us/raita
avuntarjouksen	avu/n/tarjoukse/n
avustajakoiran	avusta/ja/koira/n
ballistisia	ballist/is/i/a
beetakaroteenilla	beeta/karoteeni/lla
berberiä	berberi/ä
bratislavan-suurlähettiläs	bratislava/n/-/suur/lähettiläs
bryssel	bryssel
budjettiluonnoksessa	budjetti/luonnokse/ssa
budjettiriihistä	budjetti/riih/i/stä
budjettivaroista	budjetti/varo/i/sta
daniel	daniel
dealer	dealer
delegaationsa	delegaatio/nsa
demarilähteiden	demari/lähte/i/den
dollarinippua	dollari/nippu/a
dortmundissa	dortmundi/ssa
dx-kuuntelija	dx/-/kuunteli/ja
edellytettyjen	edellyte/tty/j/en
eduskuntaryhmän	edus/kunta/ryhmä/n
edustajanaan	edu/sta/jana/an
efedriinin	efedriini/n
ei-kielellisiä	ei/-/kiele/llis/i/ä
ei-toivottavaan	ei/-/toivo/tta/va/an
eilat	eila/t
ekblomin	ekblomi/n
eksotiikkaakin	eksotiikka/a/kin
eleensä	elee/nsä
elementtityö	elementti/työ
eliölajeille	eliö/laje/i/lle
elokuvarahasto	elo/kuva/rahasto
elvis	elvis
elvyttävistä	elvy/ttä/v/i/stä
elämänkertoja	elä/mä/n/kerto/j/a
elämänkäsitykseen	elä/mä/n/käsitykse/en
elämöineet	elämöi/nee/t
emäkiinteistön	emä/kiinteistö/n
energiantuottajana	energia/n/tuotta/ja/na
ennakkoveikkailut	ennakko/veikka/il/u/t
ennakkovoitelua	ennakko/voitel/u/a
