CIkamIyorum	CIk/amIyor/um
CIkarImlar	CIkar/Im/lar
CIkarmasIydI	CIkar/ma/sI/ydI
CIkartIlmak	CIkar/t/Il/mak
CalISIyorsunuz	Cal/IS/Iyor/sunuz
CalIStIrdIklarI	CalIS/tIr/dIk/lar/I
CaldIlar	Cal/dI/lar
CarpItmaya	CarpIt/ma/ya
CarpIttIGInI	CarpIt/tIG/I/nI
Carparlar	Carp/ar/lar
CarpmasInIn	Carp/ma/sI/nIn
CekiSir	Cek/iS/ir
Cekilelim	Ceki/le/l/im
Cekmeyebilir	Cek/me/yebil/ir
Cizgim	Ciz/gim
Cizgisindeki	Ciz/gi/si/nde/ki
IsInIrken	IsIn/Ir/ken
IsInabilirim	IsIn/abil/ir/im
OGrencide	OGrenci/de
OGrencilerimmiSsiniz	OGrenci/ler/im/miS/siniz
OGretmemiS	OGret/me/miS
Odentilerin	Odenti/ler/in
Odentilerinin	Odenti/ler/in/in
Odeyemezler	Ode/yeme/zler
Onemsemeli	Onemse/meli
Onemsemeliyiz	Onemse/me/li/yiz
Onlemidir	Onlem/i/dir
Onlemlerde	Onlem/ler/de
Onlemlerden	Onlem/ler/den
Onlemlerinin	Onlem/ler/in/in
OrgUtlUlUGUn	OrgUt/lU/lUG/Un
OrgUtlenerek	OrgUt/len/erek
OrgUtlenmelere	OrgUt/len/me/ler/e
Oylesin	Oyle/sin
Ozetle	Ozet/le
OzetlediGimiz	Ozet/le/diG/imiz
Ozetleyebilirim	Ozet/le/yebil/ir/im
SUphelenildiGinde	SUphe/len/il/diG/in/de
SUphelenmek	SUphe/len/mek
Sairlerinden	Sair/ler/i/nden
SairliGe	Sair/liG/e
Sekillendiricisi	Sekil/len/dir/ici/si
Sekillendirilmesi	Sekil/len/dir/il/me/si
Sekillenmesi	Sekil/len/me/si
Seklinden	Sekl/i/nden
SirketleSmiS	Sirket/leS/miS
UCUncUler	UCUncU/ler
UCUncUsUnUn	UCUncU/sU/nUn
Ucretimi	Ucret/im/i
Ucretini	Ucret/i/ni
Ucretlendirilmelidir	Ucret/len/dir/il/me/li/dir
UnUne	Un/U/ne
UniformasIndaki	Uniforma/sI/nda/ki
Universitelerin	Universite/ler/in
Universitenizi	Universite/niz/i
UnlenmiS	Un/len/miS
UnlenmiStir	Un/len/miS/tir
UrUndeki	UrUn/de/ki
UrUnlerimizden	UrUn/ler/imiz/den
UrUnleriniz	UrUn/ler/iniz
UrUnlerle	UrUn/ler/le
UretilememiStir	Ure/t/il/eme/miS/tir
Uretmekteler	Ure/t/mek/te/ler
Usluba	Uslub/a
Uslubunun	Uslub/u/nun
Uyeleridirler	Uye/leri/dir/ler
UyeliGi	Uye/liG/i
aCIkladInIz	aCIk/la/dI/nIz
aCIklanamadIGI	aCIk/lan/ama/dIG/I
aGIrlaStIrarak	aGIr/laS/tIr/arak
aGlI	aG/lI
aGrIlara	aGrI/lar/a
aGrItan	aGrI/t/an
aSIsIna	aSI/sI/na
aSIyI	aSI/yI
aSamadIGI	aS/ama/dIG/I
aSkIm	aSk/Im
aSkIndIr	aSkIn/dIr
aboneler	abone/ler
abonelikleri	abone/lik/ler/i
aboneye	abone/ye
acImIz	ac/ImIz
acImdIr	a/cIm/dIr
acIn	ac/In
acele	acele
aceleye	acele/ye
adaletin	adalet/in
adaletsizlik	adalet/siz/lik
akacaGInI	ak/acaG/In/I
aklInIz	ak/lI/nIz
aklamIS	ak/la/mIS
aktarabiliyorsunuz	aktar/abil/iyor/sunuz
alIStIrdIm	al/IS/t/Ir/dI/m
alIStIrmalara	al/IS/tIr/ma/lar/a
alImIyla	alIm/I/yla
alamadIGInda	al/ama/dIG/I/nda
alamazsIn	a/la/ma/zsIn
aldatIlabilir	aldat/Il/abil/ir
ambar	ambar
ambarlI	ambar/lI
anlIyormuSum	an/lIyor/muS/um
anlaSamIyordu	anlaS/amIyor/du
anlaSamamasI	anlaS/ama/ma/sI
anlatImda	anla/t/Im/da
anlayamIyordum	an/la/yamIyor/du/m
anneleriyle	anne/leri/yle
annesidir	anne/si/dir
antarktik	antarktik
arSivcilik	arSiv/ci/lik
arSivlenmesini	arSiv/len/me/si/ni
araStIrIlmasI	araStIr/Il/ma/sI
araStIrmalarImIz	araStIr/ma/lar/ImIz
aramaktaydI	ara/mak/ta/ydI
ararIm	ara/r/Im
artmamIS	art/ma/mIS
artmasI	art/ma/sI
arttIrIlmasI	art/tIr/Il/ma/sI
arzum	arzu/m
arzunuzun	arzu/nuz/un
asitlerden	asit/ler/den
asitli	asit/li
astlarIn	ast/lar/In
astlarInI	ast/lar/In/I
astlara	ast/lar/a
atardamar	atardamar
atardamarI	atardamar/I
atardamarIn	atardamar/In
atlanmamasI	atla/n/ma/ma/sI
atlatmasI	atla/t/ma/sI
atsInlar	at/sInlar
ayet	ayet
ayette	ayet/te
ayrIlanlarIn	ayr/Il/an/lar/In
azalabileceGini	azal/abil/eceG/i/ni
azalacak	azal/acak
azaltabileceGini	azal/t/abil/eceG/in/i
azaltamaz	azal/t/amaz
baSaramIyoruz	baSar/amIyor/uz
baSaramazsam	baSar/amaz/sa/m
baSlIbaSIna	baSlIbaSIna
baSlatIlmISsa	baS/lat/Il/mIS/sa
baSmUhendisliGe	baSmUhendis/liG/e
baSmUhendislik	baSmUhendis/lik
bakISma	bak/IS/ma
bakanlarIm	bakan/lar/Im
bakanlara	bak/an/lar/a
balet	balet
baleti	balet/i
baletin	balet/in
balkondaki	balkon/da/ki
balkonlarda	balkon/lar/da
balkonundan	balkon/u/ndan
barajdaki	baraj/da/ki
barajlar	baraj/lar
bedenli	beden/li
belirtilmez	belir/t/il/mez
bestesi	beste/si
besteyi	beste/yi
beyazIna	beyaz/I/na
beyazlIGIna	beyaz/lIG/I/na
bildirgelerle	bildirge/ler/le
bildirgesiyle	bildirge/si/yle
bilgilendirir	bil/gi/len/dir/ir
biliS	bil/iS
bilimselliGe	bilimsel/liG/e
bilimselliGi	bilimsel/liG/i
bilinemeyeceGi	bil/in/eme/yeceG/i
birikimlerimize	birik/im/ler/imiz/e
birikir	birik/ir
biriktiGi	birik/tiG/i
birleStirildi	bir/leS/tir/il/di
birlerine	bir/ler/i/ne
birlikleri	birlik/leri
birliklerinde	bir/lik/leri/nde
borular	boru/lar
borularInI	boru/lar/I/nI
borum	bor/um
buGu	buGu
buGunun	buGu/nun
bulandIGInI	bula/n/dIG/In/I
bulandIrma	bu/lan/dIr/ma
bulsaydIm	bul/sa/ydI/m
bulutlarIn	bulut/lar/In
buluttan	bulut/tan
buluverir	bul/uver/ir
buluyormuS	bul/uyor/muS
bununki	bu/nun/ki
buralarInI	bura/lar/I/nI
burasIydI	bura/sI/ydI
bursun	burs/un
canbaz	canbaz
canbazIn	canbaz/In
cenazesine	cenaze/si/ne
cenazesini	cenaze/si/ni
dISIndakini	dIS/I/nda/ki/ni
dISIndaymIS	dIS/In/da/ymIS
dISlayIp	dIS/la/yIp
dOSendiGi	dOSe/n/diG/i
dOSetti	dOSe/t/ti
dOkse	dOk/se
dOktUren	dOk/tUr/en
dUSUnUSe	dUSUn/US/e
dUSUnUlUr	dUS/Un/Ul/Ur
dUSUnUrlerin	dUSUnUr/ler/in
dUSUnUrsUn	dUS/Un/Ur/sUn
dUSUnemiyordum	dUSUn/emiyor/du/m
dUSUp	dUS/Up
dUStUGUnden	dUS/tUG/U/nden
dUnyamI	dUnya/m/I
dUnyama	dUnya/m/a
dUzenleyicileri	dUzen/le/yici/leri
demezmiS	de/mez/miS
denerim	de/n/er/im
depremin	deprem/in
depremleri	deprem/ler/i
derebeyi	derebeyi
dergahI	dergah/I
dergahlar	dergah/lar
devletlim	devletli/m
devrelerinde	devre/leri/nde
devrelerine	devre/leri/ne
dilenciler	dil/en/ci/ler
diliyor	di/l/iyor
dilsiz	dil/siz
dinimizin	din/imiz/in
dinletir	dinle/t/ir
dinleyeceGim	din/le/yeceG/im
dinleyicisiyle	din/le/yici/si/yle
dinsel	dinsel
dinsizlik	din/siz/lik
dirseGe	dirseG/e
dirseGini	dirseG/i/ni
dirseGinin	dirseG/i/nin
diyemeyeceGi	di/yeme/yeceG/i
dizaynIna	dizayn/I/na
dizaynda	dizayn/da
doGurgan	doGurgan
doGurganlIk	doGurgan/lIk
dokunmadIGI	doku/n/ma/dIG/I
dokunmayla	doku/n/ma/yla
duo	duo
durak	durak
duraklama	durak/la/ma
duraklamalar	durakla/m/a/lar
duraklamasI	durak/la/ma/sI
duymazlar	duy/ma/zlar
duyusal	duyusal
eGitimlerini	eGit/im/ler/in/i
eGlendiklerini	eGle/n/dik/leri/ni
efsanevi	efsanevi
emelimizdir	emel/im/iz/dir
emelleriyle	emel/leri/yle
engellemedi	engel/le/me/di
enseme	ense/m/e
ensesinden	ense/si/nden
entari	entari
entariler	entari/ler
entarilinin	entari/lin/in
erkeGi	erkeG/i
erkeGine	erkeG/i/ne
erkeGinki	erkeG/in/ki
esasIyla	esas/I/yla
eskide	eski/de
etkilenmeyecek	etki/len/me/yecek
ezberlediGi	ezber/le/diG/i
ezberlemeden	ezber/le/meden
farede	fare/de
farelerden	fare/ler/den
farkIndaydI	fark/I/nda/ydI
farklIyIm	fark/lI/yIm
fatihi	fatih/i
fatihin	fatih/in
fatihtir	fatih/tir
fedakarlIGIn	fedakar/lIG/In
fedakarlIGInI	fedakar/lIG/In/I
fragmanlarIn	fragman/lar/In
fragmanlarIna	fragman/larI/na
gOrUlUyorsa	gOrU/lUyor/sa
gOrUnUSlerde	gOr/Un/US/ler/de
gOrUyor	gOr/Uyor
gOremezsin	gOr/eme/zsin
gOrevimin	gOrev/im/in
gOrevimizde	gOrev/imiz/de
gOrevlendirebilir	gOrev/len/dir/ebil/ir
gOrevlendirilmiSlerdir	gOrev/len/dir/il/miS/ler/dir
gOrevlilere	gOrev/li/ler/e
gOsterimlerinde	gOster/im/ler/in/de
gOstermekteyiz	gOster/mek/te/yiz
gOzUkUr	gOzUk/Ur
gOzUkmemektedir	gOzUk/me/mek/te/dir
gUCsUzlUGUn	gUC/sUz/lUG/Un
gUnUde	gUnU/de
gUnUnU	gUnU/n/U
gUncelleSmiS	gUncel/leS/miS
gUvenmenin	gUven/me/nin
galatasarayI	galatasaray/I
galatasaraylIyIm	galatasaray/lI/yIm
gavur	gavur
gavurca	gavur/ca
gazetecilere	gazete/ci/ler/e
gazetedir	gazete/dir
gazetelerin	gazete/ler/in
geCilmeye	geC/il/me/ye
geCimsizliklerin	geCim/siz/lik/ler/in
geCmenizi	geC/me/niz/i
gelecektiniz	gel/ecek/ti/niz
gelemiyorlar	ge/le/miyor/lar
geliStirilebilecektir	gel/iS/tir/il/ebil/ecek/tir
genClerimizin	genC/ler/imiz/in
genCliGindeki	genC/liG/in/de/ki
genCliGinizi	genC/liG/iniz/i
genCliklerini	genC/lik/ler/i/ni
genCliklerinin	genC/lik/ler/in/in
geniSletmektir	geniS/let/mek/tir
geniSleyen	geniS/le/yen
gerCekleSmelerini	gerCek/leS/me/leri/ni
gerCekleStirdiGiniz	gerCek/leS/tir/diG/in/iz
gerCekleStireceGiniz	gerCek/leS/tir/eceG/iniz
gerCekleStirmekle	gerCek/leS/tir/mek/le
gerCekleStirmesidir	gerCek/leS/tir/me/si/dir
gerCeklerden	gerCek/ler/den
gerekmiyor	gerek/miyor
gerektirip	gerek/tir/ip
getireceGinin	getir/eceG/in/in
getireceGiz	getir/eceG/iz
getirilerinin	getiri/leri/nin
getiriliyordu	getir/il/iyor/du
gidebilirdik	gid/ebil/ir/di/k
gideceGinden	gid/eceG/i/nden
girdiden	girdi/den
girdim	girdi/m
giriveren	gir/iver/en
haC	haC
haCa	haC/a
haClIlar	haC/lI/lar
haClarIn	haC/lar/In
hafIzanIzI	hafIza/nIz/I
hafIzasInIn	hafIza/sI/nIn
haksIzlIktan	hak/sIz/lIk/tan
halindeydik	hal/i/nde/ydi/k
haller	hal/ler
halletmek	hal/let/mek
hallettiGi	hal/let/tiG/i
hasreti	hasret/i
hasretten	hasret/t/en
hatIrlIyordu	hatIr/lIyor/du
hatIrlamIyorum	hatIr/la/mIyor/um
hatadIr	hat/a/dIr
hatlarIn	hat/lar/In
hattIn	hatt/In
hayata	hayat/a
haydarpaSaya	haydarpaSa/ya
hepside	hepsi/de
hepsinde	hepsi/n/de
hesaplamIS	hesap/la/mIS
hesaplamalara	hesap/la/ma/lar/a
hiCliGin	hiC/liG/in
hiClik	hiC/lik
hindistanda	hindistan/da
hindistandan	hindistan/dan
hisseleri	hisse/ler/i
hisselerini	hisse/ler/i/ni
hisseleriyle	hisse/leri/yle
iCeriklerden	iCerik/ler/den
